#漢字	音標	解釋
多	tɔ55	多 多少
麻	ma11	麻 麻袋
痲	ma11	痲 麻疹
蟆	mou55	蟆 蛤蟆
媽	ma55	妈 妈妈
馬	ma33	马 骑马
碼	ma33	码 码头
罵	ma22	骂 骂人
拿	na11	拿 拿手；推拿
茶	tsʰa11	茶 茶叶
搽	tsʰa11	搽 搽药
楂	tsa55	楂 山楂
渣	tsa55	渣 药渣
詐	tsa33	诈 诈骗
榨	tsa33	榨 榨油
炸	tsa33	炸 炸弹
叉	tsʰa55	叉 叉腰
杈	tsʰa55	杈 枝杈
差	tsʰa55	差 差别
岔	tsʰa33	岔 三岔路口
査	tsʰa11	查 调查
沙	sa55	沙 沙漠
紗	sa55	纱 纱布
砂	sa55	砂 朱砂；砂纸
痧	sa55	痧 刮痧；斑痧
灑	sa24	洒 洒水
家	ka55	家 成家，老家
加	ka55	加 加工
痂	ka55	痂 结痂
嘉	ka55	嘉 嘉宾
傢	ka55	家 家具
假	ka24	假 真假
賈	ka24	賈 姓，贾宝玉
假	ka33	假 放假
架	ka33	架 衣架
駕	ka33	驾 驾驶
嫁	ka33	嫁 出嫁
價	ka33	价 价钱
牙	ŋa11	牙 牙齿
芽	ŋa11	芽 豆芽
衙	ŋa11	衙 衙门
蚜	ŋa11	蚜 蚜虫（生在豆类、棉花、稻等幼苗上）
雅	ŋa33	雅 典雅
蝦	ha55	虾 虾蟆（蛤蟆）
?	ha55	虾 虾腰
嚇	hak033	吓 恐吓
霞	ha11	霞 朝霞
瑕	ha11	瑕 瑕疵
蝦	ha55	虾 鱼虾
下	ha22	下 下降
夏	ha22	夏 春夏
廈	ha22	厦 高楼大厦，商厦
下	ha22	下 下面
夏	ha22	夏 姓夏
暇	ha11	暇 目不暇接，闲暇
鴉	∅a55	鸦 乌鸦
丫	∅a55	丫 丫头
椏	∅a55	桠 桠杈
啞	∅a24	哑 哑巴
亞	∅a33	亚 亚洲
姐	tsɛ24	姐 姐姐
借	tsɛ33	借 借钱
且	sɛ24	且 而且
藉	tsek033	藉 藉故，藉口
些	sɛ55	些 一些
寫	sɛ24	写 写字
瀉	sɛ33	泻 腹泻
卸	sɛ33	卸 卸货
邪	tsʰɛ11	邪 邪气
斜	tsʰɛ22	斜 斜线
謝	tsɛ22	谢 谢谢；姓
爹	tɛ55	爹 爹娘
遮	tsɛ55	遮 遮挡
者	tsɛ24	者 记者
蔗	tsɛ33	蔗 甘蔗
車	tsʰɛ55	车 火车
扯	tsʰɛ24	扯 拉扯
蛇	sɛ11	蛇 毒蛇
射	sɛ22	射 发射
麝	sɛ22	麝 麝香
奢	tsʰɛ55	奢 奢侈
賒	sɛ55	赊 赊帐
捨	sɛ24	舍 舍得，舍弃
赦	sɛ33	赦 赦免
舍	sɛ33	舍 宿舍
佘	sɛ22	佘 佘太君
社	sɛ33	社 公社
惹	∅iɛ24	惹 招惹
耶	∅iɛ11	耶 耶酥
爺	∅iɛ11	爷 爷爷
椰	∅iɛ11	椰 椰子
也	∅ia33	也 也是
野	∅iɛ33	野 野兔
夜	∅iɛ22	夜 夜晚
傻	sɔ11	傻 傻瓜
耍	sa24	耍 玩耍
瓜	kwa55	瓜 西瓜
蝸	wɔ55	蜗 蜗牛
寡	kwa24	寡 寡妇
剮	kwa24	剐 千刀万剐
誇	kwʰa55	夸 夸奖；夸张
垮	kwʰa55	垮 垮台
跨	kwʰa55	跨 跨度
瓦	ŋa33	瓦 瓦片
花	fa55	花 开花
化	fa33	化 变化
華	wa11	华 华山
劃	wa55	划 划船
華	wa11	华 中华
蛙	wa55	蛙 青蛙
窪	wa55	洼 低洼
補	pou24	补 补衣服
譜	pʰou24	谱 族谱
布	pou33	布 布匹，一块布
佈	pou33	布 布置；公布
鋪	pʰou55	铺 铺设
普	pʰou24	普 普通
浦	pou33	浦 浦江
鋪	pʰou33	铺 店铺
怖	pou33	怖 恐怖
蒲	pʰou11	蒲 蒲团
菩	pʰou11	菩 菩萨
脯	pʰou55	脯 胸脯
葡	pʰou11	葡 葡萄
部	pou22	部 部队
簿	pou24	簿 帐簿
步	pou22	步 跑步
捕	pou22	捕 捕捉；捕快
埠	fɐu22	埠 埠头
模	mou11	模 模范
模	mou11	模 模型
摹	mou11	摹 摹仿
墓	mou22	墓 坟墓
暮	mou22	暮 日暮
慕	mou22	慕 羡慕
募	mou22	募 募捐
都	tou55	都 都是
都	tou55	都 首都
堵	tou24	堵 堵车
賭	tou24	赌 赌博
肚	tou24	肚 猪肚（胃），鱼肚
妒	tou33	妒 妒忌
土	tʰou24	土 土地
吐	tʰou33	吐 呕吐
吐	tʰou33	吐 吐痰
兔	tʰou33	兔 兔子
徒	tʰou11	徒 徒弟
屠	tʰou11	屠 屠杀
途	tʰou11	途 前途
塗	tʰou11	涂 泥涂，涂改
圖	tʰou11	图 地图
杜	tou22	杜 杜仲；姓
肚	tou24	肚 肚子，肚脐
度	tɔk033	度 忖度，度长
渡	tou22	渡 偷渡
鍍	tou22	镀 电镀
奴	nou11	奴 奴隶
努	nou33	努 努力
怒	nou22	怒 发怒
盧	lou11	卢 姓卢
爐	lou11	炉 炉子
蘆	lou11	芦 芦苇
魯	lou33	鲁 鲁迅
櫓	lou33	橹 摇船的工具
虜	lou33	虏 俘虏
滷	lou33	卤 卤水
路	lou22	路 马路
賂	lɔk033	赂 贿赂
露	lou22	露 露水
鷺	lou22	鹭 白鹭
租	tsou55	租 房租
祖	tsou24	祖 祖国
組	tsou24	组 组长
做	tsou33	做 做饭
粗	tsʰou55	粗 粗心
醋	tsʰou33	醋 吃醋
措	tsʰou33	措 措施
錯	tsʰɔ33	错 错误
蘇	sou55	苏 苏州
酥	sou55	酥 酥油，酥饼
素	sou33	素 吃素；朴素
訴	sou33	诉 告诉
塑	sɔk033	塑 塑像
姑	ku55	姑 姑娘
孤	ku55	孤 孤独
箍	ku55	箍 紧箍咒
辜	ku55	辜 无辜，辜负
古	ku24	古 古代
估	ku24	估 估计
牯	ku24	牯 牛牯
股	ku24	股 股票
鼓	ku24	鼓 鼓励
蠱	ku24	蛊 蛊惑；整蛊
故	ku33	故 故事
固	ku33	固 固定
雇	ku33	雇 雇主
顧	ku33	顾 照顾
枯	fu55	枯 枯萎
苦	fu24	苦 吃苦
庫	kʰu33	库 水库
褲	fu33	裤 裤子
吳	ŋ̍ŋ̍11	吴 姓
蜈	ŋ̍ŋ̍11	蜈 蜈蚣
梧	ŋ̍ŋ̍11	梧 梧桐
五	ŋ̍ŋ̍33	五 第五
伍	ŋ̍ŋ̍33	伍 队伍
午	ŋ̍ŋ̍33	午 中午
誤	ŋ̍ŋ̍22	误 错误
悟	ŋ̍ŋ̍22	悟 孙悟空
呼	fu55	呼 呼吸
虎	fu24	虎 老虎
滸	wu24	滸 水浒传
戽	fu33	戽 戽水
胡	wu11	胡 二胡；姓
湖	wu11	湖 太湖
狐	wu11	狐 狐狸
壺	wu11	壶 水壶
乎	fu11	乎 在乎
鬍	wu11	胡 胡须
葫	wu11	葫 葫芦
糊	wu11	糊 糊涂
蝴	wu11	蝴 蝴蝶
戶	wu22	户 户口
滬	wu22	沪 上海简称
互	wu22	互 互相
護	wu22	护 保护
烏	wu55	乌 乌鸦
污	wu55	污 污染
塢	wu55	坞 船坞
惡	wu55	恶 可恶
女	noi33	女 女儿
廬	lou11	庐 庐山
驢	lou11	驴 毛驴
呂	loi33	吕 姓
旅	loi33	旅 旅游
慮	loi22	虑 考虑
濾	loi22	滤 过滤
絮	soi33	絮 棉絮
徐	tsʰoi11	徐 姓
序	tsoi22	序 秩序
叙	tsoi22	叙 叙述
緖	soi33	绪 情绪；光绪
豬	tsy55	猪 猪肉
著	tsy33	著 著名
除	tsʰy11	除 除法
儲	tsʰy33	储 储蓄
苧	tsʰy33	苎 苎麻
阻	tsɔ24	阻 阻力
初	tsʰɔ55	初 初中
楚	tsʰɔ24	楚 清楚
礎	tsʰɔ24	础 基础
鋤	tsʰɔ11	锄 锄头
助	tsɔ22	助 帮助
梳	sɔ55	梳 梳头
疏	sɔ55	疏 疏远
蔬	sɔ55	蔬 蔬菜
所	sɔ24	所 所以
疏	sɔ55	疏 注疏
諸	tsy55	诸 诸葛亮
煮	tsy24	煮 煮饭
處	tsʰy33	处 处理
處	tsʰy33	处 处所
書	sy55	书 书本
舒	sy55	舒 舒服
暑	sy24	暑 暑假
鼠	sy24	鼠 老鼠
庶	sy33	庶 庶民
恕	sy33	恕 饶恕
墅	soi22	墅 别墅
署	tsʰy33	署 署名；专署
薯	sy11	薯 番薯
如	∅y11	如 如果
居	ky55	居 居民
車	ky55	车 车马炮
舉	ky24	举 举报
據	ky33	据 收据
鋸	ky33	锯 电锯
墟	hy55	墟 废墟
去	hy33	去 来去
渠	kʰy11	渠 水渠
佢	kʰoi33	佢 他；她；它
巨	ky22	巨 巨大
拒	ky22	拒 拒绝
距	kʰy33	距 距离
魚	∅y11	鱼 金鱼
漁	∅y11	渔 渔业；渔场
語	∅y33	语 语文
御	∅y22	御 御用
禦	∅y22	御 驾御，防御
虛	hy55	虚 虚心
噓	hy55	嘘 吹嘘
腐	fu22	腐 豆腐
輔	fu22	辅 辅助
附	fu22	附 附近
無	mou11	无 没有；无中生有
巫	mou11	巫 巫婆
誣	mou11	诬 诬告
武	mou33	武 武力
舞	mou33	舞 跳舞
侮	mou33	侮 侮辱
鵡	mou33	鹉 鹦鹉
務	mou22	务 任务
霧	mou22	雾 大雾
屢	loi33	屡 屡教不改
趨	tsʰoi55	趋 趋势
取	tsʰoi24	取 取得
娶	tsʰoi24	娶 嫁娶
趣	tsʰoi33	趣 兴趣
聚	tsoi22	聚 聚会
須	soi55	须 必须
鬚	sou55	须 胡须
需	soi55	需 需要
續	tsok022	续 继续
誅	tsy55	诛 天诛地灭
蛛	tsy55	蛛 蜘蛛
株	tsy55	株 守株待兔
駐	tsy33	驻 驻扎
註	tsy33	注 注释
廚	tsʰy11	厨 厨房
柱	tsʰy33	柱 柱子
住	tsy22	住 住宿
雛	tsʰoi55	雏 雏形
數	sou24	数 数星星
數	sou33	数 数学
朱	tsy55	朱 姓
硃	tsy55	朱 朱砂
珠	tsy55	珠 珍珠
主	tsy24	主 主人
注	tsy33	注 注意
蛀	tsy33	蛀 虫蛀
鑄	tsy33	铸 铸铁
樞	sy55	枢 枢纽
輸	sy55	输 输赢
輸	sy55	输 运输
殊	sy11	殊 特殊
豎	sy22	竖 横竖
樹	sy22	树 树木
儒	∅y11	儒 儒家
乳	∅y33	乳 乳房
拘	kʰy55	拘 拘留
倶	kʰy55	俱 俱乐部
矩	ky24	矩 规矩
句	ky33	句 句子
區	kʰy55	区 地区
驅	kʰy55	驱 驱动；先驱
具	ky22	具 具体；家具
懼	ky22	惧 恐惧
愚	∅y11	愚 愚蠢
娛	∅y11	娱 娱乐
遇	∅y22	遇 遇见
寓	∅y22	寓 寓言
迂	∅y55	迂 迂回
于	∅y55	于 姓
雨	∅y33	雨 下雨
宇	∅y33	宇 宇宙
禹	∅y33	禹 大禹
羽	∅y33	羽 羽毛
芋	wu22	芋 芋头
愉	∅y11	愉 愉快
愈	∅y11	愈 愈加；病愈
喩	∅y22	喻 比喻
裕	∅y22	裕 富裕
獃	ŋoi11	呆 发呆
戴	tai33	戴 戴帽
胎	tʰoi55	胎 双胞胎
態	tʰai33	态 态度
貸	tʰai33	贷 贷款
臺	tʰoi11	台 台湾
苔	tʰoi11	苔 青苔
抬	tʰoi11	抬 担抬，两个人抬
待	toi22	待 等待
怠	tʰoi33	怠 怠慢
代	toi22	代 代表
袋	toi22	袋 口袋
乃	nai33	乃 人名用字
耐	noi22	耐 耐心
來	loi11	来 过来
災	tsoi55	灾 水灾
栽	tsoi55	栽 栽种
宰	tsoi24	宰 宰相
載	tsoi33	载 满载
再	tsoi33	再 再来
載	tsoi33	载 年载
猜	tsʰai55	猜 猜谜
踩	tsʰai24	踩 踩死
彩	tsʰoi24	彩 彩色
採	tsʰoi24	采 采摘；采集
睬	tsʰoi24	睬 理睬
菜	tsʰoi33	菜 青菜
才	tsʰoi11	才 天才；才气
材	tsʰoi11	材 材料
財	tsʰoi11	财 发财
裁	tsʰoi11	裁 裁缝
纔	tsʰoi11	才 刚才
在	tsoi22	在 现在
載	tsoi33	载 载重
腮	soi55	腮 腮红
鰓	soi55	鳃 鱼鳃
賽	tsʰoi33	赛 比赛
該	koi55	该 应该
改	koi24	改 修改
概	kʰoi33	概 大概
溉	kʰoi33	溉 灌溉
開	hoi55	开 开门
凱	oi24	凯 凯旋
慨	kʰoi33	慨 感慨
咳	kʰat055	咳 咳嗽
礙	ŋoi22	碍 妨碍
海	hoi24	海 大海
孩	hai11	孩 孩子
亥	hoi22	亥 辛亥革命
哀	oi55	哀 悲哀
埃	oi55	埃 尘埃
愛	oi33	爱 喜爱
貝	poi33	贝 宝贝
沛	pʰoi33	沛 充沛
帶	tai33	带 鞋带
太	tʰai33	太 太阳
泰	tʰai33	泰 泰山
大	tai22	大 大小
奈	noi33	奈 无奈
賴	lai22	赖 无赖
癩	lat033	癞 癞头
蔡	tsʰoi33	蔡 姓
蓋	kʰoi33	盖 盖子
丐	kʰoi33	丐 乞丐
艾	ŋai22	艾 艾草
害	hoi22	害 害人
藹	oi24	蔼 和蔼
拜	pai33	拜 礼拜；拜佛
排	pʰai11	排 排队
埋	mai11	埋 埋葬
齋	tsai55	斋 吃斋
豺	tsʰai11	豺 豺狼
皆	kai55	皆 皆大欢喜
階	kai55	阶 台阶
介	kai33	介 介绍
界	kai33	界 世界
芥	kai33	芥 芥菜
尬	kai33	尬 尴尬
疥	kai33	疥 疥疮
屆	kai33	届 应届
戒	kai33	戒 戒指
揩	hai55	揩 揩油
楷	kai55	楷 楷书
諧	hai11	谐 和谐
駭	hat033	骇 惊骇
械	hai33	械 机械
挨	∅ai55	挨 挨近
擺	pai24	摆 摇摆
派	pʰai33	派 派出所
牌	pʰai11	牌 牌坊
箄	pʰai11	排 竹排
罷	pa22	罢 罢工
稗	pei22	稗 稗子
買	mai33	买 买进
賣	mai22	卖 卖掉
奶	nai33	奶 奶奶
債	tsai33	债 还债
釵	tsʰai55	钗 宝钗；钗子
差	tsʰai55	差 出差
柴	tsʰai11	柴 火柴
篩	sɐi55	筛 米筛
灑	sa24	洒 洒水
曬	sai33	晒 晒谷
佳	kai55	佳 佳节
街	kai55	街 大街
解	kai24	解 讲解
懈	hai22	懈 松懈
涯	ŋai11	涯 天涯
崖	ŋai11	崖 悬崖
捱	ŋai11	捱 捱苦，捱打
鞋	hai11	鞋 布鞋
解	kai24	解 理解（知道，懂了）
蟹	hai33	蟹 螃蟹
矮	ɐi24	矮 高矮
敗	pai22	败 失败
邁	man22	迈 迈步
寨	tsai22	寨 山寨
蔽	pei33	蔽 隐蔽
弊	pei33	弊 作弊
幣	pei22	币 人民币
斃	pei22	毙 枪毙
例	lɐi22	例 例子
厲	lei33	厉 厉害
勵	lɐi33	励 鼓励
祭	tsɐi33	祭 祭祀
際	tsɐi33	际 国际
滯	tsɐi22	滯 停滞
制	tsɐi33	制 制度
製	tsɐi33	制 制造
世	sɐi33	世 世界
勢	sɐi33	势 势力
誓	sɐi22	誓 发誓
逝	sɐi22	逝 逝去，逝世
藝	ŋɐi22	艺 艺术
蓖	pei55	蓖 蓖麻
閉	pei33	闭 关闭
批	pʰei55	批 批评
迷	mei11	迷 迷路
米	mɐi33	米 大米
謎	mei11	谜 谜语
低	tɐi55	低 高低
堤	tʰɐi11	堤 河堤
底	tɐi24	底 水底
抵	tɐi24	抵 抵押
帝	tɐi33	帝 皇帝
蒂	tʰɐi33	蒂 瓜蒂，并蒂莲
梯	tʰɐi55	梯 楼梯
體	tʰɐi24	体 身体
替	tʰɐi33	替 代替
涕	tʰɐi33	涕 鼻涕
剃	tʰɐi33	剃 剃头
題	tʰɐi11	題 题目
提	tʰɐi11	提 提问
蹄	tʰɐi11	蹄 猪蹄
啼	tʰɐi11	啼 鸡啼
弟	tɐi22	弟 弟弟
第	tɐi22	第 第一
遞	tɐi22	递 传递
泥	nɐi11	泥 水泥
犁	lɐi11	犁 犁地
黎	lɐi11	黎 黎明；姓
禮	lɐi33	礼 礼貌
麗	lɐi22	丽 美丽
隸	tɐi22	隶 奴隶；隶属
莉	lei22	莉 茉莉
擠	tsɐi55	挤 拥挤
濟	tsɐi33	济 经济
妻	tsʰɐi55	妻 妻子
砌	tsʰɐi33	砌 砌墙
齊	tsʰɐi11	齐 整齐
臍	tsʰi11	脐 肚脐
劑	tsɐi55	剂 药剂
西	sɐi55	西 东西南北
棲	tsʰɐi55	栖 栖息，两栖
犀	sɐi55	犀 犀牛
洗	sai24	洗 洗衣服
細	sɐi33	细 粗细；大细
婿	sɐi33	婿 女婿
雞	kɐi55	鸡 公鸡
稽	kʰɐi55	稽 稽查
計	kɐi33	计 会计
繼	kɐi33	继 继续
繫	hɐi22	系 联系
髻	kɐi33	髻 发髻
溪	kʰɐi55	溪 小溪
啓	kʰɐi24	启 启发
契	kʰɐi33	契 地契
倪	ŋɐi11	倪 姓
系	hɐi22	系 系统；中文系
繫	hɐi22	系 系鞋带
係	hɐi22	系 是
杯	poi55	杯 茶杯
輩	poi33	辈 长辈
背	poi33	背 背书
胚	pʰoi55	胚 胚胎
坯	pʰoi55	坯 毛坯
配	pʰoi33	配 分配
培	pʰoi11	培 培训
陪	pʰoi11	陪 陪伴
賠	pʰoi11	赔 赔钱
裴	pʰoi11	裴 姓
倍	pʰoi33	倍 倍数
佩	pʰoi33	佩 佩服
背	poi33	背 后背
焙	poi22	焙 焙干
梅	moi11	梅 梅花
枚	moi11	枚 一枚
媒	moi11	媒 媒人
煤	moi11	煤 煤矿
玫	moi11	玫 玫瑰
莓	moi11	莓 草莓
每	moi33	每 每天
妹	moi24	妹 妹妹
昧	mei22	昧 拾金不昧
堆	toi55	堆 堆放
對	toi33	对 对错
推	tʰoi55	推 推动
腿	tʰoi24	腿 腿部
退	tʰoi33	退 退后
隊	toi22	队 队伍
內	noi22	内 内外
雷	loi11	雷 雷公；姓
累	loi22	累 极困；劳累
催	tsʰoi55	催 催眠
崔	tsʰoi55	崔 姓
罪	tsoi22	罪 犯罪
碎	soi33	碎 破碎
盔	kwʰɐi55	盔 头盔
魁	fui55	魁 魁悟
恢	fui55	恢 恢复
塊	kwʰai33	块 块状
桅	ŋɐi11	桅 桅杆
灰	fui55	灰 灰色
賄	∅oi24	贿 贿赂
悔	fui33	悔 后悔
晦	fui33	晦 晦气
回	wui11	回 回去
茴	wui11	茴 茴香
匯	wui22	汇 汇报
潰	kʰoi33	溃 溃疡
煨	wui55	煨 煨番薯
蛻	tʰoi33	蜕 蜕变
兌	toi33	兑 兑换
最	tsoi33	最 最好
會	wui22	会 会不会
劊	kʰoi33	刽 刽子手
檜	kʰoi33	桧 秦桧
外	ŋoi22	外 外面
會	wui22	会 会计
會	wui24	会 开会
繪	kʰoi33	绘 绘画
乖	kwai55	乖 小孩听话
怪	kwai33	怪 奇怪
懷	wai11	怀 胸怀
槐	wai11	槐 槐树
淮	wai11	淮 淮河
壞	wai22	坏 好坏
拐	kwai24	拐 拐卖
掛	kwa33	挂 挂钩
卦	kwa33	卦 卜卦；八卦
歪	wai55	歪 歪斜
畫	wa24	画 油画
蛙	wa55	蛙 青蛙
快	fai33	快 快点；快车
筷	fai33	筷 筷子
話	wa22	话 说话
脆	tsʰoi33	脆 干脆
歲	soi33	岁 万岁
贅	tsoi22	赘 入赘
稅	soi33	税 税收
鱖	kwɐi33	鳜 鳜鱼
衛	wɐi22	卫 卫生
銳	∅ioi22	锐 尖锐
廢	fei33	废 废品
肺	fei33	肺 猪肺
吠	fei22	吠 狗叫、狗吠
穢	wɐi33	秽 污秽
圭	kwɐi55	圭 人名用字
閨	kwɐi55	闺 闺房
桂	kwɐi33	桂 桂花
奎	fui55	奎 人名用字
攜	kwʰɐi11	携 携带
惠	wɐi22	惠 优惠
慧	wɐi33	慧 智慧
碑	pei55	碑 石碑
卑	pei55	卑 卑鄙
彼	pei24	彼 彼此
臂	pei33	臂 手臂
披	pʰei55	披 披上
譬	pʰei33	譬 譬如；譬喻
皮	pʰei11	皮 果皮
疲	pʰei11	疲 疲劳
脾	pʰei11	脾 脾气
被	pei22	被 被动
婢	pʰei24	婢 婢女
被	pʰei33	被 棉被
避	pei22	避 避开
糜	mei11	糜 糜烂；粥
彌	nɐi11	弥 弥补
離	lei11	离 离别
籬	lei11	篱 篱笆
璃	lei55	璃 玻璃
荔	lɐi22	荔 荔枝
離	lei11	离 离开
紫	tsy24	紫 紫色
雌	tsʰi55	雌 雌雄
此	tsʰi24	此 此地
刺	tsʰi33	刺 鱼刺
斯	sy55	斯 斯大林
撕	sy55	撕 撕破
璽	sai24	玺 玉玺
徙	sai24	徙 迁徙
賜	tsʰi33	赐 赏赐
知	tsi55	知 知道
蜘	tsi55	蜘 蜘蛛
智	tsi33	智 智慧
池	tsʰi11	池 池塘
馳	tsʰi11	驰 奔驰
篩	sɐi55	筛 筛子
支	tsi55	支 支持
枝	tsi55	枝 荔枝
肢	tsi55	肢 四肢
紙	tsi24	纸 白纸
只	tsi24	只 只有
侈	tsʰi24	侈 奢侈
舐	tʰim24	舐 舔
施	si55	施 施肥
翅	tsʰi33	翅 鱼翅
匙	tsʰi11	匙 匙羹
是	si33	是 是不是
氏	si33	氏 姓氏
豉	si33	豉 豆豉
兒	∅i11	儿 儿童
爾	∅i33	尔 尔虞我诈
寄	ki33	寄 寄信
企	kʰi33	企 企业
奇	kʰi11	奇 奇怪
騎	kʰɛ11	骑 骑马
岐	kʰi11	岐 岐山
徛	kʰi33	徛 站立
技	ki33	技 技术
妓	ki22	妓 妓女
宜	∅i11	宜 便宜
儀	∅i11	仪 礼仪
蟻	ŋɐi33	蚁 蚂蚁
誼	∅i11	谊 友谊
義	∅i22	义 情义
議	∅i33	议 会议
犧	hi55	牺 牺牲
戲	hi33	戏 大戏
倚	∅i24	倚 倚靠
椅	∅i24	椅 椅子
移	∅i11	移 移动
易	∅i22	易 容易
悲	pei55	悲 悲伤
鄙	pʰei24	鄙 卑鄙
比	pei24	比 对比
秕	pei22	秕 秕谷（不饱满的稻谷）
秘	pei33	秘 秘密
泌	pei33	泌 分泌
庇	pei33	庇 包庇
痹	pei33	痹 麻痹
丕	pʰei55	丕 曹丕
屁	pʰei33	屁 放屁
琵	pʰei11	琵 琵琶
枇	pʰei11	枇 枇杷
備	pei22	备 准备
鼻	pei22	鼻 鼻涕
眉	mei11	眉 眉毛
楣	mei11	楣 门楣
黴	moi11	霉 发霉
美	mei33	美 美化
媚	mei22	媚 妩媚
地	tei22	地 土地
尼	nɐi11	尼 尼姑
膩	nɐi22	腻 油腻
梨	lei24	梨 雪梨
履	lei33	履 履行
利	lei22	利 有利
痢	lei22	痢 痢疾
資	tsy55	资 资本
姿	tsy55	姿 姿势
咨	tsy55	咨 咨询
似	tsʰy33	似 相似
祀	tsy22	祀 祭祀
巳	tsy33	巳 地支第六
寺	tsy33	寺 寺庙
嗣	tsy33	嗣 后嗣
飼	tsy33	饲 饲养
置	tsi33	置 布置
癡	tsʰi55	痴 痴呆
恥	tsʰi24	耻 耻辱
持	tsʰi11	持 坚持
痔	tsi22	痔 痔疮
治	tsi22	治 治安
廁	tsʰy33	厕 厕所
士	sy22	士 士兵
仕	sy22	仕 仕途
柿	tsʰy24	柿 柿子
事	sy22	事 事情
使	sy24	使 大使馆
使	sɐi24	使 使用
史	sy24	史 历史
駛	sɐi24	驶 驾驶
之	tsi55	之 之前
芝	tsi55	芝 灵芝
止	tsi24	止 停止
趾	tsi24	趾 脚趾
址	tsi24	址 地址
志	tsi33	志 志气
誌	tsi33	志 标志
痣	tsi33	痣 与胎记不同
齒	tsʰi24	齿 牙齿
詩	si55	诗 诗人
始	tsʰi24	始 开始
試	si33	试 考试
時	si11	时 时间
市	si33	市 市场
恃	tsʰi33	恃 有恃无恐，自恃
侍	si33	侍 服侍
而	∅i11	而 而且
耳	∅i33	耳 耳朵
餌	∅i33	饵 钓饵
基	ki55	基 基本
箕	ki55	箕 粪箕
己	ki24	己 自己
紀	ki24	纪 纪律
紀	ki33	纪 纪念
記	ki33	记 记号
欺	hi55	欺 欺负
起	hi24	起 起床
杞	ki24	杞 枸杞
其	kʰi11	其 其他
棋	kʰi11	棋 下棋
期	kʰi11	期 日期
旗	kʰi11	旗 红旗
忌	ki22	忌 禁忌
疑	∅i11	疑 怀疑
擬	∅i11	拟 拟人
