#漢字	音標	解釋
多	tou44	多：多少，多数
廈	ha51	厦：高楼大厦，商厦
家	ka44	家：成家，家教，老家
加	ka44	加：加法，加工，加油
痂	ka44	痂：结痂，痂皮
嘉	ka44	嘉：嘉宾，嘉兴，嘉峪关
傢	ka44	傢：傢伙，傢什（工匠用的），傢具
假	ka31	假：真假
賈	ka51	贾：姓，贾宝玉
假	ka31	假：放假，假期
架	ka51	架：衣架，脚手架，摆架子
駕	ka51	驾：驾驶，大驾光临
嫁	ka51	嫁：出嫁，嫁女儿
稼	ka51	稼：庄稼，邓稼先
價	ka51	价：价钱，价值
牙	ŋa22	牙：牙齿，刷牙
芽	ŋa22	芽：豆芽
衙	ŋa22	衙：衙门
伢	ŋa22	伢：伢儿，伢郎（小孩子）
蚜	ŋa22	蚜：蚜虫（木虱,生在豆类、棉花、稻等幼苗上）
雅	ŋa31	雅：文雅，雅座
砑	ŋan33	砑：弹好棉花后，用厚实的木圆盘砑砑平
蝦	ha22	虾：鱼虾，虾公
?	hap031	?：虾腰，背虾起
嚇	hak031	吓：吓一跳
霞	ha22	霞：朝霞，晚霞，人名用字
瑕	ha22	瑕：瑕疵
遐	ha22	遐：遐想，闻名遐迩
蝦	ha22	虾：虾蟆（青蛙、蛙类、蝌蚪）
下	ha51	下：下面，乡下，上下
夏	ha51	厦：厦门
廈	ha51	夏：姓
下	ha51	下：下降，下去，下流
夏	ha51	夏：春夏，立夏
暇	ha22	暇：闲暇
鴉	a44	鸦：老鸦，乌鸦
丫	a44	丫：丫头
椏	a44	桠：桠杈
啞	a31	哑：哑巴，聋哑
亞	a44	亚：亚洲，亚军，东亚
姐	tsia31	姐：姐姐，小姐
借	tsia51	借：借钱
且	tsʰia31	且：而且，况且
笡	sia44	笡：斜，笡转身子
藉	sit033	藉：藉故，藉口
褯	tsʰiat033	褯：褯子（小儿尿布，或包裹婴儿的衣被）
些	sia44	些：一些
寫	sia31	写：写字，写信
瀉	sia51	泻：腹泻，泻肚子
卸	sia51	卸：装卸，卸货
邪	tsʰia22	邪：邪气，邪门歪道
斜	tsʰia22	斜：不正
謝	tsʰia51	谢：谢谢，姓
爹	tia44	爹：父亲
遮	tʃa44	遮：遮住，遮挡
者	tʃa31	者：记者，作者，之乎者也。
蔗	tʃa51	蔗：甘蔗，蔗糖
車	tʃʰa44	车：火车
扯	tʃʰa31	扯：拉扯，扯钻
蛇	ʃa22	蛇：一条蛇
射	ʃa51	射：发射，射箭
麝	ʃa51	麝：麝香
賒	tʃʰa44	赊：赊帐
奢	ʃa44	奢：奢侈
捨	ʃa31	舍：舍不得，割舍
赦	ʃa51	赦：大赦，十恶不赦，赦免
舍	ʃa31	舍：宿舍
佘	ʃa44	佘：姓，佘太君
畲	tsʰia22	畲：畲族，畲客
社	ʃa44	社：公社，社会
惹	ȵia44	惹：招惹，小孩惹事，传染
耶	ʒei22	耶：耶酥
爺	ʒa22	爷：爷爷，父亲
椰	ʒei22	椰：椰子
也	ʒa44	也：之乎者也，也是
野	ʒa44	野：野兔
夜	ʒa51	夜：走夜路，夜班，夜晚
傻	sou22	傻：傻瓜
耍	sa31	耍：玩耍，耍人
瓜	kua44	瓜：黄瓜，西瓜
蝸	vou44	蜗：蜗牛
寡	kua31	寡：寡妇，守寡
剮	kua31	剐：千刀万剐
誇	kʰua44	夸：夸奖，夸张
侉	kʰua44	夸：夸大
垮	kʰua44	垮：垮台
跨	kʰua44	跨：跨过障碍物，跨步，跨度
娃	va44	娃：娃娃，洋娃娃
瓦	ŋa31	瓦：名词，瓦片
瓦	ŋa31	瓦：动词，瓦砖
花	fa44	花：一朵花，开花
化	fa51	化：变化
華	fa22	华：中华
鏵	fa22	铧：铧犁（犁上用来破土的铁片）
划	vak033	划：划船
華	fa22	华：华山，姓
樺	fa22	桦：桦树
蛙	va44	蛙：青蛙，蛙跳，蛙泳
窪	vou44	洼：洼地，低洼
補	pu31	补：补衣服
譜	pʰu31	谱：族谱，宗谱，歌谱
布	pu51	布：一块布，布料
佈	pu51	布：宣布，公布
鋪	pʰu44	铺：铺开，铺设，铺张
普	pʰu44	普：普通
浦	pʰu44	浦：浦江
鋪	pʰu51	铺：店铺，当铺
怖	pu51	怖：恐怖
蒲	pʰu22	蒲：菖蒲，蒲团
菩	pʰu22	菩：菩萨
脯	pʰu22	脯：胸脯
葡	pʰu22	葡：葡萄
部	pʰu51	部：部队，干部
簿	pʰu44	簿：帐簿，练习簿
步	pʰu51	步：一步，脚步，步行
捕	pʰu31	捕：逮捕，捕快
埠	pu44	埠：埠头，蚌埠
模	mou22	模：模型
模	mou22	模：模范
摹	mou22	摹：摹仿，描摹
暮	mou51	暮：
慕	mou51	慕：羡慕
墓	mou51	墓：坟墓，墓地
募	mou51	募：募捐，招募
都	tu44	都：都市，首都
都	tu44	都：都是
堵	tu31	堵：堵车，堵塞
賭	tu31	赌：打赌，赌博
肚	tu31	肚：猪肚（胃）
妒	tu51	妒：妒忌
土	tʰu31	土：
吐	tʰu51	吐：吐痰
吐	tʰu51	吐：呕吐
兔	tʰu51	兔：兔子，野兔
途	tʰu22	途：前途
屠	tʰu22	屠：屠杀，屠夫
徒	tʰu22	徒：徒弟，学徒
塗	tʰu22	涂：泥涂
圖	tʰu22	图：画图，地图
杜	tʰu51	杜：姓，杜仲
肚	tu31	肚：肚子，肚脐
度	tʰu51	度：度量
渡	tʰu51	渡：摆渡，渡船，偷渡
鍍	tʰu51	镀：电镀
奴	lu22	奴：奴隶
努	lu31	努：努力
怒	lu51	怒：发怒
盧	lu22	卢：姓
爐	lu22	炉：炉子，风炉
蘆	lu22	芦：芦苇
鸕	lu22	鸬：鸬鹚，一种鸟，黑色，有点象鸭子，捕鱼用
魯	lu22	鲁：鲁国，鲁迅
櫓	lu44	橹：摇船的工具
虜	lu31	虏：俘虏
滷	lu44	卤：盐卤，菜中的汤汁
路	lu51	路：一条路，大路，走路
賂	lɔk033	赂：贿赂
露	lu51	露：露水，白露
鷺	lu51	鹭：白鹭，鹭鸶（一种鸟，腿很长）
租	tsɿ44	租：租房子，田租
祖	tsɿ31	祖：祖宗，祖国
組	tsɿ44	组：组长，小组，组织
做	tsou51	做：做事情
粗	tsʰɿ44	粗：粗细，粗心
醋	tsʰɿ51	醋：一种调味料，味酸。吃醋
措	tsʰɿ51	措：措施，举措
錯	tsʰou51	错：做错，错误，过错
蘇	sɿ44	苏：苏州，苏联，姓
酥	sɿ44	酥：杏仁酥，酥糖，酥油
素	sɿ31	素：吃素，朴素，素质
訴	sɿ51	诉：告诉，上诉，诉讼
塑	sɔk031	塑：塑料，塑像
嗉	sɿ31	嗉：鸟嗉子，嗉囊
姑	ku44	姑：姑妈，姑娘
孤	ku44	孤：孤儿，孤独
箍	kʰu44	箍：箍桶，一个箍，紧箍咒
辜	ku44	辜：无辜，辜负
古	ku31	古：古老，古代
估	kʰu44	估：估计，毛估估
牯	ku31	牯：公牛，公狗
股	ku31	股：一股线，股票
鼓	ku31	鼓：锣鼓
蠱	tʃuŋ44	蛊：蛊惑
賈	ka51	贾：商贾
故	ku51	故：故事，事故
固	ku51	固：固定
錮	ku51	锢：禁锢
雇	ku51	雇：雇主
顧	ku51	顾：照顾，顾忌
枯	kʰu44	枯：树枯了，水枯了
苦	kʰu31	苦：甜的苦的，吃苦
庫	kʰu51	库：水库，库存
褲	kʰu51	裤：裤子
吳	m̩22	吴：姓
蜈	m̩22	蜈：蜈蚣
吾	m̩22	吾：
梧	m̩22	梧：梧桐
五	m̩31	五：数字
伍	m̩31	伍：队伍，姓
午	m̩31	午：端午，中午
誤	ŋu51	误：误会，错误，耽误
悟	m̩22	悟：孙悟空，觉悟
呼	fu44	呼：呼吸，呼鸡
虎	fu31	虎：老虎
滸	ʃu31	浒：水浒传
戽	fu51	戽：戽水（把水泼出去）戽斗（汲水灌田的老式农具）
胡	fu22	胡：姓，二胡
湖	fu22	湖：
糊	fu22	糊：米糊（用米粉调制的食品，可以喂婴儿），浆糊，糊涂，糊了
狐	fu22	狐：狐狸
壺	fu22	壶：水壶
乎	fu22	乎：之乎者也
葫	fu22	葫：葫芦
瓠	pʰiau22	瓠：瓠卢，同葫芦
蝴	fu22	蝴：蝴蝶
鬍	fu22	胡：胡须
戶	fu51	户：户口
滬	fu51	沪：上海简称
互	fu44	互：互相，相互
護	fu51	护：保护，护士
瓠	pʰiau22	瓠：瓠瓜，瓠子（味似葫芦而长）
烏	vu44	乌：黑，乌纱帽
污	vu44	污：污染
塢	vu44	坞：山坞，船坞
惡	ɔk031	恶：可恶，大便
女	ȵi31	女：女儿，女婿，孙女，女人
廬	lu22	庐：庐山
驢	lu22	驴：毛驴
呂	li44	吕：姓，吕布
稆	li44	稆：稆谷，稆生（野生）
旅	li44	旅：旅长
慮	li51	虑：考虑
濾	li51	滤：过滤
蛆	tsʰi44	蛆：蛆虫（孑孓）
胥	sei51	胥：伍子胥
絮	si51	絮：棉絮，被絮，丝瓜瓤
徐	tsʰi22	徐：姓
序	si51	序：秩序
叙	si51	叙：
緖	si51	绪：光绪，情绪
嶼	ʒu31	屿：小岛
豬	tʃu44	猪：养猪，猪八戒
著	tʃu51	著：著名，显著
褚	tʃu44	褚：姓
除	tʃʰu22	除：除法，除衣服，把东西除掉
儲	ʃu22	储：储蓄
苧	tʃʰu44	苎：苎麻
箸	tʃu51	箸：筷子。箸笼（盛筷器）
阻	tsɿ31	阻：阻力，阻拦
初	tsʰɿ44	初：大年初一，初中
楚	tsʰɿ31	楚：姓，楚国。
礎	tsʰɿ31	础：柱下石，基础
鋤	tsʰɿ22	锄：锄头
助	tsʰɿ51	助：帮助
梳	sɿ44	梳：梳头，梳子（头梳）
疏	sɿ44	疏：亲疏，疏密，疏远
蔬	sɿ44	蔬：蔬菜，菜蔬
所	sou31	所：所以，派出所
疏	sɿ44	疏：注疏，经疏
諸	tʃu44	诸：诸葛亮，诸如此类
煮	tʃu31	煮：煮饭，煮粥
處	tʃʰu51	处：处理
處	tʃʰu51	处：处所，处里（家里）
書	ʃu44	书：一本书
舒	ʃu44	舒：舒服，姓
鼠	tʃʰu31	鼠：老鼠
暑	ʃu31	暑：暑假，中暑
黍	siuk031	黍：玉米
庶	ʃu51	庶：庶民
恕	ʃu51	恕：饶恕，恕罪
墅	ʃu31	墅：别墅
署	ʃu22	署：署名
薯	ʃu22	薯：番薯，薯片，山药
如	ʒu22	如：如果，假如
汝	ȵi44	汝：第二人称
居	ki44	居：居民
車	ki44	车：车馬炮
舉	ki31	举：举起，举报
據	ki31	据：收据
鋸	ki51	锯：锯子，锯木头
墟	ʃu44	墟：墟市，废墟
去	kʰi51	去：来去，去湿，过去（从前）
渠	kʰi22	渠：水渠，渠道
佢	ki22	佢：他
拒	ki31	拒：拒绝
距	ki31	距：距离
苣	ki31	苣：莴苣
魚	m̩22	鱼：一条鱼
漁	ȵi22	渔：渔业，渔场
語	ȵi44	语：语文
御	ʒu51	御：御用
禦	ʒu51	御：驾御，防御
虛	ʃu44	虚：虚心，心虚，肿
噓	ʃu44	嘘：吹嘘，嘘声
許	ʃu31	许：姓，许多，许愿，许配，远指“那儿”怎么说，答应别人怎么说
於	ʒu22	于：在于
淤	ʒu22	淤：是否用于地名，淤泥，淤塞
余	ʒu22	余：姓
餘	ʒu22	余：多余
與	ʒu44	与：参与，与众不同
予	ʒu44	予：给予
譽	ʒu51	誉：荣誉
預	ʒu51	预：预报，预备
豫	ʒu51	豫：河南简称，犹豫
夫	fu44	夫：夫妻，车夫
膚	fu44	肤：皮肤
府	fu31	府：XX府
腑	fu31	腑：五脏六腑
俯	fu31	俯：俯视，俯卧撑
甫	pʰu31	甫：杜甫
脯	pʰu22	脯：明脯（晒干的乌贼），杏脯
斧	pu31	斧：斧头
付	fu51	付：付钱
賦	fu51	赋：天赋，赋予
傅	fu51	傅：姓，
咐	fu51	咐：吩咐、嘱咐
敷	fu44	敷：敷衍，敷药
俘	fu44	俘：俘虏
孵	pʰu51	孵：孵小鸡
麩	fu44	麸：麦麸
撫	vu31	抚：抚养，安抚，抚恤金
殕	pʰu31	殕：食上生白毛。上殕
赴	fu51	赴：赴汤蹈火，前赴后继
訃	pʰuk031	讣：讣告
符	pʰu22	符：姓，符合，画符
扶	pʰu22	扶：搀扶，扶贫，扶手
芙	fu22	芙：芙蓉
父	fu51	父：父亲，师父
釜	pu31	釜：破釜沉舟
腐	fu31	腐：豆腐，腐败
輔	pʰu31	辅：辅导，辅助
附	fu51	附：附近，附带
無	vu22	无：没有，无产阶级，无中生有
巫	mou22	巫：巫婆，老巫
誣	mou22	诬：诬陷，诬告
武	vu31	武：武器，武力
舞	vu31	舞：跳舞，舞龙
侮	vu44	侮：侮辱
鵡	vu31	鹉：鹦鹉
務	vu51	务：任务，务农
霧	vu51	雾：
縷	leu31	缕：千丝万缕
屢	lei44	屡：屡教不改
趨	tsʰi44	趋：趋势
取	tsʰi31	取：取帐（讨债），取名字，赎取，取得
娶	tsʰi31	娶：
趣	tsʰi51	趣：趣味，有趣
聚	tsʰi51	聚：聚会
須	si44	须：必须
鬚	si44	须：胡须，锦旗下面垂的须
需	si44	需：需要，必需品
續	siuk033	续：连续
誅	tʃu44	诛：天诛地灭
蛛	tʃu44	蛛：蜘蛛
株	tʃu44	株：一株树，守株待兔
拄	tʃʰu44	拄：拄拐杖，挑担时放在另一肩膀上的棍子，休息时可用来支撑
駐	tʃu51	驻：驻扎，驻军，驻马店
註	tʃu51	註：注释
廚	tʃʰu22	厨：厨子，厨头
櫥	tʃʰu22	橱：碗橱
柱	tʃʰu44	柱：柱子，水柱
住	tʃʰu51	住：
雛	tʃʰʅ44	雏：雏形
數	sɿ51	数：动词，念珠怎么说
數	sɿ51	数：数目，分数
朱	tʃu44	朱：姓
硃	tʃu44	硃：朱砂
珠	tʃu44	珠：珍珠，眼睛的说法
主	tʃu31	主：主人，地主
注	tʃu51	注：注意
蛀	tʃu51	蛀：衣服被虫蛀了
鑄	tʃu51	铸：铸铁，铸镬，铸造
樞	kʰi44	枢：北斗七星第一星。枢纽
輸	ʃu44	输：输赢
戍	vu51	戍：戍边
輸	ʃu44	输：运输
殊	ʃu22	殊：特殊
豎	ʃu51	竖：横竖（笔画）
樹	ʃu51	树：一棵树，树立
儒	ʒu22	儒：
乳	ʒu51	乳：乳房，麦乳精，哺乳
擩	ʒu44	擩：擩进去
拘	ki44	拘：拘留
駒	ki44	驹：小马
跔	ki44	跔：蹲
倶	kʰi31	俱：俱备，俱乐部
矩	ki31	矩：规矩
句	ki51	句：一句话，句子
區	kʰi44	区：地区，区别
驅	kʰi44	驱：先驱，驱动
軀	kʰi44	躯：身躯
嶇	kʰi44	岖：崎岖
瞿	kʰi31	瞿：姓
衢	kʰi22	衢：衢州
具	kʰi31	具：具体，家具
懼	kʰi31	惧：恐惧，惧怕
愚	ȵi22	愚：愚蠢，愚公移山
虞	ʒu44	虞：上虞，姓
娛	ŋu22	娱：娱乐
遇	ȵi51	遇：遇见，遭遇
寓	ȵi51	寓：公寓，寓言
吁	ʃu44	吁：气喘吁吁，长吁短叹
迂	ʒu22	迂：迂回
于	ʒu22	于：于是，姓
盂	ʒu31	盂：痰盂，碗怎么说
雨	ʒʅ31	雨：下雨
宇	ʒu51	宇：宇宙
禹	ʒu31	禹：大禹
羽	ʒu51	羽：羽毛
芋	wu51	芋：芋头、芋艿
楡	ʒu22	榆：榆树
逾	ʒu51	逾：逾期
愉	ʒu51	愉：愉快
兪	ʒu22	俞：姓
愈	ʒu51	愈：愈好，病愈
喩	ʒu51	喻：比喻
裕	ʒu51	裕：富裕
獃	tai44	呆：书呆子
戴	tai51	戴：姓，戴帽
胎	tʰɔi44	胎：投胎，双胞胎，胎盘
台	tʰɔi22	台：天台，台州
態	tʰai31	态：态度，心态
貸	tʰɔi51	贷：借贷，贷款
臺	tʰɔi22	台：平台，台湾
台	tʰɔi22	台：平台
苔	tʰɔi22	苔：青苔，舌苔
抬	tʰɔi22	抬：两个人抬
待	tʰai51	待：等待，待人
怠	tʰɔi44	怠：怠慢，怠工
殆	tʰai51	殆：百战不殆
代	tʰɔi51	代：代表
袋	tʰɔi51	袋：口袋，麻袋
逮	tai51	逮：逮捕
耐	lai51	耐：耐心，忍耐
來	lɔi22	来：过来，来去
災	tsai44	灾：水灾，灾难
栽	tsai44	栽：树 菜栽（树 菜苗），栽种
宰	tsai31	宰：宰相
載	tsai51	载：年载
再	tsai51	再：再来
載	tsɔi51	载：载重
猜	tsʰai44	猜：猜谜
彩	tsʰai31	彩：彩色，五彩
踩	tsʰai31	踩：踩油门
睬	tsʰai31	睬：理睬
菜	tsʰɔi51	菜：吃菜
纔	tsʰai22	才：刚才，才来
才	tsʰai22	才：人才，才气
材	tsʰai22	材：棺材，材料
財	tsʰai22	财：财主，发财
裁	tsʰai22	裁：裁缝，裁纸
在	tsʰai51	在：现在，在家
載	tsɔi51	载：满载
腮	sɿ44	腮：脸颊
鰓	sɿ44	鳃：鱼鳃
賽	sɔi51	赛：比赛，赛跑
該	kɔi44	该：应该，该死
改	kɔi31	改：修改，改正
概	kʰɔi31	概：概括，大概
溉	kʰɔi31	溉：灌溉
開	kʰɔi44	开：开门，打开
凱	kʰɔi31	凯：凯旋，乐凯
慨	kʰɔi31	慨：慷慨，感慨
咳	kʰek031	咳：咳嗽
呆	tai44	呆：笨，发呆，痴呆
磑	ȵien44	磑：研，磨
礙	ŋɔi51	碍：妨碍，碍事
海	hɔi31	海：大海
孩	hai22	孩：孩子
亥	hɔi51	亥：地支末位，辛亥革命
哀	ɔi44	哀：悲哀，哀悼
埃	ai44	埃：尘埃，埃及
唉	ai44	唉：唉声叹气
愛	ɔi51	爱：喜爱，爱情
貝	pei51	贝：宝贝，贝壳
狽	pei51	狈：狼狈
沛	pʰai31	沛：充沛，沛公
帶	tai51	带：鞋带，带东西
太	tʰai51	太：太阳，老太婆
泰	tʰai51	泰：泰山
大	tʰai51	大：大夫，大黄，大蒜
奈	nai51	奈：无奈，奈何桥
賴	lai51	赖：姓，无赖，赖帐
癩	lai51	癞：癞头，癞（皮）蛤蟆
瀨	lan44	濑：
蔡	tsʰai51	蔡：姓
蓋	kɔi51	盖：盖子，盖被
丐	kɔi51	丐：乞丐，给，被动标记
艾	ŋei51	艾：艾草（端午节挂于门上,可以避邪除毒），艾滋病
害	hɔi51	害：害人
藹	ai31	蔼：和蔼
拜	pai51	拜：结拜，拜佛，礼拜
排	pʰai22	排：并排，排队
埋	mai22	埋：埋葬，埋头苦干
齋	tsai44	斋：吃斋
豺	sai22	豺：豺狼虎豹
皆	kai44	皆：皆大欢喜
階	kai44	阶：台阶，阶段，阶级
偕	hai22	偕：白头偕老，偕同
稭	kiek031	稭：麦稭
介	kai51	介：介绍，中介
界	kai51	界：世界，边界
芥	kai51	芥：芥菜
尬	kai51	尬：尴尬
疥	kai51	疥：疥疮
屆	kai51	届：第一届，届时
戒	kai51	戒：戒指，戒烟，猪八戒
楷	kʰɔi31	楷：楷书，大楷
諧	hai22	谐：谐音，和谐
駭	hɔi51	骇：骇人听闻，惊骇
械	hai31	械：机械
挨	ai44	挨：挨近，挨住
擺	pai31	摆：摇摆，摆架子，放
派	pʰai31	派：派他去，派出所，老派
簰	pʰai22	排：竹排
牌	pʰai22	牌：牌坊，打牌
罷	pa51	罢：罢工，与“了”相当的助词
稗	pʰei51	稗：雄性的稻子，不能生谷
買	mai44	买：买进
賣	mai51	卖：卖掉
奶	nai44	奶：喂奶，奶奶
債	tsai51	债：讨债，还债
釵	tsʰai44	钗：宝钗，钗子
差	tsʰai44	差：出差
柴	tsʰai22	柴：火柴，柴火
篩	tsʰei44	筛：筛酒，筛子，筛选
灑	sa31	洒：洒水
曬	sai51	晒：晒谷，晒衣服，晒太阳
佳	ka44	佳：人名用字
街	kei44	街：大街
解	kiai31	解：讲解，解释
懈	hai31	懈：身体没劲，浆糊失去黏性，丧失兴趣，关系由密切变得疏远，松懈
涯	ŋai22	涯：天涯
崖	ŋam22	崖：悬崖
捱	ai44	捱：捱打
鞋	hei22	鞋：布鞋，草鞋，皮鞋
解	kiai31	解：姓
解	kiai31	解：知道，懂了
蟹	hai31	蟹：八足二螯
矮	ei31	矮：个子矮
隘	ai51	隘：狭隘
敗	pʰai51	败：打败，失败
邁	mai51	迈：老迈，迈步
寨	tsai51	寨：山寨，大寨
蔽	pi51	蔽：隐蔽
敝	pʰi31	敝：敝人
弊	pi51	弊：作弊
幣	pi51	币：人民币
斃	pi51	毙：枪毙
例	li51	例：举例，例子
厲	li51	厉：严厉，厉害
勵	li51	励：鼓励
祭	tsi51	祭：祭祀
際	tsi51	际：国际
穄	tsi51	穄：穄子，高粱的叫法
滯	tʃʰʅ51	滞：停滞，滞湿(中医用语)，滞后
制	tʃʅ51	制：制度
製	tʃʅ51	製：制造
世	ʃʅ51	世：世界
勢	ʃʅ51	势：势力，有钱有势
誓	ʃʅ51	誓：发誓
逝	ʃʅ51	逝：去逝
藝	ȵi51	艺：艺术，文艺
刈	kɔt031	刈：割
蓖	pin44	蓖：蓖麻
閉	pi51	闭：闭眼，关闭
箅	pi51	箅：蒸笼中的竹屉
批	pʰei44	批：一批，批评
陛	pi31	陛：陛下
鐾	piak031	鐾：蹭，在皮布上擦刀使锋利，鐾笔
迷	mi22	迷：迷路
米	mi31	米：大米
謎	mi51	谜：谜语，猜谜
低	tei44	低：
堤	tʰi22	堤：
底	tei31	底：底气，水底
抵	ti31	抵：抵押
帝	ti51	帝：皇帝，帝国
渧	tik031	渧：液体滴下
蒂	ti51	蒂：瓜蒂
梯	tʰɔi44	梯：楼梯，梯子
體	tʰi31	体：体育，身体
替	tʰei51	替：代替，替身
