#漢字	音標	解釋
多	tɔ55	多 多少
麻	ma21	麻 麻袋
痲	ma21	痲 麻疹
蟆	mɔ55	蟆 蛤蟆
媽	ma55	妈 妈妈
馬	ma24	马 骑马
碼	ma24	码 码头
罵	ma22	骂 骂人
拿	la21	拿 拿手；推拿
茶	tsʰa21	茶 茶叶
搽	tsʰa21	搽 搽药
楂	tsa55	楂 山楂
渣	tsa55	渣 药渣
詐	tsa33	诈 诈骗
榨	tsa33	榨 榨油
炸	tsa33	炸 炸弹
叉	tsʰa55	叉 叉腰
杈	tsʰa55	杈 枝杈
差	tsʰa55	差 差别
岔	tsʰa55	岔 三岔路口
査	tsʰa21	查 调查
沙	sa55	沙 沙漠
紗	sa55	纱 纱布
砂	sa55	砂 朱砂；砂纸
痧	sa55	痧 刮痧；斑痧
灑	sa35	洒 洒水
家	ka55	家 成家，老家
加	ka55	加 加工
痂	ka55	痂 结痂
嘉	ka55	嘉 嘉宾
傢	ka55	家 家具
假	ka35	假 真假
賈	ka35	賈 姓，贾宝玉
假	ka35	假 放假
架	ka33	架 衣架
駕	ka33	驾 驾驶
嫁	ka33	嫁 出嫁
價	ka33	价 价钱
牙	ŋa21	牙 牙齿
芽	ŋa21	芽 豆芽
衙	ŋa21	衙 衙门
蚜	ŋa21	蚜 蚜虫（生在豆类、棉花、稻等幼苗上）
雅	ŋa24	雅 典雅
蝦	ha55	虾 虾蟆（蛤蟆）
?	ha55	虾 虾腰
嚇	hak033	吓 恐吓
霞	ha21	霞 朝霞
瑕	ha21	瑕 瑕疵
蝦	ha55	虾 鱼虾
下	ha22	下 下降
夏	ha22	夏 春夏
廈	ha22	厦 高楼大厦，商厦
下	ha22	下 下面
夏	ha22	夏 姓夏
暇	ha21	暇 目不暇接，闲暇
鴉	ŋa55	鸦 乌鸦
丫	a55	丫 丫头
椏	a55	桠 桠杈
啞	a35	哑 哑巴
亞	a33	亚 亚洲
姐	tsɛ35	姐 姐姐
借	tsɛ33	借 借钱
且	tsʰɛ35	且 而且
藉	tsek022	藉 藉故，藉口
些	sɛ55	些 一些
寫	sɛ35	写 写字
瀉	sɛ24	泻 腹泻
卸	sɛ22	卸 卸货
邪	tsʰɛ21	邪 邪气
斜	tsʰɛ21	斜 斜线
謝	tsɛ22	谢 谢谢；姓
爹	tɛ55	爹 爹娘
遮	tsɛ55	遮 遮挡
者	tsɛ35	者 记者
蔗	tsɛ33	蔗 甘蔗
車	tsʰɛ55	车 火车
扯	tsʰɛ35	扯 拉扯
蛇	sɛ21	蛇 毒蛇
射	sɛ22	射 发射
麝	sɛ22	麝 麝香
奢	tsʰɛ55	奢 奢侈
賒	tsʰɛ55	赊 赊帐
捨	sɛ35	舍 舍得，舍弃
赦	sɛ33	赦 赦免
舍	sɛ24	舍 宿舍
佘	sɛ21	佘 佘太君
社	sɛ24	社 公社
惹	jɛ35	惹 招惹
耶	jɛ21	耶 耶酥
爺	jɛ21	爷 爷爷
椰	jɛ21	椰 椰子
也	ja24	也 也是
野	jɛ24	野 野兔
夜	jɛ22	夜 夜晚
傻	sɔ21	傻 傻瓜
耍	sa35	耍 玩耍
瓜	kwa55	瓜 西瓜
蝸	wɔ55	蜗 蜗牛
寡	kwa35	寡 寡妇
剮	kwa35	剐 千刀万剐
誇	kwʰa55	夸 夸奖；夸张
垮	kwʰa55	垮 垮台
跨	kwʰa55	跨 跨度
瓦	ŋa24	瓦 瓦片
花	fa55	花 开花
化	fa33	化 变化
華	wa21	华 华山
劃	wak022	划 划船
華	wa21	华 中华
蛙	wa55	蛙 青蛙
窪	wa55	洼 低洼
補	pou35	补 补衣服
譜	pʰou35	谱 族谱
布	pou33	布 布匹，一块布
佈	pou33	布 布置；公布
鋪	pʰou55	铺 铺设
普	pʰou35	普 普通
浦	pʰou35	浦 浦江
鋪	pʰou33	铺 店铺
怖	pou33	怖 恐怖
蒲	pʰou21	蒲 蒲团
菩	pʰou21	菩 菩萨
脯	pou22	脯 胸脯
葡	pʰou21	葡 葡萄
部	pou22	部 部队
簿	pou35	簿 帐簿
步	pou22	步 跑步
捕	pou22	捕 捕捉；捕快
埠	fɐu22	埠 埠头
模	mou21	模 模范
模	mou21	模 模型
摹	mou21	摹 摹仿
墓	mou22	墓 坟墓
暮	mou22	暮 日暮
慕	mou21	慕 羡慕
募	mou22	募 募捐
都	tou55	都 都是
都	tou55	都 首都
堵	tou35	堵 堵车
賭	tou35	赌 赌博
肚	tʰou24	肚 猪肚（胃），鱼肚
妒	tou22	妒 妒忌
土	tʰou35	土 土地
吐	tʰou33	吐 呕吐
吐	tʰou33	吐 吐痰
兔	tʰou33	兔 兔子
徒	tʰou21	徒 徒弟
屠	tʰou21	屠 屠杀
途	tʰou21	途 前途
塗	tʰou21	涂 泥涂，涂改
圖	tʰou21	图 地图
杜	tou22	杜 杜仲；姓
肚	tʰou35	肚 肚子，肚脐
度	tɔk033	度 忖度，度长
渡	tou22	渡 偷渡
鍍	tou22	镀 电镀
奴	lou21	奴 奴隶
努	lou35	努 努力
怒	lou22	怒 发怒
盧	lou21	卢 姓卢
爐	lou21	炉 炉子
蘆	lou21	芦 芦苇
魯	lou24	鲁 鲁迅
櫓	lou24	橹 摇船的工具
虜	lou24	虏 俘虏
滷	lou24	卤 卤水
路	lou22	路 马路
賂	lou22	赂 贿赂
露	lou22	露 露水
鷺	lou22	鹭 白鹭
租	tsou55	租 房租
祖	tsou35	祖 祖国
組	tsou35	组 组长
做	tsou22	做 做饭
粗	tsʰou55	粗 粗心
醋	tsʰou33	醋 吃醋
措	tsʰou33	措 措施
錯	tsʰɔ55	错 错误
蘇	sou55	苏 苏州
酥	sou55	酥 酥油，酥饼
素	sou33	素 吃素；朴素
訴	sou33	诉 告诉
塑	sɔk033	塑 塑像
姑	ku55	姑 姑娘
孤	ku55	孤 孤独
箍	kʰu55	箍 紧箍咒
辜	ku55	辜 无辜，辜负
古	ku35	古 古代
估	ku35	估 估计
牯	ku35	牯 牛牯
股	ku35	股 股票
鼓	ku35	鼓 鼓励
蠱	ku35	蛊 蛊惑；整蛊
故	ku33	故 故事
固	ku33	固 固定
雇	ku33	雇 雇主
顧	ku33	顾 照顾
枯	ku55	枯 枯萎
苦	fu35	苦 吃苦
庫	fu33	库 水库
褲	fu33	裤 裤子
吳	m̩21	吴 姓
蜈	m̩21	蜈 蜈蚣
梧	m̩21	梧 梧桐
五	m̩24	五 第五
伍	m̩24	伍 队伍
午	m̩24	午 中午
誤	m̩22	误 错误
悟	m̩22	悟 孙悟空
呼	fu55	呼 呼吸
虎	fu35	虎 老虎
滸	wu35	滸 水浒传
戽	fu33	戽 戽水
胡	wu21	胡 二胡；姓
湖	wu21	湖 太湖
狐	wu21	狐 狐狸
壺	wu21	壶 水壶
乎	fu21	乎 在乎
鬍	wu21	胡 胡须
葫	wu21	葫 葫芦
糊	wu21	糊 糊涂
蝴	wu21	蝴 蝴蝶
戶	wu22	户 户口
滬	wu22	沪 上海简称
互	wu22	互 互相
護	wu22	护 保护
烏	wu55	乌 乌鸦
污	wu55	污 污染
塢	wu55	坞 船坞
惡	wu33	恶 可恶
女	løy24	女 女儿
廬	lou21	庐 庐山
驢	lou21	驴 毛驴
呂	løy24	吕 姓
旅	løy24	旅 旅游
慮	løy22	虑 考虑
濾	løy22	滤 过滤
絮	sy22	絮 棉絮
徐	tsʰøy21	徐 姓
序	tsøy22	序 秩序
叙	tsøy22	叙 叙述
緖	søy22	绪 情绪；光绪
豬	tsy55	猪 猪肉
著	tsy33	著 著名
除	tsʰøy21	除 除法
儲	tsʰy21	储 储蓄
苧	tsʰy35	苎 苎麻
阻	tsɔ24	阻 阻力
初	tsʰɔ55	初 初中
楚	tsʰɔ35	楚 清楚
礎	tsʰɔ35	础 基础
鋤	tsʰɔ21	锄 锄头
助	tsɔ22	助 帮助
梳	sɔ55	梳 梳头
疏	sɔ55	疏 疏远
蔬	sɔ55	蔬 蔬菜
所	sɔ35	所 所以
疏	sɔ55	疏 注疏
諸	tsy55	诸 诸葛亮
煮	tsy35	煮 煮饭
處	tsʰy24	处 处理
處	tsʰy24	处 处所
書	sy55	书 书本
舒	sy55	舒 舒服
暑	sy35	暑 暑假
鼠	sy35	鼠 老鼠
庶	sy22	庶 庶民
恕	sy22	恕 饶恕
墅	søy22	墅 别墅
署	tsʰy24	署 署名；专署
薯	sy21	薯 番薯
如	jy21	如 如果
居	køy55	居 居民
車	køy55	车 车马炮
舉	køy35	举 举报
據	køy33	据 收据
鋸	kœ33	锯 电锯
墟	høy55	墟 废墟
去	høy33	去 来去
渠	kʰøy21	渠 水渠
佢	køy35	佢 他；她；它
巨	køy22	巨 巨大
拒	kʰøy24	拒 拒绝
距	kʰøy24	距 距离
魚	jy35	鱼 金鱼
漁	jy21	渔 渔业；渔场
語	jy24	语 语文
御	jy22	御 御用
禦	jy22	御 驾御，防御
虛	høy55	虚 虚心
噓	høy55	嘘 吹嘘
許	høy35	许 许多
於	jy55	于 在于
淤	jy55	淤 淤泥
余	jy21	余 姓
餘	jy21	余 多余
與	jy24	与 给与；参与
譽	jy22	誉 荣誉
預	jy22	预 预备
豫	jy21	豫 犹豫
夫	fu55	夫 夫妻
膚	fu55	肤 皮肤
府	fu35	府 广府
腑	fu35	腑 五脏六腑
俯	fu24	俯 俯视
甫	pʰu24	甫 杜甫
脯	pʰu24	脯 杏脯
斧	fu24	斧 斧头
付	fu22	付 应付
賦	fu22	赋 天赋
傅	fu22	傅 姓
咐	fu22	咐 吩咐
敷	fu55	敷 敷药
俘	fu55	俘 俘虏
孵	fu22	孵 孵小鸡
麩	fu55	麸 麦麸
撫	fu35	抚 抚养
赴	fu22	赴 奔赴；赴汤蹈火
符	fu21	符 符合
扶	fu21	扶 扶手
芙	fu21	芙 芙蓉
父	fu22	父 父亲
腐	fu22	腐 豆腐
輔	fu22	辅 辅助
附	fu22	附 附近
無	mou21	无 没有；无中生有
巫	mou21	巫 巫婆
誣	mou21	诬 诬告
武	mou24	武 武力
舞	mou24	舞 跳舞
侮	mou24	侮 侮辱
鵡	mou24	鹉 鹦鹉
務	mou22	务 任务
霧	mou22	雾 大雾
屢	løy24	屡 屡教不改
趨	tsʰøy55	趋 趋势
取	tsʰøy35	取 取得
娶	tsʰøy35	娶 嫁娶
趣	tsʰøy33	趣 兴趣
聚	tsøy22	聚 聚会
須	søy55	须 必须
鬚	sou55	须 胡须
需	søy55	需 需要
續	tsok022	续 继续
誅	tsy55	诛 天诛地灭
蛛	tsy55	蛛 蜘蛛
株	tsy55	株 守株待兔
駐	tsy33	驻 驻扎
註	tsy33	注 注释
廚	tsʰy21	厨 厨房
柱	tsʰy24	柱 柱子
住	tsy22	住 住宿
數	sou35	数 数星星
數	sou33	数 数学
朱	tsy55	朱 姓
硃	tsy55	朱 朱砂
珠	tsy55	珠 珍珠
主	tsy35	主 主人
注	tsy33	注 注意
蛀	tsy33	蛀 虫蛀
鑄	tsy33	铸 铸铁
樞	sy55	枢 枢纽
輸	sy55	输 输赢
輸	sy55	输 运输
殊	sy21	殊 特殊
豎	sy22	竖 横竖
樹	sy22	树 树木
儒	jy21	儒 儒家
乳	jy24	乳 乳房
拘	kʰøy55	拘 拘留
倶	køy22	俱 俱乐部
矩	køy35	矩 规矩
句	køy33	句 句子
區	kʰøy55	区 地区
驅	kʰøy55	驱 驱动；先驱
具	køy22	具 具体；家具
懼	køy22	惧 恐惧
愚	jy21	愚 愚蠢
娛	jy21	娱 娱乐
遇	jy22	遇 遇见
寓	jy21	寓 寓言
迂	jy55	迂 迂回
于	jy55	于 姓
雨	jy24	雨 下雨
宇	jy24	宇 宇宙
禹	jy24	禹 大禹
羽	jy24	羽 羽毛
芋	jy22	芋 芋头
愉	jy22	愉 愉快
愈	jy21	愈 愈加；病愈
喩	jy22	喻 比喻
裕	jy22	裕 富裕
獃	ŋɔi21	呆 发呆
戴	tai22	戴 戴帽
胎	tʰɔi55	胎 双胞胎
態	tʰai22	态 态度
貸	tʰai22	贷 贷款
臺	tʰɔi21	台 台湾
苔	tʰɔi21	苔 青苔
抬	tʰɔi21	抬 担抬，两个人抬
待	tɔi22	待 等待
怠	tʰɔi35	怠 怠慢
代	tɔi22	代 代表
袋	tɔi22	袋 口袋
乃	lai24	乃 人名用字
耐	lɔi22	耐 耐心
來	lɔi21	来 过来
災	tsɔi55	灾 水灾
栽	tsɔi55	栽 栽种
宰	tsɔi35	宰 宰相
載	tsɔi33	载 满载
再	tsɔi33	再 再来
載	tsɔi33	载 年载
猜	tsʰai55	猜 猜谜
踩	tsʰai35	踩 踩死
彩	tsʰɔi35	彩 彩色
採	tsʰɔi35	采 采摘；采集
睬	tsʰɔi35	睬 理睬
菜	tsʰɔi33	菜 青菜
才	tsʰɔi21	才 天才；才气
材	tsʰɔi21	材 材料
財	tsʰɔi21	财 发财
裁	tsʰɔi21	裁 裁缝
纔	tsʰɔi21	才 刚才
在	tsɔi22	在 现在
載	tsɔi33	载 载重
腮	sɔi55	腮 腮红
鰓	sɔi55	鳃 鱼鳃
賽	tsʰɔi33	赛 比赛
該	kɔi55	该 应该
改	kɔi35	改 修改
概	kʰɔi33	概 大概
溉	kʰɔi33	溉 灌溉
開	hɔi55	开 开门
凱	hɔi35	凯 凯旋
慨	kʰɔi33	慨 感慨
咳	kʰɐt055	咳 咳嗽
礙	ŋɔi22	碍 妨碍
海	hɔi35	海 大海
孩	hai21	孩 孩子
亥	hɐt033	亥 辛亥革命
哀	ɔi55	哀 悲哀
埃	ai55	埃 尘埃
愛	ɔi33	爱 喜爱
貝	pui33	贝 宝贝
沛	pʰui33	沛 充沛
帶	tai33	带 鞋带
太	tʰai33	太 太阳
泰	tʰai33	泰 泰山
大	tai22	大 大小
奈	lɔi22	奈 无奈
賴	lai22	赖 无赖
癩	lat022	癞 癞头
蔡	tsʰɔi33	蔡 姓
蓋	kɔi33	盖 盖子
丐	kʰɔi33	丐 乞丐
艾	ai33	艾 艾草
害	hɔi22	害 害人
藹	ŋɔi35	蔼 和蔼
拜	pai22	拜 礼拜；拜佛
排	pʰai21	排 排队
埋	mai21	埋 埋葬
齋	tsai55	斋 吃斋
豺	tsʰai21	豺 豺狼
皆	kai55	皆 皆大欢喜
階	kai55	阶 台阶
介	kai33	介 介绍
界	kai33	界 世界
芥	kai33	芥 芥菜
尬	kai33	尬 尴尬
疥	kai33	疥 疥疮
屆	kai33	届 应届
戒	kai33	戒 戒指
揩	kai55	揩 揩油
楷	kai55	楷 楷书
諧	hai21	谐 和谐
駭	hɐt022	骇 惊骇
械	hai35	械 机械
挨	ai55	挨 挨近
擺	pai35	摆 摇摆
派	pʰai22	派 派出所
牌	pʰai21	牌 牌坊
箄	pʰai21	排 竹排
罷	pa22	罢 罢工
稗	pei55	稗 稗子
買	mai24	买 买进
賣	mai22	卖 卖掉
奶	lai24	奶 奶奶
債	tsai22	债 还债
釵	tsʰai55	钗 宝钗；钗子
差	tsʰai55	差 出差
柴	tsʰai21	柴 火柴
篩	sɐi55	筛 米筛
灑	sa35	洒 洒水
曬	sai33	晒 晒谷
佳	kai55	佳 佳节
街	kai55	街 大街
解	kai35	解 讲解
懈	hai24	懈 松懈
涯	ŋai21	涯 天涯
崖	ŋai21	崖 悬崖
捱	ŋai21	捱 捱苦，捱打
鞋	hai21	鞋 布鞋
解	kai35	解 理解（知道，懂了）
蟹	hai35	蟹 螃蟹
矮	ɐi35	矮 高矮
敗	pai22	败 失败
邁	mai22	迈 迈步
寨	tsai33	寨 山寨
蔽	pɐi33	蔽 隐蔽
弊	pɐi22	弊 作弊
幣	pɐi22	币 人民币
斃	pɐi22	毙 枪毙
例	lɐi22	例 例子
厲	lɐi22	厉 厉害
勵	lei22	励 鼓励
祭	tsɐi33	祭 祭祀
際	tsɐi33	际 国际
滯	tsɐi22	滯 停滞
制	tsɐi33	制 制度
製	tsɐi22	制 制造
世	sɐi33	世 世界
勢	sɐi33	势 势力
誓	sɐi22	誓 发誓
逝	sɐi22	逝 逝去，逝世
藝	ŋɐi22	艺 艺术
蓖	pei33	蓖 蓖麻
閉	pɐi33	闭 关闭
批	pʰɐi55	批 批评
迷	mɐi21	迷 迷路
米	mɐi24	米 大米
謎	mɐi21	谜 谜语
低	tɐi55	低 高低
堤	tʰɐi21	堤 河堤
底	tɐi35	底 水底
抵	tɐi35	抵 抵押
帝	tɐi33	帝 皇帝
蒂	tʰɐi21	蒂 瓜蒂，并蒂莲
梯	tʰɐi55	梯 楼梯
體	tʰɐi35	体 身体
替	tʰɐi33	替 代替
涕	tʰɐi33	涕 鼻涕
剃	tʰɐi33	剃 剃头
題	tʰɐi21	題 题目
提	tʰɐi21	提 提问
蹄	tʰɐi21	蹄 猪蹄
啼	tʰɐi21	啼 鸡啼
弟	tɐi22	弟 弟弟
第	tɐi22	第 第一
遞	tɐi22	递 传递
泥	lɐi21	泥 水泥
犁	lɐi21	犁 犁地
黎	lɐi21	黎 黎明；姓
禮	lɐi24	礼 礼貌
麗	lɐi22	丽 美丽
隸	tɐi22	隶 奴隶；隶属
莉	lei22	莉 茉莉
擠	tsɐi55	挤 拥挤
濟	tsɐi33	济 经济
妻	tsʰɐi55	妻 妻子
砌	tsʰɐi33	砌 砌墙
齊	tsʰɐi21	齐 整齐
臍	tsʰei22	脐 肚脐
劑	tsɐi55	剂 药剂
西	sɐi55	西 东西南北
棲	tsʰɐi55	栖 栖息，两栖
犀	sɐi55	犀 犀牛
洗	sɐi35	洗 洗衣服
細	sɐi33	细 粗细；大细
婿	sɐi33	婿 女婿
雞	kɐi55	鸡 公鸡
稽	kʰɐi55	稽 稽查
計	kɐi33	计 会计
繼	kɐi33	继 继续
繫	hɐi22	系 联系
髻	kɐi33	髻 发髻
溪	kʰɐi55	溪 小溪
啓	kʰɐi35	启 启发
契	kʰɐi33	契 地契
倪	ŋɐi21	倪 姓
系	hɐi22	系 系统；中文系
繫	hɐi22	系 系鞋带
係	hɐi22	系 是
杯	pui55	杯 茶杯
輩	pui33	辈 长辈
背	pui33	背 背书
胚	pʰei55	胚 胚胎
坯	pʰei55	坯 毛坯
配	pʰui24	配 分配
培	pʰui21	培 培训
陪	pʰui21	陪 陪伴
賠	pʰui21	赔 赔钱
裴	pui21	裴 姓
倍	pʰui24	倍 倍数
佩	pʰui24	佩 佩服
背	pui33	背 后背
焙	pui33	焙 焙干
梅	mui21	梅 梅花
枚	mui21	枚 一枚
媒	mui21	媒 媒人
煤	mui21	煤 煤矿
玫	mui21	玫 玫瑰
莓	mui21	莓 草莓
每	mui24	每 每天
妹	mui35	妹 妹妹
昧	mei22	昧 拾金不昧
堆	tøi55	堆 堆放
對	tøi33	对 对错
推	tʰøi55	推 推动
腿	tʰøi35	腿 腿部
退	tʰøi33	退 退后
隊	tøi22	队 队伍
內	løi22	内 内外
雷	løi21	雷 雷公；姓
累	løi22	累 极困；劳累
催	tsʰøi55	催 催眠
崔	tsʰøi55	崔 姓
罪	tsøi22	罪 犯罪
碎	søi33	碎 破碎
盔	fui55	盔 头盔
魁	fui55	魁 魁悟
恢	fui55	恢 恢复
塊	fai33	块 块状
桅	ŋɐi21	桅 桅杆
灰	fui55	灰 灰色
賄	kʰui35	贿 贿赂
悔	fui33	悔 后悔
晦	fui33	晦 晦气
回	wui21	回 回去
茴	wui21	茴 茴香
匯	wui22	汇 汇报
潰	kʰui35	溃 溃疡
煨	wui55	煨 煨番薯
蛻	jøi22	蜕 蜕变
兌	tøi22	兑 兑换
最	tsøi33	最 最好
會	wui35	会 会不会
劊	kʰui24	刽 刽子手
檜	kʰui24	桧 秦桧
外	ŋɔi22	外 外面
會	wui22	会 会计
會	wui35	会 开会
繪	kʰui24	绘 绘画
乖	kwai55	乖 小孩听话
怪	kwai33	怪 奇怪
懷	wai21	怀 胸怀
槐	wai21	槐 槐树
淮	wɐi21	淮 淮河
壞	wai22	坏 好坏
拐	kwai35	拐 拐卖
掛	kwa33	挂 挂钩
卦	kwa33	卦 卜卦；八卦
歪	wai55	歪 歪斜
畫	wa35	画 油画
蛙	wa55	蛙 青蛙
快	fai33	快 快点；快车
筷	fai33	筷 筷子
話	wa24	话 说话
脆	tsʰøi33	脆 干脆
歲	søi33	岁 万岁
贅	tsøi22	赘 入赘
稅	sɔi33	税 税收
鱖	kwɐi33	鳜 鳜鱼
衛	wɐi22	卫 卫生
銳	jøi22	锐 尖锐
廢	fɐi33	废 废品
肺	fɐi33	肺 猪肺
吠	fɐi22	吠 狗叫、狗吠
穢	wɐi33	秽 污秽
圭	kwɐi55	圭 人名用字
閨	kwɐi55	闺 闺房
桂	kwɐi33	桂 桂花
奎	kwʰɐi21	奎 人名用字
攜	kwʰɐi21	携 携带
惠	wɐi22	惠 优惠
慧	wɐi22	慧 智慧
碑	pei55	碑 石碑
卑	pei55	卑 卑鄙
彼	pei35	彼 彼此
俾	pei35	俾 俾使
臂	pei35	臂 手臂
披	pʰei55	披 披上
譬	pʰei35	譬 譬如；譬喻
皮	pʰei21	皮 果皮
疲	pʰei21	疲 疲劳
脾	pʰei21	脾 脾气
被	pei22	被 被动
婢	pei22	婢 婢女
被	pʰei35	被 棉被
避	pei22	避 避开
糜	mei21	糜 糜烂；粥
彌	lei21	弥 弥补
離	lei21	离 离别
籬	lei21	篱 篱笆
璃	lei55	璃 玻璃
荔	lɐi33	荔 荔枝
離	lei21	离 离开
紫	tsʰi35	紫 紫色
雌	tsʰi35	雌 雌雄
此	tsʰi35	此 此地
刺	tsʰi33	刺 鱼刺
斯	si55	斯 斯大林
撕	si55	撕 撕破
璽	sai35	玺 玉玺
徙	sai24	徙 迁徙
賜	tsʰi33	赐 赏赐
知	tsi55	知 知道
蜘	tsi55	蜘 蜘蛛
智	tsi33	智 智慧
池	tsʰi21	池 池塘
馳	tsʰi21	驰 奔驰
篩	sɐi55	筛 筛子
支	tsi55	支 支持
枝	tsi55	枝 荔枝
肢	tsi55	肢 四肢
紙	tsi35	纸 白纸
只	tsi35	只 只有
侈	tsʰi35	侈 奢侈
施	si55	施 施肥
翅	tsʰi33	翅 鱼翅
匙	si21	匙 钥匙；匙羹
是	si22	是 是不是
氏	si22	氏 姓氏
豉	si22	豉 豆豉
兒	ji21	儿 儿童
爾	ji24	尔 尔虞我诈
寄	kei33	寄 寄信
企	kʰei24	企 企业
奇	kʰei21	奇 奇怪
騎	kʰɛ21	骑 骑马
岐	kʰei21	岐 岐山
徛	kʰei24	徛 站立
技	kei22	技 技术
妓	kei22	妓 妓女
宜	ji21	宜 便宜
儀	ji21	仪 礼仪
蟻	ŋɐi24	蚁 蚂蚁
誼	ji21	谊 友谊
義	ji33	义 情义
議	ji33	议 会议
犧	hei55	牺 牺牲
戲	hei33	戏 大戏
倚	ji35	倚 倚靠
椅	ji35	椅 椅子
移	ji21	移 移动
易	ji22	易 容易
悲	pei55	悲 悲伤
鄙	pʰei24	鄙 卑鄙
比	pei35	比 对比
秕	pʰei55	秕 秕谷（不饱满的稻谷）
秘	pei33	秘 秘密
泌	pei33	泌 分泌
庇	pei33	庇 包庇
痹	pei33	痹 麻痹
丕	pʰei55	丕 曹丕
屁	pʰei33	屁 放屁
琵	pʰei21	琵 琵琶
枇	pʰei21	枇 枇杷
備	pei22	备 准备
鼻	pei22	鼻 鼻涕
篦	pei55	篦 篦子（可抓虱子的很密的梳子）
眉	mei21	眉 眉毛
楣	mei21	楣 门楣
黴	mui21	霉 发霉
美	mei24	美 美化
媚	mei21	媚 妩媚
地	tei22	地 土地
尼	lɐi21	尼 尼姑
膩	lei22	腻 油腻
梨	lei21	梨 雪梨
履	løi24	履 履行
利	lei22	利 有利
痢	lei22	痢 痢疾
資	tsi55	资 资本
姿	tsi55	姿 姿势
咨	tsi55	咨 咨询
姊	tsɛ35	姊 姊妹
次	tsʰi33	次 名次
瓷	tsʰi21	瓷 陶瓷
糍	tsʰi21	糍 糍粑；糯米糍
自	tsi22	自 自己
私	si55	私 自私
死	sei35	死 死亡
四	sei33	四 四个
肆	si33	肆 放肆
致	tsi33	致 导致
遲	tsʰi21	迟 迟到
稚	tsi33	稚 幼稚
師	si55	师 老师
獅	si55	狮 狮子
脂	tsi55	脂 脂肪
旨	tsi35	旨 奉旨
指	tsi35	指 手指
至	tsi33	至 至少
示	si22	示 启示
尸	si55	尸 死尸
矢	tsʰi24	矢 有的放矢
屎	si35	屎 狗屎
視	si22	视 近视
嗜	tsʰi33	嗜 嗜好
二	ji22	二 第二
貳	ji22	二 二心
飢	kei55	饥 饥饿
