#漢字	音標	解釋
誇	kʰua55	夸 夸奖；夸张
跨	kʰua55	跨 跨度
瓦	ŋa31	瓦 瓦片
花	fa55	花 开花
化	fa33	化 变化
華	fa24	华 中华；华山
蛙	ʋa55	蛙 青蛙
補	pu31	补 补衣服
譜	pʰu31	谱 族谱
布	pu33	布 布匹，一块布
鋪	pʰu55	铺 铺设，铺床
普	pʰu55	普 普通
鋪	pʰu33	铺 店铺
蒲	pʰu31	蒲 蒲团，蒲草
菩	pʰo24	菩 菩萨
葡	pʰu24	葡 葡萄
部	pʰu33	部 部队
簿	pʰu33	簿 帐簿
步	pʰu33	步 跑步
模	mu55	模 模子，模范
墓	mu33	墓 坟墓
募	mu33	募 募捐
都	tu55	都 都是；首都
堵	tu31	堵 堵车
賭	tu31	赌 赌博
肚	tu31	肚 猪肚（胃），鱼肚
妒	tu33	妒 妒忌
土	tʰu31	土 土地
吐	tʰu33	吐 吐痰；呕吐
兔	tʰu33	兔 兔子
徒	tʰu24	徒 徒弟
途	tʰu24	途 前途
圖	tʰu24	图 地图
杜	tʰu33	杜 杜仲；姓
肚	tu31	肚 肚子，肚脐
度	tʰu33	度 温度
渡	tʰu33	渡 偷渡
奴	nu24	奴 奴隶
努	nu24	努 努力
怒	nu33	怒 发怒
盧	lu24	卢 姓卢
爐	lu24	炉 炉子
魯	lu55	鲁 鲁迅
滷	lu24	卤 卤水
路	lu33	路 马路
露	lu33	露 露水
租	tsu55	租 房租
祖	tsu31	祖 祖国
組	tsu31	组 组长
做	tso33	做 做饭
粗	tsʰu55	粗 粗心
醋	tsʰu33	醋 吃醋
錯	tsʰo33	错 错误
蘇	sɿ55	苏 苏州
酥	su55	酥 酥油，酥饼
素	su33	素 吃素；朴素
訴	su33	诉 告诉；诉讼
姑	ku55	姑 姑娘
孤	ku55	孤 孤独
箍	kʰu55	箍 紧箍咒
古	ku31	古 古代
估	kʰu55	估 估计
牯	ku31	牯 牛牯
股	ku31	股 股票
鼓	ku31	鼓 鼓励
故	ku33	故 故事
固	ku33	固 固定
雇	ku33	雇 雇主
顧	ku33	顾 照顾
枯	kʰu55	枯 枯萎
苦	kʰu31	苦 吃苦
庫	kʰu33	库 水库
褲	kʰu33	裤 裤子
吳	ɲɲ̍24	吴 姓
蜈	ɲɲ̍24	蜈 蜈蚣
五	ɲɲ̍31	五 第五
午	ɲɲ̍31	午 中午
誤	ɲɲ̍33	误 错误
呼	fu55	呼 呼吸
虎	fu31	虎 老虎
戽	fu33	戽 戽水
胡	fu24	胡 二胡；姓
湖	fu24	湖 太湖
壺	fu24	壶 水壶
乎	fu55	乎 在乎
戶	fu33	户 户口
互	fu24	互 互相
護	fu33	护 保护
烏	u55	乌 乌鸦
污	u55	污 污染
塢	u55	坞 船坞
惡	u33	恶 可恶，厌恶
女	ɲɲ̍31	女 女儿
廬	lu24	庐 庐山
呂	li55	吕 姓
旅	li31	旅 旅游
慮	li33	虑 考虑
蛆	tsu33	蛆 蛆虫
徐	tsʰi24	徐 姓
序	tsʰi33	序 秩序
叙	tsʰi33	叙 叙述
豬	tsu55	猪 猪肉
著	tsu33	著 著名
除	tsʰu24	除 除法
儲	tsʰu24	储 储蓄
箸	tsʰu33	箸 筷子；箸笼
阻	tsu31	阻 阻力
初	tsʰo55	初 初中
楚	tsʰu31	楚 清楚
鋤	tsʰio24	锄 锄头
助	tsʰu33	助 帮助
梳	sɿ55	梳 梳头
蔬	so55	蔬 蔬菜
所	so31	所 所以
諸	tsu55	诸 诸葛亮
煮	tsu31	煮 煮饭
處	tsu31	处 处理
處	tsʰu33	处 处所
書	su55	书 书本
暑	su31	暑 暑假
鼠	su31	鼠 老鼠
恕	su31	恕 饶恕
薯	su24	薯 番薯
如	i24	如 如果
居	ki55	居 居民
車	ki55	车 车马炮
舉	ki31	举 举报
據	ki31	据 收据
鋸	ki33	锯 电锯
墟	hi55	墟 废墟
去	hi33	去 来去
渠	kʰi55	渠 水渠
佢	ki24	佢 他；她；它
巨	kʰi55	巨 巨大
距	kʰi55	距 距离
魚	ɲɲ̍24	鱼 金鱼
語	ȵi55	语 语文
禦	ȵi33	御 防御
虛	hi55	虚 虚心
許	hi31	许 许多
淤	i24	淤 淤泥
余	i24	余 姓；多余
與	i31	与 给与；参与
預	i33	预 预备
夫	fu55	夫 夫妻
府	fu31	府 广府
脯	pʰu31	脯 杏脯
斧	pu31	斧 斧头
付	fu33	付 应付
敷	pʰu55	敷 敷药
麩	kʰu55	麸 麦麸
撫	mu31	抚 抚养
赴	fu33	赴 奔赴；赴汤蹈火
符	fu24	符 符合
扶	fu24	扶 扶手
父	fu33	父 父亲
腐	fu33	腐 豆腐
附	fu33	附 附近
無	mo24	无 没有；无中生有
武	ʋu31	武 武力
舞	mu31	舞 跳舞
務	mu33	务 任务
霧	mu33	雾 大雾
屢	lui55	屡 屡教不改
趨	tsʰi55	趋 趋势
取	tsʰi31	取 取得
趣	tsʰi33	趣 兴趣
聚	tsɿ33	聚 聚会
鬚	sɿ55	须 胡须
需	sɿ55	需 需要
蛛	tsu55	蛛 蜘蛛
駐	tsu33	驻 驻扎，驻军
廚	tsʰu24	厨 厨房
柱	tsʰu55	柱 柱子
住	tsʰu33	住 住宿
數	su33	数 数星星（动词）
數	su33	数 少数（名词）
朱	tsu55	朱 姓
珠	tsu55	珠 珍珠
主	tsu31	主 主人
注	tsu33	注 注意
鑄	tsu33	铸 铸铁
輸	su55	输 输赢；运输
殊	su24	殊 特殊
豎	su33	竖 横竖
樹	su33	树 树木
儒	i24	儒 儒家
乳	iui31	乳 乳妈（文）
拘	kʰi55	拘 拘留
矩	ki31	矩 规矩
句	ki33	句 句子
區	kʰi55	区 地区
具	kʰi33	具 具体；家具
愚	ȵi24	愚 愚蠢
娛	ɲɲ̍33	娱 娱乐
遇	ȵi31	遇 遇见
迂	i24	迂 迂回
于	i24	于 姓
雨	i31	雨 下雨
羽	i31	羽 羽毛
芋	u33	芋 芋头
愉	i33	愉 愉快
裕	i33	裕 富裕
獃	ŋɔi24	呆 发呆
戴	tai33	戴 戴帽
胎	tʰɔi55	胎 双胞胎
態	tʰai31	态 态度
貸	tʰɔi33	贷 贷款
臺	tʰɔi24	台 台湾；天台
苔	tʰɔi24	苔 青苔
抬	tʰɔi24	抬 担抬，两个人抬
待	tʰɔi33	待 等待
代	tʰɔi33	代 代表
袋	tʰɔi33	袋 口袋
乃	nai55	乃 人名用字
耐	nai33	耐 耐心
來	lɔi24	来 过来
災	tsai55	灾 水灾
宰	tsai31	宰 宰相
再	tsai33	再 再来
載	tsɔi33	载  载重；满载
猜	tsʰai55	猜 猜谜
彩	tsʰɔi31	彩 彩色
睬	tsʰɔi31	睬 理睬
菜	tsʰɔi33	菜 青菜
才	tsʰɔi24	才 天才；刚才
材	tsʰɔi24	材 材料
財	tsʰɔi24	财 发财
在	tsʰai33	在 现在
鰓	sɔi55	鳃 鱼鳃
賽	sɔi33	赛 比赛
該	kɔi55	该 应该
改	kɔi31	改 修改
概	kʰɔi33	概 大概
開	hɔi55	开 开门
凱	kʰai31	凯 凯旋
咳	kʰɛʔ055	咳 咳嗽
礙	ŋɔi33	碍 妨碍
海	hɔi31	海 大海
孩	hai24	孩 孩子
亥	hɔi33	亥 辛亥革命
哀	ɔi55	哀 悲哀
埃	ai55	埃 尘埃；埃及
愛	ɔi33	爱 喜爱
貝	pui33	贝 宝贝
沛	pʰui33	沛 充沛
帶	tai33	带 鞋带
太	tʰai33	太 太阳
泰	tʰai33	泰 泰山
大	tʰai33	大 大小；大黄（药名）
奈	nai33	奈 无奈
賴	lai33	赖 无赖
癩	lai33	癞 癞痢头
蔡	tsʰɔi33	蔡 姓
蓋	kɔi33	盖 盖子
艾	ŋai33	艾
害	hɔi33	害 害人
拜	pai33	拜 礼拜；拜佛
排	pʰai24	排 排队
埋	mai24	埋 埋葬
齋	tsai55	斋 吃斋
豺	sai24	豺 豺狼
階	kai55	阶 台阶
芥	kai33	芥 芥菜
尬	kai33	尬 尴尬
戒	kai33	戒 戒指
楷	kai55	楷 楷书
諧	hai24	谐 和谐
械	kai33	械 机械
挨	ai55	挨 挨近
擺	pai31	摆 摇摆
派	pʰai31	派 派出所
牌	pʰai24	牌 牌坊
罷	pʰa31	罢 罢工
稗	pʰai31	稗 稗子
買	mai55	买 买进
賣	mai33	卖 卖掉
奶	nai31	奶 奶奶
債	tsai33	债 还债
差	tsʰai55	差 出差
柴	tsʰai24	柴 火柴
篩	se55	筛 筛子，米筛
灑	sa31	洒 洒水
曬	sai33	晒 晒谷
街	kai55	街 大街
解	kai31	解 理解（文）
崖	ŋai24	崖 悬崖
捱	ŋai31	捱 捱苦，捱打
鞋	hai24	鞋 布鞋
蟹	hai31	蟹 螃蟹
矮	ai31	矮 高矮
敗	pʰai33	败 失败
邁	mai31	迈 迈步
寨	tsʰai33	寨 山寨
蔽	pi33	蔽 隐蔽
幣	pʰi31	币 人民币
斃	pi31	毙 枪毙
例	le33	例 例子
厲	li33	厉 厉害
祭	tsɿ33	祭 祭祀
際	tsɿ33	际 国际
滯	ne33	滯 停滞
制	tse33	制 制度；制造
世	se33	世 世界
勢	se33	势 势力
誓	sɿ33	誓 发誓
藝	ŋe33	艺 艺术
蓖	pi55	蓖 蓖麻
閉	pi33	闭 关闭
批	pʰe55	批 批评
迷	mi24	迷 迷路
米	mi31	米 大米
低	te55	低 高低
堤	tʰi24	堤 河堤
底	te31	底 水底
抵	te31	抵 抵押
帝	ti33	帝 皇帝
梯	tʰɔi55	梯 楼梯
體	tʰi31	体 身体
替	tʰe33	替 代替
題	tʰi24	題 题目
提	tʰi24	提 提问
弟	tʰi33	弟 兄弟（文）
第	tʰi33	第 第一
遞	tʰi24	递 传递
泥	ne24	泥 水泥
犁	le24	犁 犁地
黎	le24	黎 黎明；姓
禮	li55	礼 礼貌
麗	li33	丽 美丽
擠	tsai55	挤 拥挤
濟	tsɿ33	济 经济
妻	tsʰi55	妻 妻子
砌	kɛʔ021	砌 砌墙
齊	tsʰe24	齐 整齐
臍	tsʰi24	脐 肚脐
劑	tsai55	剂 药剂
西	sɿ55	西 东西南北
犀	sɿ55	犀 犀牛
洗	se31	洗 洗衣服
細	se33	细 粗细；大细
婿	se33	婿 女婿
雞	ke55	鸡 公鸡
計	ke33	计 会计
繼	ke33	继 继续
溪	kʰe55	溪 小溪
啓	kʰe31	启 启发
契	kʰe33	契 地契
倪	i24	倪 姓
系	he33	系 系统；中文系
係	he33	系 是
杯	pui55	杯 茶杯
輩	pui33	辈 长辈
背	pɔi33	背 后背
坯	pʰɔi55	坯 毛坯
配	pʰui31	配 分配
陪	pʰɔi24	陪 陪伴
賠	pʰɔi24	赔 赔钱
倍	pʰui31	倍 倍数
佩	pui33	佩 佩服
背	pʰɔi33	背 背书，背诵
焙	pʰɔi33	焙 焙干
梅	mɔi24	梅 梅花
媒	mɔi24	媒 媒人
每	mui55	每 每天
妹	mɔi33	妹 妹妹
堆	tɔi55	堆 堆放
對	tui33	对 对错
推	tʰui55	推 推动
腿	tʰui31	腿 腿部
退	tʰui33	退 退后
隊	tui33	队 队伍
內	nui33	内 内外
雷	lui24	雷 雷公；姓
累	lui31	累 劳累，很累
催	tsʰui55	催 催眠
罪	tsʰui33	罪 犯罪
碎	sui33	碎 破碎
盔	kʰui55	盔 头盔
恢	fɔi55	恢 恢复
塊	kʰuai33	块 块状
桅	ŋui24	桅 桅杆
灰	fɔi55	灰 灰色
賄	fui31	贿 贿赂
悔	fui31	悔 后悔
回	fui24	回 回去
茴	fui24	茴 茴香
匯	fui33	汇 汇报
潰	kʰui33	溃 溃疡
煨	ʋɔi55	煨 煨番薯
蛻	tʰui33	蜕 蜕皮，蝉蜕
兌	tui33	兑 兑换
最	tsui33	最 最好
會	fui33	会 会计；开会；会不会
外	ŋɔi33	外 外面
乖	kuai55	乖 小孩听话
怪	kuai33	怪 奇怪
懷	fai24	怀 胸怀
淮	fai24	淮 淮河
壞	fai33	坏 好坏
拐	kuai31	拐 拐卖
掛	kua33	挂 挂钩
卦	kua33	卦 卜卦；八卦
歪	ʋai55	歪 歪斜
畫	ʋaʔ055	画 油画（名词）；画圈（动词）
蛙	ʋa55	蛙 青蛙
快	kʰuai33	快 快点；快车
話	ʋa33	话 说话
脆	tsʰui33	脆 干脆
歲	sɔi33	岁 万岁
贅	tsui33	赘 入赘
稅	sɔi33	税 税收
衛	ʋui31	卫 卫生
銳	iui31	锐 尖锐
廢	fui33	废 废品
肺	fui33	肺 猪肺
吠	pʰɔi33	吠 狗叫、狗吠
閨	kui55	闺 闺房
桂	kui33	桂 桂花
奎	kʰui24	奎 人名用字
攜	kʰui24	携 携带
惠	iui33	惠 优惠
慧	iui33	慧 智慧
碑	pi55	碑 石碑
彼	pi31	彼 彼此
臂	pi33	臂 手臂
皮	pʰi24	皮 果皮
脾	pʰi24	脾 脾气
被	pʰi55	被 棉被
被	pʰi55	被 被动
避	pʰit021	避 避开
糜	mi24	糜 糜烂；粥
離	li24	离 离别，离开
璃	li24	璃 玻璃
荔	li24	荔 荔枝（新）
紫	tsɿ31	紫 紫色
雌	tsʰi55	雌 雌雄
此	tsʰi31	此 此地
刺	tsʰi33	刺 鱼刺
撕	sɿ55	撕 撕破
賜	su33	赐 赏赐
知	ti55	知 知道（白）
蜘	tsʰi55	蜘 蜘蛛
智	tsɿ33	智 智慧
池	tsʰi24	池 池塘
支	tsɿ55	支 支持
枝	tsɿ55	枝 荔枝
紙	tsɿ31	纸 白纸
只	tsit021	只 只有
舐	sai31	舐 舔
施	sɿ55	施 施肥
翅	tsʰi33	翅 鱼翅
匙	sɿ24	匙 钥匙；匙羹
是	sɿ33	是 是非
豉	sɿ33	豉 豆豉
兒	i24	儿 儿童
寄	ki33	寄 寄信
企	kʰi55	企 企业
奇	kʰi24	奇 奇怪
騎	kʰi24	骑 骑马
徛	kʰi55	徛 站立
技	kʰi33	技 技术
妓	kʰi33	妓 妓女
宜	ȵi24	宜 便宜
儀	ȵi33	仪 礼仪
蟻	ŋe33	蚁 蚂蚁
誼	ȵi24	谊 友谊
義	ȵi33	义 情义
犧	hi55	牺 牺牲
戲	hi33	戏 大戏
椅	i31	椅 椅子
移	i24	移 移动
易	i33	易 容易
悲	pui55	悲 悲伤
比	pi31	比 对比
秘	pi33	秘 秘密
痹	pi33	痹 麻痹
丕	pui55	丕 曹丕
屁	pʰi33	屁 放屁
琵	pʰi24	琵 琵琶
枇	pʰi24	枇 枇杷
備	pʰi33	备 准备
鼻	pʰi33	鼻 鼻涕
眉	mi24	眉 眉毛
黴	mɔi24	霉 发霉；倒霉
美	mui55	美 美化
地	tʰi33	地 土地
尼	ne24	尼 尼姑
膩	ne33	腻 油腻
梨	li24	梨 雪梨
履	li33	履 履行
利	li33	利 有利
痢	li33	痢 痢疾，癞痢
資	tsɿ55	资 资本
姿	tsɿ55	姿 姿势，姿态
姊	tsɿ31	姊 姊妹
次	tsʰi33	次 名次
瓷	tsʰi24	瓷 陶瓷
自	tsʰi33	自 自己
私	sɿ55	私 自私
死	sɿ31	死 死亡
四	sɿ33	四 四个
致	tsɿ33	致 导致
遲	tsʰi24	迟 迟到
稚	tsʰi55	稚 幼稚
師	sɿ55	师 老师
獅	sɿ55	狮 狮子
脂	tsɿ55	脂 脂肪
指	tsɿ31	指 手指
至	tsɿ33	至 至少
示	sɿ33	示 启示
尸	sɿ55	尸 死尸
屎	sɿ31	屎 狗屎
視	sɿ33	视 近视
二	ȵi33	二 第二
飢	ki55	饥 饥饿
肌	ki55	肌 肌肉
几	ki55	几 茶几
器	kʰi33	器 武器
棄	kʰi33	弃 放弃
伊	i55	伊 伊犁
姨	i24	姨 阿姨，姨妈，姨丈
你	ni55	你 你（文）
狸	li24	狸 狐狸
李	li31	李 姓
里	li55	里 公里
裏	li31	里 里面
吏	li31	吏 官吏
滋	tsɿ55	滋 滋润
子	tsɿ31	子 孔子；子孙
慈	tsʰi24	慈 慈悲
字	sɿ33	字 文字
司	sɿ55	司 公司
絲	sɿ55	丝 丝绸
思	sɿ55	思 思念；意思
辭	tsʰi24	辞 告辞
祠	tsʰi24	祠 祠堂
似	tsʰi33	似 相似
巳	sɿ31	巳 地支第六
寺	sɿ31	寺 寺庙
置	tsɿ31	置 布置
癡	tsʰi55	痴 痴呆
恥	tsʰi31	耻 耻辱
持	tsʰi24	持 坚持
痔	tsɿ33	痔 痔疮
治	tsʰi33	治 治安
廁	tsɛʔ021	厕 厕所
士	sɿ33	士 士兵
柿	sɿ33	柿 柿子
事	sɿ33	事 事情
使	su31	使 大使馆
使	su31	使 使用
史	sɿ31	史 历史
駛	su31	驶 驾驶
之	tsɿ55	之 之前
芝	tsɿ55	芝 灵芝
止	tsɿ31	止 停止
址	tsɿ31	址 地址
志	tsɿ33	志 志气；标志
痣	tsɿ33	痣 与胎记不同
齒	tsʰi31	齿 牙齿
詩	sɿ55	诗 诗人
始	tsʰi31	始 开始
試	sɿ33	试 考试
時	sɿ24	时 时间
市	sɿ33	市 市场
侍	sɿ33	侍 服侍
而	lu24	而 而且
耳	ȵi31	耳 耳朵
餌	ȵi31	饵 钓饵
基	ki55	基 基本
箕	ki55	箕 粪箕
己	ki31	己 自己
紀	ki31	纪 纪律；年纪
紀	ki33	纪 纪念
記	ki33	记 记号
欺	kʰi55	欺 欺负
起	hi31	起 起床
杞	ki31	杞 枸杞
棋	kʰi24	棋 下棋
旗	kʰi24	旗 红旗
忌	ki33	忌 禁忌，避忌
疑	ȵi24	疑 怀疑
嬉	hi55	嬉 嬉戏，嬉笑
煕	hi55	熙 康熙
喜	hi31	喜 喜欢
醫	i55	医 医生
意	i33	意 大意
已	ki31	已 已经
以	i31	以 可以
異	i33	异 异同
幾	ki55	几 几乎
機	ki55	机 机器
饑	ki55	饥 饥荒
幾	ki31	几 几个
既	ki31	既 既然
豈	kʰi31	岂 岂有此理
氣	hi33	气 空气
祈	kʰi24	祈 祈祷，祈福
毅	ŋai33	毅 毅力
希	hi55	希 希望
稀	hi55	稀 稀有
衣	i55	衣 衣服
依	i55	依 依靠
累	lui31	累 累积；连累
嘴	tsui31	嘴 嘴巴（文）
髓	sɔi31	髓 骨髓
隨	tsʰui24	隨 随便
吹	tsʰɔi55	吹 吹牛
垂	sui24	垂 下垂
睡	sɔi33	睡 午睡
瑞	sui33	瑞 瑞雪
蕊	sim55	蕊 花蕊
規	kʰui55	规 规矩
虧	kʰui55	亏 吃亏
跪	kʰui31	跪 下跪
危	ŋui24	危 危险
僞	ŋui31	伪 虚伪
毀	fui31	毁 毁灭
委	ʋui31	委 委托；委员
爲	ʋui24	为 行为；为什么
壘	lui31	垒 堡垒
類	lui33	类 分类
淚	lui33	泪 眼泪
醉	tsui33	醉 喝醉
翠	tsʰui31	翠 翡翠
雖	sui55	虽 虽然
隧	sui33	隧 隧道
穗	iui33	穗 谷穗，稻穗
追	tsui55	追 追赶
錘	tsʰui24	锤 铁锤
衰	sɔi55	衰 衰老
摔	ʋut021	摔 摔跤
帥	sui33	帅 元帅
錐	tsui55	锥 圆锥，锥子（名）；锥人（动）
水	sui31	水 水果
誰	sui24	谁 谁人
龜	kui55	龟 乌龟
軌	kui31	轨 铁轨
癸	kʰui24	癸 天干第十
愧	kʰui31	愧 惭愧
季	kui33	季 四季
葵	kʰui24	葵 向日葵
櫃	kʰui33	柜 柜台
位	ʋui33	位 地位
維	ʋui24	维 维持
遺	ʋui31	遗 遗失
唯	ʋui24	唯 唯有；唯一
非	fui55	非 非常
飛	fui55	飞 飞机
匪	fui31	匪 土匪
沸	fut021	沸 沸腾，水沸
妃	fui55	妃 贵妃
費	fui33	费 浪费
肥	pʰui24	肥 肥料
翡	fui31	翡 翡翠
微	mi24	微 细微
尾	mui55	尾 尾巴
味	mui33	味 味道
歸	kui55	归 回归
鬼	kui31	鬼 鬼神
貴	kui33	贵 贵客
魏	ŋui31	魏 魏国；姓
揮	fui55	挥 指挥
徽	fui55	徽 国徽，徽章
諱	ʋui31	讳 忌讳
威	ʋui55	威 威风
慰	ʋui31	慰 安慰
違	ʋui31	违 违背
圍	ʋui24	围 包围
偉	ʋui31	伟 伟大
胃	ʋui31	胃 肠胃
匯	fui33	汇 汇报
褒	po55	褒 褒奖
保	po31	保 保护
寶	po31	宝 宝贝
報	po33	报 报告；日报
袍	pʰau24	袍 长袍
抱	pʰau31	抱 拥抱
暴	pʰau33	暴 暴露
菢	pʰau31	菢 菢小鸡
毛	mo55	毛 毛笔
冒	mau31	冒 冒充，冒险
刀	to55	刀 菜刀
島	to31	岛 海岛
搗	to31	捣 捣乱
倒	to31	倒 打倒；倒水
到	to33	到 来到
滔	tʰau55	滔 滔滔不绝
討	tʰo31	讨 讨好
套	tʰo33	套 配套
桃	tʰo24	桃 桃花
陶	tʰo24	陶 陶瓷
道	tʰo33	道 道理
稻	tʰo33	稻 水稻
盜	tʰo33	盗 强盗
導	tʰo31	导 领导
腦	no31	脑 大脑
勞	lo24	劳 劳动
撈	lou55	捞 打捞；捞钱；捞面
牢	lo24	牢 坐牢
老	lo31	老 老实
澇	lo24	涝 洪涝
遭	tsou55	遭 遭殃
糟	tsou55	糟 酒糟；糟糕
早	tso31	早 早上
棗	tso31	枣 红枣
澡	tsʰau33	澡 洗澡
躁	tsʰau33	躁 暴躁
竈	tso33	灶 灶神
操	tsʰau55	操 操作
草	tsʰo31	草 青草
糙	tsʰo33	糙 粗糙，糙米
曹	tsʰo24	曹 阴曹；姓
槽	tsʰo24	槽 猪槽
皂	tsʰo33	皂 肥皂；皂角
造	tsʰo33	造 制造
騷	so55	骚 风骚
臊	so55	臊 羊臊气
掃	so33	扫 扫地（动）；扫把（名）
嫂	so31	嫂 大嫂
髙	ko55	高 跳高
糕	ko55	糕 蛋糕
稿	ko31	稿 草稿
吿	ko33	告 报告
考	kʰau31	考 考试
烤	kʰau31	烤 烧烤
靠	kʰau33	靠 可靠
熬	ŋau24	熬 难熬
傲	ŋau33	傲 骄傲
好	ho31	好 好坏
好	hau33	好 爱好
耗	ho33	耗 消耗
毫	ho24	毫 毫厘
豪	ho24	豪 豪华
號	ho33	号 号叫，呼号（动）；号码（名）
浩	hau31	浩 浩荡
襖	o31	襖 棉襖
澳	o33	澳 澳门
包	pau55	包 钱包
胞	pau55	胞 同胞
飽	pau31	饱 吃饱
豹	pau33	豹 一种动物
爆	pʰau33	爆 爆炸
泡	pʰau33	泡 水泡，气泡
拋	pʰau55	抛 抛弃
炮	pʰau33	炮 枪炮
泡	pʰau33	泡 泡茶
跑	pʰau55	跑 跑步
刨	pʰau24	刨 刨地，刨木（动）
鉋	pʰau24	刨 刨子，瓜刨（名）
茅	mau24	茅 茅草
貓	miau55	猫 花猫
錨	miau24	锚 抛锚
卯	mau55	卯 子丑寅卯
貌	mau31	貌 礼貌
鬧	nau33	闹 热闹
罩	tsau33	罩 灯罩
抓	tsa55	抓 抓牌，抓人
爪	tsau31	爪 脚爪
找	tsau31	找 找东西
笊	tsau31	笊 笊籬（捞馄饨用）
抄	tsʰau55	抄 抄书
鈔	tsʰau55	钞 钞票
炒	tsʰau31	炒 炒股
吵	tsʰau31	吵 吵架
巢	tsʰau24	巢 雀巢
梢	siau55	梢 树梢
稍	tsʰiau31	稍 稍等
潲	sau33	潲 猪食
交	kau55	交 交通
膠	kau55	胶 胶水
