#漢字	音標	解釋
多	to55	多 多少
靴	hɛ55	靴 靴子
巴	pa55	巴 巴掌
芭	pa55	芭 芭蕉
把	pa35	把 把握、一把
霸	pa33	霸 霸王
壩	pa33	坝 堤坝
爸	pa55	爸 爸爸
怕	pʰa33	怕 害怕
爬	pʰa21	爬 爬树
杷	pʰa21	杷 枇杷
麻	ma21	麻 麻袋
痲	ma21	痲 麻疹
媽	ma55	妈 妈妈
馬	ma13	马 骑马
碼	ma13	码 码头
罵	ma21	骂 骂人
拿	na21	拿 拿手；推拿
茶	tsʰa21	茶 茶叶
搽	tsʰa21	搽 搽药
楂	tsa55	楂 山楂
渣	tsa55	渣 药渣
詐	tsa33	诈 诈骗
榨	tsa33	榨 榨油
叉	tsʰa55	叉 叉腰；母夜叉
杈	tsʰa55	杈 枝杈
差	tsʰa55	差 差别
岔	tsʰa55	岔 三岔路口
査	tsʰa21	查 调查
沙	sa55	沙 沙漠
紗	sa55	纱 纱布
痧	sa55	痧 刮痧；斑痧
灑	sa35	洒 洒水
家	ka55	家 成家，老家；家具
加	ka55	加 加工
假	ka35	假 真假
假	ka35	假 放假，假期
架	ka33	架 衣架
價	ka33	价 价钱
牙	ŋa21	牙 牙齿
芽	ŋa21	芽 豆芽
蝦	ha55	虾 鱼虾
霞	ha21	霞 朝霞
夏	ha21	夏 春夏
下	ha21	下 樓下；下面
鴉	a55	鸦 乌鸦
椏	a55	桠 桠杈
啞	a35	哑 哑巴
亞	a33	亚 亚洲
姐	tsei35	姐 姐姐
借	tsɛ33	借 借钱
且	tsʰɛ35	且 而且
些	ɬɛ55	些 一些
寫	ɬɛ35	写 写字
卸	ɬɛ33	卸 卸货
邪	tsʰɛ21	邪 邪气
斜	tsʰɛ21	斜 斜线
謝	tsɛ21	谢 谢谢；姓
爹	tɛ55	爹 爹娘
遮	tsɛ55	遮 遮挡
者	tsɛ35	者 记者
蔗	tsɛ33	蔗 甘蔗
車	tsʰɛ55	车 火车
扯	tsʰɛ35	扯 拉扯
蛇	sɛ21	蛇 毒蛇
射	sɛ21	射 发射
麝	sɛ21	麝 麝香
賒	sɛ55	赊 赊帐
捨	sɛ35	舍 舍得，舍弃
舍	sɛ33	舍 宿舍
社	sɛ13	社 公社
惹	iɛ13	惹 招惹
爺	iɛ21	爷 爷爷
也	ia13	也 也是
野	iɛ13	野 野兔
夜	iɛ21	夜 夜晚
傻	so21	傻 傻瓜
瓜	kwa55	瓜 西瓜
寡	kwa35	寡 寡妇
誇	kwʰa55	夸 夸奖；夸张
跨	kwʰa55	跨 跨度
瓦	ŋa13	瓦 瓦片
花	fa55	花 开花
化	fa33	化 变化
華	ʋa21	华 中华；华山
蛙	ʋa55	蛙 青蛙
補	pu35	补 补衣服
譜	pʰu35	谱 族谱
布	pu33	布 布匹，一块布
鋪	pʰu55	铺 铺设，铺床
普	pʰu35	普 普通
鋪	pʰu33	铺 店铺
蒲	pʰu55	蒲 蒲团，蒲草
菩	pʰo21	菩 菩萨
葡	pʰu21	葡 葡萄
部	pu21	部 部队
簿	pu21	簿 帐簿
步	pu21	步 跑步
埠	fɐu21	埠 埠头
模	mu55	模 模子，模范
墓	mu21	墓 坟墓
募	mu21	募 募捐
都	tu55	都 都是；首都
堵	tu35	堵 堵车
賭	tu35	赌 赌博
肚	tu13	肚 猪肚（胃），鱼肚
妒	tu21	妒 妒忌
土	tʰu35	土 土地
吐	tʰu33	吐 吐痰；呕吐
兔	tʰu33	兔 兔子
徒	tʰu21	徒 徒弟
途	tʰu21	途 前途
圖	tʰu21	图 地图
杜	tu21	杜 杜仲；姓
肚	tu13	肚 肚子，肚脐
度	tu21	度 温度
渡	tu21	渡 偷渡
奴	nu21	奴 奴隶
努	nu13	努 努力
怒	nu21	怒 发怒
盧	lu21	卢 姓卢
爐	lu21	炉 炉子
魯	lu13	鲁 鲁迅
滷	lu13	卤 卤水
路	lu21	路 马路
露	lu21	露 露水
租	tsu55	租 房租
祖	tsu35	祖 祖国
組	tsu35	组 组长
做	tsu33	做 做饭
粗	tsʰu55	粗 粗心
醋	tsʰu33	醋 吃醋
錯	tsʰo33	错 错误
蘇	ɬu55	苏 苏州
酥	ɬu55	酥 酥油，酥饼
素	ɬu33	素 吃素；朴素
訴	ɬu33	诉 告诉；诉讼
姑	ku55	姑 姑娘
孤	ku55	孤 孤独
箍	kʰu55	箍 紧箍咒
古	ku35	古 古代
估	kʰu55	估 估计
牯	ku35	牯 牛牯
股	ku35	股 股票
鼓	ku35	鼓 鼓励
故	ku33	故 故事
固	ku33	固 固定
雇	ku33	雇 雇主
顧	ku33	顾 照顾
枯	kʰu55	枯 枯萎
苦	fu35	苦 吃苦
庫	fu33	库 水库
褲	fu33	裤 裤子
吳	ŋŋ̍21	吴 姓
蜈	ŋŋ̍21	蜈 蜈蚣
五	ŋŋ̍13	五 第五
午	ŋŋ̍13	午 中午
誤	ŋŋ̍21	误 错误
呼	fu55	呼 呼吸
虎	fu35	虎 老虎
戽	fu33	戽 戽水
胡	fu21	胡 二胡；姓
湖	fu21	湖 太湖
壺	fu21	壶 水壶
乎	fu21	乎 在乎
戶	fu13	户 户口
互	fu21	互 互相
護	fu21	护 保护
烏	wu53	乌 乌鸦
污	wu53	污 污染
惡	wu21	恶 可恶，厌恶
女	nui13	女 女儿
廬	lu21	庐 庐山
呂	lui13	吕 姓
旅	lei13	旅 旅游
慮	lei21	虑 考虑
蛆	tsʰei55	蛆 蛆虫
徐	tsʰi21	徐 姓
序	tsei21	序 秩序
叙	tsei21	叙 叙述
豬	tsi55	猪 猪肉
著	tsi33	著 著名
除	tsʰi21	除 除法
儲	tsʰi13	储 储蓄
箸	tsi21	箸 筷子；箸笼
阻	tso35	阻 阻力
初	tsʰo55	初 初中
楚	tsʰo35	楚 清楚
鋤	tsʰo21	锄 锄头
助	tso21	助 帮助
梳	so55	梳 梳头
蔬	so55	蔬 蔬菜
所	so35	所 所以
諸	tsi55	诸 诸葛亮
煮	tsi35	煮 煮饭
處	tsʰi35	处 处理
處	tsʰi33	处 处所
書	si55	书 书本
暑	si35	暑 暑假
鼠	si35	鼠 老鼠
恕	si33	恕 饶恕
薯	si21	薯 番薯
如	i21	如 如果
居	kei55	居 居民
車	kei55	车 车马炮
舉	kei35	举 举报
據	kei21	据 收据
鋸	kei33	锯 电锯
墟	hui55	墟 废墟
去	hui33	去 来去
渠	kei21	渠 水渠
佢	kʰei13	佢 他；她；它
巨	kei21	巨 巨大
距	kʰei13	距 距离
魚	ȵi21	鱼 金鱼
語	ȵi13	语 语文
禦	i21	御 防御
虛	hei55	虚 虚心
許	hei35	许 许多
淤	i55	淤 淤泥
余	i21	余 姓；多余
與	i13	与 给与；参与
預	i21	预 预备
夫	fu55	夫 夫妻
府	fu35	府 广府
脯	pʰu35	脯 杏脯
斧	pu35	斧 斧头
付	fu21	付 应付
敷	fu55	敷 敷药
麩	kʰu55	麸 麦麸
撫	mu35	抚 抚养
赴	fu21	赴 奔赴；赴汤蹈火
符	fu21	符 符合
扶	fu21	扶 扶手
父	fu21	父 父亲
腐	fu21	腐 豆腐
附	fu21	附 附近
無	mou21	无 没有；无中生有
武	mu13	武 武力
舞	mu35	舞 跳舞
務	mu21	务 任务
霧	mu21	雾 大雾
屢	lui13	屡 屡教不改
趨	tsʰei55	趋 趋势
取	tsʰei35	取 取得
趣	tsʰei33	趣 兴趣
聚	tsei21	聚 聚会
鬚	ɬu55	须 胡须
需	ɬei55	需 需要
蛛	tsi55	蛛 蜘蛛
駐	tsi21	驻 驻扎，驻军
廚	tsʰi21	厨 厨房
柱	tsʰi13	柱 柱子
住	tsi21	住 住宿
數	su33	数 数星星（动词）
數	su33	数 少数（名词）
朱	tsi55	朱 姓
珠	tsi55	珠 珍珠
主	tsi35	主 主人
注	tsi33	注 注意
鑄	tsi33	铸 铸铁
輸	si55	输 输赢；运输
殊	si21	殊 特殊
豎	si21	竖 横竖
樹	si21	树 树木
儒	i21	儒 儒家
乳	ȵiui13	乳 乳房
拘	kʰei55	拘 拘留
矩	kei35	矩 规矩
句	kei33	句 句子
區	kʰei55	区 地区
具	kei21	具 具体；家具
愚	i21	愚 愚蠢
娛	ŋŋ̍21	娱 娱乐
遇	i21	遇 遇见
迂	i55	迂 迂回
于	i55	于 姓
雨	i13	雨 下雨
羽	i13	羽 羽毛
芋	wu21	芋 芋头
愉	i21	愉 愉快
裕	i21	裕 富裕
獃	ŋoi55	呆 发呆
戴	tai33	戴 戴帽
胎	tʰoi55	胎 双胞胎
態	tʰai33	态 态度
貸	tʰai33	贷 贷款
臺	tʰoi21	台 台湾；天台
苔	tʰo21	苔 青苔
抬	tʰoi21	抬 担抬，两个人抬
待	toi21	待 等待
代	toi21	代 代表
袋	toi21	袋 口袋
乃	nai13	乃 人名用字
耐	noi21	耐 耐心
來	loi21	来 过来
災	tsoi55	灾 水灾
宰	tsoi35	宰 宰相
再	tsoi33	再 再来
載	tsoi33	载  载重；满载
猜	tsʰai55	猜 猜谜
彩	tsʰoi35	彩 彩色
睬	tsʰoi35	睬 理睬
菜	tsʰoi33	菜 青菜
才	tsʰoi21	才 天才；刚才
材	tsʰoi21	材 材料
財	tsʰoi21	财 发财
在	tsoi21	在 现在
鰓	ɬoi55	鳃 鱼鳃
賽	ɬoi33	赛 比赛
該	koi55	该 应该
改	koi35	改 修改
概	kʰoi33	概 大概
開	hoi55	开 开门
凱	hoi35	凯 凯旋
咳	kʰɐʔ055	咳 咳嗽
礙	ŋoi21	碍 妨碍
海	hoi35	海 大海
孩	hai21	孩 孩子
亥	hoi21	亥 辛亥革命
哀	oi55	哀 悲哀
埃	ai55	埃 尘埃；埃及
愛	oi33	爱 喜爱
貝	pui33	贝 宝贝
沛	pʰui13	沛 充沛
帶	tai33	带 鞋带
太	tʰai33	太 太阳
泰	tʰai33	泰 泰山
大	tai21	大 大小；大黄（药名）
奈	noi21	奈 无奈
賴	lai21	赖 无赖
蔡	tsʰoi33	蔡 姓
蓋	koi33	盖 盖子
艾	ŋoi21	艾 艾草
害	hoi21	害 害人
拜	pai33	拜 礼拜；拜佛
排	pʰai21	排 排队
埋	mai21	埋 埋葬
齋	tsai55	斋 吃斋
豺	tsʰoi21	豺 豺狼
階	kai55	阶 台阶
芥	kai33	芥 芥菜
尬	kai33	尬 尴尬
戒	kai33	戒 戒指
楷	kai55	楷 楷书
諧	hai21	谐 和谐
械	hai21	械 机械
挨	ai55	挨 挨近
擺	pai35	摆 摇摆
派	pʰai33	派 派出所
牌	pʰai21	牌 牌坊
罷	pa21	罢 罢工
稗	pɐi21	稗 稗子
買	mai13	买 买进
賣	mai21	卖 卖掉
奶	nai13	奶 奶奶
債	tsai33	债 还债
差	tsʰai55	差 出差
柴	tsʰai21	柴 火柴
篩	sɐi55	筛 筛子，米筛
灑	sa35	洒 洒水
曬	sai33	晒 晒谷
街	kai55	街 大街
解	kai35	解 解开；理解
崖	ŋam21	崖 悬崖
捱	ŋai21	捱 捱苦，捱打
鞋	hai21	鞋 布鞋
蟹	hai13	蟹 螃蟹
矮	ai35	矮 高矮
敗	pai21	败 失败
邁	mai21	迈 迈步
寨	tsai21	寨 山寨
蔽	pɐi33	蔽 隐蔽
幣	pɐi21	币 人民币
斃	pɐi21	毙 枪毙
例	lɐi21	例 例子
厲	lɐi21	厉 厉害
祭	tsɐi33	祭 祭祀
際	tsɐi33	际 国际
滯	tsɐi21	滯 停滞
制	tsɐi33	制 制度；制造
世	sɐi33	世 世界
勢	sɐi33	势 势力
誓	sɐi21	誓 发誓
藝	ŋɐi21	艺 艺术
蓖	pei55	蓖 蓖麻
閉	pɐi33	闭 关闭
批	pʰɐi55	批 批评
迷	mɐi21	迷 迷路
米	mɐi13	米 大米
低	tɐi55	低 高低
堤	tʰɐi21	堤 河堤
底	tɐi35	底 水底
抵	tɐi35	抵 抵押
帝	tɐi33	帝 皇帝
梯	tʰɐi55	梯 楼梯
體	tʰɐi35	体 身体
替	tʰɐi33	替 代替
涕	tʰɐi33	涕 鼻涕
題	tʰɐi21	題 题目
提	tʰɐi21	提 提问
弟	tɐi21	弟 弟弟
第	tɐi21	第 第一
遞	tɐi21	递 传递
泥	nɐi21	泥 水泥
犁	lɐi21	犁 犁地
黎	lɐi21	黎 黎明；姓
禮	lɐi13	礼 礼貌
麗	lɐi21	丽 美丽
擠	tsɐi55	挤 拥挤
濟	tsɐi33	济 经济
妻	tsʰɐi55	妻 妻子
砌	tsʰɐi33	砌 砌墙
齊	tsʰɐi21	齐 整齐
臍	tsʰei21	脐 肚脐
劑	tsɐi55	剂 药剂
西	ɬɐi55	西 东西南北
犀	ɬɐi55	犀 犀牛
洗	ɬɐi35	洗 洗衣服
細	ɬɐi33	细 粗细；大细
婿	ɬɐi33	婿 女婿
雞	kɐi55	鸡 公鸡
計	kɐi33	计 会计
繼	kɐi33	继 继续
溪	kʰɐi55	溪 小溪
啓	kʰɐi35	启 启发
契	kʰɐi33	契 地契
系	hɐi21	系 系统；中文系
係	hɐi21	系 是
杯	pui55	杯 茶杯
輩	pui33	辈 长辈
背	pui33	背 后背，背人
坯	pʰui55	坯 毛坯
配	pʰui13	配 分配
陪	pʰui21	陪 陪伴
賠	pʰui21	赔 赔钱
倍	pʰui13	倍 倍数
佩	pui33	佩 佩服
背	pui33	背 背书，背诵
焙	pui21	焙 焙干
梅	mui21	梅 梅花
媒	mui21	媒 媒人
每	mui13	每 每天
妹	mui21	妹 妹妹
堆	tui55	堆 堆放
對	tui33	对 对错
推	tʰui55	推 推动
腿	tʰui35	腿 腿部
退	tʰui33	退 退后
隊	tui21	队 队伍
內	nui21	内 内外
雷	lui21	雷 雷公；姓
累	lui13	累 劳累，很累
催	tsʰui55	催 催眠
罪	tsui21	罪 犯罪
碎	ɬui33	碎 破碎
盔	kwʰɐi55	盔 头盔
恢	fui55	恢 恢复
塊	fai33	块 块状
桅	ʋɐi21	桅 桅杆
灰	fui55	灰 灰色
賄	kʰui13	贿 贿赂
悔	fui35	悔 后悔
回	wui21	回 回去
茴	wui21	茴 茴香
匯	wui21	汇 汇报
潰	kʰui33	溃 溃疡
煨	wui55	煨 煨番薯
蛻	tʰui33	蜕 蜕皮，蝉蜕
兌	tui33	兑 兑换
最	tsui33	最 最好
會	wui21	会 会计；开会；会不会
外	ŋoi21	外 外面
乖	kwai55	乖 小孩听话
怪	kwai33	怪 奇怪
懷	ʋai21	怀 胸怀
淮	ʋɐi21	淮 淮河
壞	ʋai21	坏 好坏
拐	kwai35	拐 拐卖
掛	kwʰa33	挂 挂钩
卦	kwa33	卦 卜卦；八卦
歪	ʋai55	歪 歪斜
畫	ʋak022	画 油画（名词）；画圈（动词）
蛙	ʋa55	蛙 青蛙
快	fai33	快 快点；快车
筷	fai33	筷 筷子
話	ʋa21	话 说话
脆	tsʰui33	脆 干脆
歲	ɬui33	岁 万岁
贅	tsui21	赘 入赘
稅	sui33	税 税收
衛	wɐi21	卫 卫生
銳	iui21	锐 尖锐
廢	fei33	废 废品
肺	fei33	肺 猪肺
吠	fei21	吠 狗叫、狗吠
閨	kwɐi55	闺 闺房
桂	kwɐi33	桂 桂花
奎	kwʰɐi21	奎 人名用字
攜	kwʰɐi21	携 携带
惠	wɐi21	惠 优惠
慧	wɐi33	慧 智慧
碑	pei55	碑 石碑
彼	pʰei35	彼 彼此
臂	pei33	臂 手臂
披	pʰei55	披 披上
皮	pʰei21	皮 果皮
脾	pʰei21	脾 脾气
被	pʰei13	被 棉被
被	pei21	被 被动
避	pei21	避 避开
離	lei21	离 离别，离开
璃	lei55	璃 玻璃
荔	lɐi21	荔 荔枝
紫	tsi35	紫 紫色
雌	tsʰi55	雌 雌雄
此	tsʰi35	此 此地
刺	tsʰi33	刺 鱼刺
撕	si55	撕 撕破
璽	ɬai35	玺 玉玺
賜	tsʰi33	赐 赏赐
知	tsi55	知 知道
蜘	tsi55	蜘 蜘蛛
智	tsi33	智 智慧
池	tsʰi21	池 池塘
支	tsi55	支 支持
枝	tsi55	枝 荔枝
紙	tsi35	纸 白纸
只	tsi35	只 只有
舐	liɛm13	舐 舔
施	si55	施 施肥
翅	tsʰi33	翅 鱼翅
匙	si21	匙 钥匙；匙羹
是	si21	是 是不是
豉	si21	豉 豆豉
兒	ȵi21	儿 儿童
寄	kei33	寄 寄信
企	kʰei13	企 企业
奇	kʰei21	奇 奇怪
騎	kʰei21	骑 骑马
徛	kʰei13	徛 站立
技	kei21	技 技术
妓	kei21	妓 妓女
宜	ȵi21	宜 便宜
儀	ȵi21	仪 礼仪，仪表
蟻	ŋɐi13	蚁 蚂蚁
誼	ȵi21	谊 友谊
義	ȵi21	义 情义
犧	hei55	牺 牺牲
戲	hei33	戏 大戏
椅	i35	椅 椅子
移	i21	移 移动
易	i21	易 容易
悲	pei55	悲 悲伤
比	pei35	比 对比
秘	pei33	秘 秘密
痹	pei33	痹 麻痹
丕	pʰui55	丕 曹丕
屁	pʰei33	屁 放屁
琵	pʰi21	琵 琵琶
枇	pʰi21	枇 枇杷
備	pei21	备 准备
鼻	pei21	鼻 鼻涕
眉	mei21	眉 眉毛
黴	mui21	霉 发霉；倒霉
美	mei13	美 美化
地	tei21	地 土地
尼	nɐi21	尼 尼姑
膩	nɐi21	腻 油腻
梨	lei21	梨 雪梨
履	lei13	履 履行
利	lei21	利 有利
痢	lei21	痢 痢疾，癞痢
資	tsi55	资 资本
姿	tsi55	姿 姿势，姿态
次	tsʰi33	次 名次
瓷	tsʰi21	瓷 陶瓷
自	tsi21	自 自己
私	si55	私 自私
死	ɬei35	死 死亡
四	ɬei33	四 四个
致	tsi33	致 导致
遲	tsʰi21	迟 迟到
稚	tsʰi55	稚 幼稚
師	si55	师 老师
獅	si55	狮 狮子
脂	tsi55	脂 脂肪
指	tsi35	指 手指
至	tsi33	至 至少
示	si21	示 启示
尸	si55	尸 死尸
屎	si35	屎 狗屎
視	si21	视 近视
二	ȵi21	二 第二
飢	kei55	饥 饥饿
肌	kei55	肌 肌肉
几	kei55	几 茶几
器	hei33	器 武器
棄	hei33	弃 放弃
伊	ʔi55	伊 伊犁
姨	ʔi55	姨 阿姨，姨妈，姨丈
你	nei13	你 你们
狸	lei21	狸 狐狸
李	lei13	李 姓
里	lei13	里 公里
裏	lei13	里 里面
吏	lei21	吏 官吏
滋	tsi55	滋 滋润
子	tsi35	子 孔子；子孙
慈	tsʰi21	慈 慈悲
字	tsi21	字 文字
司	si55	司 公司
絲	si55	丝 丝绸
思	si55	思 思念；意思
辭	tsʰi21	辞 告辞
祠	tsʰi21	祠 祠堂
似	tsʰi13	似 相似
巳	tsi21	巳 地支第六
寺	tsʰi21	寺 寺庙
置	tsi55	置 布置
癡	tsʰi55	痴 痴呆
恥	tsʰi35	耻 耻辱
持	tsʰi21	持 坚持
痔	si21	痔 痔疮
治	tsi21	治 治安
廁	tsʰi33	厕 厕所
士	si21	士 士兵
柿	si33	柿 柿子
事	si21	事 事情
使	sɐi35	使 大使馆
使	sɐi35	使 使用
史	si35	史 历史
駛	sɐi35	驶 驾驶
之	tsi55	之 之前
芝	tsi55	芝 灵芝
止	tsi35	止 停止
址	tsi35	址 地址
志	tsi33	志 志气；标志
痣	tsi33	痣 与胎记不同
齒	tsʰi35	齿 牙齿
詩	si55	诗 诗人
始	si35	始 开始
試	si33	试 考试
時	si21	时 时间
市	si13	市 市场
侍	si21	侍 服侍
而	ȵi21	而 而且
耳	ȵi13	耳 耳朵
餌	lei21	饵 钓饵
基	kei55	基 基本
箕	kei55	箕 粪箕
己	kei35	己 自己
紀	kei35	纪 纪律；年纪
紀	kei33	纪 纪念
記	kei33	记 记号
欺	hei55	欺 欺负
起	hei35	起 起床
杞	kei35	杞 枸杞
棋	kʰei21	棋 下棋
旗	kʰei21	旗 红旗
忌	kei21	忌 禁忌，避忌
疑	ȵi21	疑 怀疑
嬉	hei55	嬉 嬉戏，嬉笑
煕	hei55	熙 康熙
喜	hei35	喜 喜欢
醫	i55	医 医生
意	i33	意 大意
已	i13	已 已经
以	i13	以 可以
異	i21	异 异同
幾	kei55	几 几乎
機	kei55	机 机器
饑	kei55	饥 饥荒
幾	kei35	几 几个
既	kei33	既 既然
豈	hei35	岂 岂有此理
氣	hei33	气 空气
祈	kʰei21	祈 祈祷，祈福
毅	ŋɐi21	毅 毅力
希	hei55	希 希望
稀	hei55	稀 稀有
衣	ʔi55	衣 衣服
依	ʔi55	依 依靠
累	lui13	累 累积；连累
嘴	tsui35	嘴 嘴巴
髓	ɬui21	髓 骨髓
隨	tsʰui21	隨 随便
吹	tsʰui55	吹 吹牛
垂	sui21	垂 下垂
睡	sui21	睡 午睡
瑞	ɬui21	瑞 瑞雪
蕊	iui21	蕊 花蕊
規	kwʰɐi55	规 规矩
虧	kwʰɐi55	亏 吃亏
跪	kwɐi21	跪 下跪
危	ŋɐi21	危 危险
僞	ŋɐi35	伪 虚伪
毀	fei35	毁 毁灭
委	wɐi35	委 委托；委员
爲	wɐi21	为 行为；为什么
壘	lui13	垒 堡垒
類	lui21	类 分类
淚	lui21	泪 眼泪
醉	tsui33	醉 喝醉
翠	tsʰui33	翠 翡翠
雖	ɬui55	虽 虽然
隧	sui21	隧 隧道
穗	ɬui21	穗 谷穗，稻穗
追	tsui55	追 追赶
錘	tsʰui21	锤 铁锤
衰	sui55	衰 衰老
摔	ɬɐʔ055	摔 摔跤
帥	sui33	帅 元帅
錐	tsui55	锥 圆锥，锥子（名）；锥人（动）
水	sui35	水 水果
誰	sui21	谁 谁人
龜	kwɐi55	龟 乌龟
軌	kwɐi35	轨 铁轨
癸	kwʰɐi21	癸 天干第十
愧	kwʰɐi33	愧 惭愧
季	kwɐi33	季 四季
葵	kwʰɐi21	葵 向日葵
櫃	kwɐi21	柜 柜台
位	wɐi21	位 地位
維	wɐi21	维 维持
遺	wɐi21	遗 遗失
唯	wɐi21	唯 唯有；唯一
非	fei55	非 非常
飛	fei55	飞 飞机
匪	fei35	匪 土匪
沸	fɐʔ055	沸 沸腾，水沸
妃	fei55	妃 贵妃
費	fei33	费 浪费
肥	fei21	肥 肥料
翡	fei35	翡 翡翠
微	mei21	微 细微
尾	mei35	尾 尾巴
味	mei21	味 味道
歸	kwɐi55	归 回归
鬼	kwɐi35	鬼 鬼神
貴	kwɐi33	贵 贵客
魏	ŋɐi21	魏 魏国；姓
揮	fei55	挥 指挥
徽	fei55	徽 国徽，徽章
威	wɐi55	威 威风
慰	wɐi35	慰 安慰
違	wɐi21	违 违背
圍	wɐi21	围 包围
偉	wɐi35	伟 伟大
胃	wɐi21	胃 肠胃
匯	wui21	汇 汇报
褒	pou55	褒 褒奖
保	pou35	保 保护
寶	pou35	宝 宝贝
報	pou33	报 报告；日报
袍	pʰou21	袍 长袍
抱	pʰou13	抱 拥抱
暴	pou21	暴 暴露
菢	pu21	菢 菢小鸡
毛	mou21	毛 毛笔
冒	mɐu21	冒 冒充，冒险
刀	tou55	刀 菜刀
島	to35	岛 海岛
搗	tou35	捣 捣乱
倒	tou35	倒 打倒；倒水
到	tou33	到 来到
滔	tʰou55	滔 滔滔不绝
討	tʰou35	讨 讨好
套	tʰou33	套 配套
桃	tʰou21	桃 桃花
陶	tʰou21	陶 陶瓷
道	tou21	道 道理
稻	tou21	稻 水稻
盜	tou21	盗 强盗
導	tou21	导 领导
腦	nou13	脑 大脑
勞	lou21	劳 劳动
撈	lou55	捞 捞面；捞均匀
牢	lou21	牢 坐牢
老	lou13	老 老实
澇	lou21	涝 洪涝
遭	tsou55	遭 遭殃
糟	tsou55	糟 酒糟；糟糕
早	tsou35	早 早上
棗	tsou35	枣 红枣
澡	tsʰou33	澡 洗澡
躁	tsʰou33	躁 暴躁
竈	tsou33	灶 灶神
操	tsʰou55	操 操作
草	tsʰou35	草 青草
糙	tsʰou33	糙 粗糙，糙米
曹	tsʰou21	曹 阴曹；姓
槽	tsʰou21	槽 猪槽
皂	tsou21	皂 肥皂；皂角
造	tsou21	造 制造
騷	ɬou55	骚 风骚
臊	ɬou55	臊 羊臊气
掃	ɬou33	扫 扫地（动）；扫把（名）
嫂	ɬou35	嫂 大嫂
髙	kou55	高 跳高
糕	kou55	糕 蛋糕
稿	kou35	稿 草稿
吿	kou33	告 报告
考	hau35	考 考试
烤	hau55	烤 烧烤
靠	kʰau33	靠 可靠
熬	ŋou21	熬 难熬
傲	ŋau21	傲 骄傲
好	hou35	好 好坏
好	hou33	好 爱好
耗	hou33	耗 消耗
毫	hou21	毫 毫厘
豪	hou21	豪 豪华
號	hou21	号 号叫，呼号（动）；号码（名）
浩	hou21	浩 浩荡
襖	ou33	襖 棉襖
澳	ou33	澳 澳门
包	pau55	包 钱包
胞	pau33	胞 同胞
飽	pau35	饱 吃饱
豹	pʰau33	豹 一种动物
爆	pou21	爆 爆炸
泡	pʰau33	泡 水泡，气泡
拋	pʰau55	抛 抛弃
炮	pʰau33	炮 枪炮
泡	pʰau33	泡 泡茶
跑	pʰau35	跑 跑步
刨	pʰau21	刨 刨地，刨木（动）
鉋	pʰau21	刨 刨子，瓜刨（名）
茅	mau21	茅 茅草
貓	miau55	猫 花猫
卯	mau13	卯 子丑寅卯
貌	mau21	貌 礼貌
鬧	nau21	闹 热闹
罩	tsau33	罩 灯罩
抓	tsa55	抓 抓牌，抓人
爪	ȵiau55	爪 脚爪
找	tsau35	找 找东西
抄	tsʰau55	抄 抄书
鈔	tsʰau55	钞 钞票
炒	tsʰau35	炒 炒股
吵	tsʰau35	吵 吵架
巢	tsʰau21	巢 雀巢
梢	sau55	梢 树梢
稍	sau35	稍 稍等
潲	sau33	潲 猪食
交	kau55	交 交通
膠	kau55	胶 胶水
絞	kau35	绞 绞毛巾
