#漢字	音標	解釋
多	tɔ453	多：多少
過	kwɔ33	过：过去
科	fɔ453	科：文科
顆	fɔ35	颗：颗粒
課	fɔ33	课：上课
訛	ŋu̯ɔi31	讹：讹诈
臥	ŋɔ31	卧：卧室
火	fɔ35	火：火车
伙	fɔ35	伙：伙食
夥	fɔ35	伙：伙计，合伙
貨	fɔ33	货：货物
和	wɔ13	和：和气
禾	wɔ13	禾：禾苗
禍	wɔ13	祸：祸害
和	wɔ13	和：和诗，唱和
倭	wɔ453	倭：倭寇
窩	wɔ453	窝：鸟窝
靴	hœ453	靴：靴子
巴	pa453	巴：巴掌
芭	pa453	芭：芭蕉
疤	pa453	疤：伤疤
吧	pa453	吧：酒吧
笆	pa453	笆：篱笆
把	pa35	把：把柄
霸	pa33	霸：霸王
把	pa35	把：把握、一把
壩	pa33	坝：堤坝
壩	pa33	坝：平川；平地
爸	pa453	爸：爸爸
怕	pʰa33	怕：害怕
帕	pʰak033	帕：手帕
爬	pʰa13	爬：爬树
琶	pʰa31	琶：琵琶
杷	pʰa31	杷：枇杷
耙	pʰa13	耙：犁耙
麻	ma31	麻：麻袋
痲	ma453	痲：麻疹
蟆	mɔ33	蟆：蛤蟆
媽	ma453	妈：妈妈
馬	ma13	马：骑马
碼	ma13	码：码头
罵	ma31	骂：骂人
拿	na13	拿：拿手；推拿
茶	tʃʰa13	茶：茶叶
搽	tʃʰa35	搽：搽药
楂	tʃa453	楂：山楂
渣	tʃa453	渣：药渣
詐	tʃa33	诈：诈骗
榨	tʃa33	榨：榨油
炸	tʃa33	炸：炸弹
叉	tʃʰa453	叉：叉腰
杈	tʃʰa453	杈：枝杈
差	tʃʰa453	差：差别
岔	tʃʰa33	岔：三岔路口
査	tʃʰa13	查：调查
乍	tʃa31	乍：初来乍到
沙	ʃa453	沙：沙漠
紗	ʃa453	纱：纱布
砂	ʃa453	砂：朱砂；砂纸
痧	ʃa453	痧：刮痧；斑痧
灑	ʃa35	洒：洒水
廈	ha31	厦：大厦；厦门
家	ka453	家：成家，老家
加	ka453	加：加工
痂	na453	痂：结痂
嘉	ka453	嘉：嘉宾
傢	ka453	家：家具
假	ka35	假：放假
賈	ka33	賈：姓，贾宝玉
假	ka35	假：真假
架	ka33	架：衣架
駕	ka33	驾：驾驶
嫁	ka33	嫁：出嫁
稼	ka33	稼：庄稼
價	ka33	价：价钱
牙	ŋa13	牙：牙齿
芽	ŋa13	芽：豆芽
衙	ŋa13	衙：衙门
蚜	ŋa13	蚜：蚜虫（生在豆类、棉花、稻等幼苗上）
雅	ŋa13	雅：典雅
蝦	ha453	虾：虾蟆（蛤蟆）
?	ha453	虾：虾腰
嚇	hak033	吓：恐吓
霞	ha31	霞：朝霞
蝦	ha453	虾：鱼虾
下	ha13	下：下降,下山
夏	ha31	夏：春夏
廈	ha31	厦：高楼大厦，商厦
下	ha31	下：下面
夏	ha31	夏：姓夏
鴉	ʔa453	鸦：乌鸦
丫	ʔa453	丫：丫头
椏	ʔa453	桠：桠杈
啞	ʔa35	哑：哑巴
亞	ʔa33	亚：亚洲
姐	tʃɛ35	姐：姐姐
借	tʃɛ33	借：借钱
且	tʃʰɛ35	且：而且
藉	tʃek022	藉：藉故，藉口
些	ɬɛ453	些：一些
寫	ɬœ35	写：写字
瀉	ɬɛ33	泻：腹泻
卸	ɬɛ33	卸：卸货
邪	tʃʰɛ13	邪：邪气
斜	tʃʰɛ13	斜：斜线
謝	tʃɛ31	谢：谢谢；姓
爹	tɛ453	爹：爹娘
遮	tʃɛ453	遮：遮挡
者	tʃɛ35	者：记者
蔗	tʃɛ33	蔗：甘蔗
車	tʃʰɛ453	车：火车
扯	tʃʰɛ35	扯：拉扯
蛇	ʃɛ13	蛇：毒蛇
射	ʃɛ31	射：发射
麝	ʃɛ31	麝：麝香
奢	tʃʰɛ453	奢：奢侈
賒	ʃɛ453	赊：赊帐
捨	ʃɛ35	舍：舍得，舍弃
赦	ʃɛ33	赦：赦免
舍	ʃɛ33	舍：宿舍
佘	ʃɛ31	佘：佘太君
社	ʃɛ35	社：公社
惹	nɛ13	惹：招惹
耶	iɛ31	耶：耶酥
爺	iɛ31	爷：爷爷
椰	iɛ31	椰：椰子
也	iɛ13	也：也是
野	iɛ13	野：野兔
夜	iɛ31	夜：夜晚
傻	ʃɔ31	傻：傻瓜
耍	ʃa35	耍：玩耍
瓜	kwa453	瓜：西瓜
蝸	wɔ453	蜗：蜗牛
寡	kwa35	寡：寡妇
剮	kwa35	剐：千刀万剐
誇	kwʰa453	夸：夸奖；夸张
垮	kwʰa453	垮：垮台
跨	kwʰa453	跨：跨度
瓦	ŋa13	瓦：瓦片
花	fa453	花：开花
化	fa33	化：变化
華	wa13	华：华山
劃	wa453	划：划船
華	wa13	华：中华
樺	wa13	桦：桦树
蛙	wa453	蛙：青蛙
窪	wa453	洼：低洼
補	pu35	补：补衣服
譜	pʰu35	谱：族谱
布	pu33	布：布匹，一块布
佈	pu33	布：布置；公布
鋪	pʰu33	铺：店铺
普	pʰu35	普：普通
浦	pu31	浦：浦江
鋪	pʰu453	铺：铺设
怖	pu33	怖：恐怖
蒲	pʰu31	蒲：蒲团
菩	pʰɔ31	菩：菩萨
脯	pʰu31	脯：杏脯
葡	pʰu31	葡：葡萄
部	pu31	部：部队
簿	pu31	簿：帐簿
步	pu31	步：跑步
捕	pu31	捕：捕捉；捕快
埠	fɐu31	埠：埠头
模	mu453	模：模范
模	mu453	模：模型
摹	mu453	摹：摹仿
墓	mu31	墓：坟墓
暮	mu31	暮：日暮
慕	mu31	慕：羡慕
募	mu31	募：募捐
都	tu453	都：都是
都	tu453	都：首都
堵	tu35	堵：堵车
賭	tu35	赌：赌博
肚	tʰu13	肚：猪肚（胃），鱼肚
妒	tu33	妒：妒忌
土	tʰu35	土：土地
吐	tʰu33	吐：呕吐
吐	tʰu33	吐：吐痰
兔	tʰu33	兔：兔子
徒	tʰu13	徒：徒弟
屠	tʰu31	屠：屠杀
途	tʰu13	途：前途
塗	tʰu13	涂：泥涂，涂改
圖	tʰu13	图：地图
杜	tu31	杜：杜仲；姓
肚	tʰu13	肚：肚子，肚脐
度	tu31	度：揣度，忖度
渡	tu31	渡：偷渡
鍍	tu31	镀：电镀
奴	nu13	奴：奴隶
努	nu13	努：努力
怒	nu31	怒：发怒
盧	lu13	卢：姓卢
爐	lu13	炉：炉子
蘆	lu13	芦：芦苇
鸕	lu13	鸬：鸬鹚
魯	lu13	鲁：鲁迅
櫓	lu13	橹：摇船的工具
虜	lu13	虏：俘虏
滷	lu13	卤：卤水
路	lu31	路：马路
賂	lu31	赂：贿赂
露	lu31	露：露水
鷺	lu31	鹭：白鹭
租	tʃu453	租：房租
祖	tʃu35	祖：祖国
組	tʃu35	组：组长
做	tʃu33	做：做饭
粗	tʃʰu453	粗：粗心
醋	tʃʰu33	醋：吃醋
措	tʃʰu33	措：措施
錯	tʃʰɔ33	错：错误
蘇	ɬu453	苏：苏州
酥	ɬu453	酥：酥油，酥饼
素	ɬu33	素：吃素；朴素
訴	ɬu33	诉：告诉
塑	ɬu̯ɔk33	塑：塑像
姑	ku453	姑：姑娘
孤	ku453	孤：孤独
箍	kʰu453	箍：紧箍咒
辜	ku453	辜：无辜，辜负
古	ku35	古：古代
估	ku453	估：估计
牯	ku35	牯：牛牯
股	ku35	股：股票
鼓	ku35	鼓：鼓励
蠱	ku35	蛊：蛊惑；整蛊
故	ku33	故：故事
固	ku35	固：固定
雇	ku33	雇：雇主
顧	ku33	顾：照顾
枯	ku453	枯：枯萎
苦	fu35	苦：吃苦
庫	fu33	库：水库
褲	fu33	裤：裤子
吳	ŋŋ̍31	吴：姓
蜈	ŋŋ̍31	蜈：蜈蚣
吾	ŋŋ̍31	吾：我
梧	ŋŋ̍31	梧：梧桐
五	ŋŋ̍13	五：第五
伍	ŋŋ̍13	伍：队伍
午	ŋŋ̍13	午：中午
誤	ŋŋ̍31	误：错误
悟	ŋŋ̍31	悟：孙悟空
呼	fu453	呼：呼吸
虎	fu35	虎：老虎
滸	fu35	滸：水浒传
戽	fu33	戽：戽水
胡	fu13	胡：二胡；姓
湖	fu13	湖：太湖
狐	fu31	狐：狐狸
壺	fu13	壶：水壶
乎	fu35	乎：在乎
鬍	fu31	胡：胡须
苧	tʃʰy31	苎：苎麻
箸	tʃy31	箸：筷子；箸笼
阻	tʃɔ35	阻：阻力
初	tʃʰɔ453	初：初中
楚	tʃʰɔ35	楚：清楚
礎	tʃʰɔ35	础：基础
鋤	tʃʰɔ35	锄：锄头
助	tʃɔ31	助：帮助
梳	ʃɔ453	梳：梳头
疏	ʃɔ453	疏：疏远
蔬	ʃɔ453	蔬：蔬菜
所	ʃɔ35	所：所以
疏	ʃɔ453	疏：注疏
諸	tʃy453	诸：诸葛亮
煮	tʃy35	煮：煮饭
處	tʃʰy35	处：处理
處	tʃʰy33	处：处所
書	ʃy453	书：书本
舒	ʃy453	舒：舒服
暑	ʃy35	暑：暑假
鼠	ʃy35	鼠：老鼠
黍	tʃʰy35	黍：玉米
庶	ʃy33	庶：庶民
恕	ʃy33	恕：饶恕
墅	ɬʊi13	墅：别墅
署	ʃʰy35	署：署名；专署
薯	ʃy13	薯：番薯
如	ȵy13	如：如果
居	kʊi453	居：居民
車	kʊi453	车：车马炮
舉	kʊi35	举：举报
據	kʊi33	据：收据
鋸	kʊi33	锯：电锯
墟	hʊi453	墟：废墟
去	hʊi33	去：来去
渠	kʰʊi13	渠：水渠
佢	kʰʊi13	佢：他；她；它
巨	kʰʊi13	巨：巨大
拒	kʰʊi13	拒：拒绝
距	kʰʊi13	距：距离
魚	ȵy13	鱼：金鱼
漁	ȵy31	渔：渔业；渔场
語	ȵy13	语：语文
御	ȵy31	御：御用
禦	ȵy31	御：驾御，防御
虛	hʊi453	虚：虚心
噓	hʊi453	嘘：吹嘘
許	hʊi35	许：许多
於	y453	于：在于，于是(文）
淤	ʔʊi35	淤：淤泥
余	y31	余：姓
餘	y31	余：多余
與	y35	与：给与；参与
譽	y31	誉：荣誉
預	y31	预：预备
豫	y35	豫：犹豫
夫	fu453	夫：夫妻
膚	fu453	肤：皮肤
府	fu35	府：广府
腑	fu35	腑：五脏六腑
俯	fu35	俯：俯视
甫	pʰu35	甫：杜甫
脯	pʰu31	脯：胸脯
斧	fu35	斧：斧头
付	fu31	付：应付
賦	fu33	赋：天赋
傅	fu31	傅：师傅
咐	fu31	咐：吩咐
敷	fu453	敷：敷药
俘	fu453	俘：俘虏
孵	fu453	孵：孵小鸡
麩	fu453	麸：麦麸
撫	mu13	抚：抚养
赴	fu31	赴：奔赴；赴汤蹈火
符	fu31	符：符合
扶	fu13	扶：扶手
芙	fu13	芙：芙蓉
父	fu31	父：父亲
腐	fu31	腐：豆腐
輔	fu31	辅：辅助
附	fu31	附：附近
無	mu13	无：没有；无中生有
巫	mu453	巫：巫婆
誣	mu453	诬：诬告
武	wu13	武：武力
舞	wu13	舞：跳舞
侮	mʊi13	侮：侮辱
鵡	wu13	鹉：鹦鹉
務	mu31	务：任务
霧	mu31	雾：大雾
屢	lʊi13	屡：屡教不改
趨	tʃʰy453	趋：趋势
取	tʃʰy35	取：取得
娶	tʃʊi31	娶：嫁娶
趣	tʃʰʊi33	趣：兴趣
聚	tʃy31	聚：聚会
須	ɬʊi453	须：必须
鬚	ɬu453	须：胡须
需	ɬʊi453	需：需要
續	tʃok022	续：继续
誅	tʃy453	诛：天诛地灭
蛛	tʃy453	蛛：蜘蛛
株	tʃy453	株：守株待兔
駐	tʃy33	驻：驻扎
註	tʃy33	注：注释
廚	tʃʰy13	厨：厨房
柱	tʃʰy13	柱：柱子
住	tʃy31	住：住宿
雛	tʃʰʊi453	雏：雏形
數	ʃu35	数：数星星
數	ʃu33	数：数学
朱	tʃy453	朱：姓
硃	tʃy453	朱：朱砂
珠	tʃy453	珠：珍珠
主	tʃy35	主：主人
注	tʃy33	注：注意
蛀	tʃy33	蛀：虫蛀
鑄	tʃy35	铸：铸铁
樞	kʰʊi453	枢：枢纽
輸	ʃy453	输：输赢
戍	ʃy33	戍：戍边
輸	ʃy453	输：运输
殊	ʃy13	殊：特殊
豎	ʃy31	竖：横竖
樹	ʃy31	树：树木
儒	y31	儒：儒家
乳	ȵiʊi13	乳：乳房
拘	kʰʊi453	拘：拘留
駒	kʰʊi453	驹：小马
倶	kʰʊi453	俱：俱乐部
矩	kʊi35	矩：规矩
句	kʊi33	句：句子
區	kʰʊi453	区：地区
驅	kʰʊi453	驱：驱动；先驱
瞿	kʊi31	瞿：姓
具	kʊi31	具：具体；家具
懼	kʊi31	惧：恐惧
愚	ȵy31	愚：愚蠢
虞	ȵy31	虞：上虞；姓
娛	ȵy31	娱：娱乐
遇	ȵy31	遇：遇见
寓	ȵy31	寓：寓言
吁	y453	吁：长吁短叹
迂	y453	迂：迂回
于	y453	于：姓
雨	y13	雨：下雨
宇	y13	宇：宇宙
禹	y35	禹：大禹
羽	y31	羽：羽毛
芋	wu31	芋：芋头
楡	y31	榆：榆树
逾	y31	逾：逾期
愉	y31	愉：愉快
愈	y31	愈：愈加；病愈
喩	y31	喻：比喻
裕	y31	裕：富裕
獃	ʔu̯ɔi35	呆：发呆
戴	tai33	戴：戴帽
胎	tʰu̯ɔi453	胎：双胞胎
態	tʰai33	态：态度
貸	tʰai33	贷：贷款
臺	tʰu̯ɔi31	台：台湾
苔	tʰu̯ɔi13	苔：青苔
抬	tʰu̯ɔi13	抬：担抬，两个人抬
待	tu̯ɔi31	待：等待
怠	tʰu̯ɔi13	怠：怠慢
代	tu̯ɔi31	代：代表
袋	tu̯ɔi31	袋：口袋
乃	nai13	乃：人名用字
耐	nu̯ɔi31	耐：耐心
來	lu̯ɔi13	来：过来
災	tʃu̯ɔi453	灾：水灾
栽	tʃu̯ɔi453	栽：栽种
宰	tʃu̯ɔi35	宰：宰相
載	tʃu̯ɔi33	载：满载
再	tʃu̯ɔi33	再：再来
載	tʃu̯ɔi33	载：年载
猜	tʃʰai453	猜：猜谜
踩	tʃʰai35	踩：踩死
彩	tʃʰu̯ɔi35	彩：彩色
採	tʃʰu̯ɔi35	采：采摘；采集
睬	tʃʰu̯ɔi35	睬：理睬
菜	tʃʰu̯ɔi33	菜：青菜
才	tʃʰu̯ɔi13	才：天才；才气
材	tʃʰu̯ɔi31	材：材料
財	tʃʰu̯ɔi35	财：发财
裁	tʃʰu̯ɔi35	裁：裁缝
纔	tʃʰu̯ɔi35	才：刚才
在	tʃʰu̯ɔi35	在：现在
載	tʃu̯ɔi33	载：载重
腮	ɬu̯ɔi453	腮：腮红
鰓	ɬu̯ɔi453	鳃：鱼鳃
賽	ɬu̯ɔi33	赛：比赛
該	ku̯ɔi453	该：应该
改	ku̯ɔi35	改：修改
概	kʰu̯ɔi33	概：大概
溉	kʰu̯ɔi33	溉：灌溉
開	hu̯ɔi453	开：开门
凱	ʔu̯ɔi35	凯：凯旋
慨	kʰu̯ɔi33	慨：感慨
咳	kʰat055	咳：咳嗽
獃	ʔu̯ɔi35	呆：书呆子
礙	ŋu̯ɔi31	碍：妨碍
海	hu̯ɔi35	海：大海
孩	hu̯ɔi31	孩：孩子
亥	hu̯ɔi31	亥：辛亥革命
哀	ʔʊi453	哀：悲哀
埃	ʔʊi453	埃：尘埃
愛	ʔu̯ɔi33	爱：喜爱
貝	pʊi33	贝：宝贝
沛	pʰʊi33	沛：充沛
帶	tai33	带：鞋带
太	tʰai33	太：太阳
泰	tʰai33	泰：泰山
大	tai31	大：大小
奈	nu̯ɔi31	奈：无奈
賴	lai31	赖：无赖
癩	lai33	癞：癞头
蔡	tʃʰu̯ɔi33	蔡：姓
蓋	ku̯ɔi33	盖：盖子
丐	kʰu̯ɔi33	丐：乞丐
艾	ŋu̯ɔi31	艾：艾草
害	hu̯ɔi31	害：害人
藹	ʔu̯ɔi35	蔼：和蔼
拜	pai33	拜：礼拜；拜佛
排	pʰai31	排：排队
埋	mai13	埋：埋葬
齋	tʃai453	斋：吃斋
豺	tʃʰai31	豺：豺狼
皆	kai453	皆：皆大欢喜
階	kai453	阶：台阶
介	kai33	介：介绍
界	kai33	界：世界
芥	kai33	芥：芥菜
尬	kai33	尬：尴尬
疥	kai33	疥：疥疮
屆	kai33	届：应届
戒	kai33	戒：戒指
揩	hai35	揩：揩油
楷	kai453	楷：楷书
諧	hai31	谐：和谐
駭	hat022	骇：惊骇
械	hai35	械：机械
挨	ʔai453	挨：挨近
擺	pai35	摆：摇摆
派	pʰai35	派：派出所
牌	pʰai31	牌：牌坊
箄	pʰai31	排：竹排
罷	pa31	罢：罢工
稗	pai31	稗：稗子
買	mai13	买：买进
賣	mai31	卖：卖掉
奶	nai13	奶：奶奶
債	tʃai33	债：还债
釵	tʃʰa453	钗：宝钗；钗子
差	tʃʰai453	差：出差
柴	tʃʰai13	柴：火柴
篩	ʃɐi453	筛：米筛
灑	ʃa35	洒：洒水
曬	ʃai33	晒：晒谷
佳	kai453	佳：佳节
街	kai453	街：大街
解	kai35	解：讲解
懈	hai13	懈：松懈
涯	ŋai13	涯：天涯
崖	ŋai13	崖：悬崖
捱	ŋai13	捱：捱苦，捱打
鞋	hai13	鞋：布鞋
解	kai35	解：理解（知道，懂了）
蟹	hai13	蟹：螃蟹
矮	ʔai35	矮：高矮
隘	ʔɐi33	隘：狭隘
敗	pai31	败：失败
邁	mai13	迈：迈步
寨	tʃai31	寨：山寨
蔽	pɐi33	蔽：隐蔽
敝	pɐi33	敝：敝人
弊	pɐi31	弊：作弊
幣	pɐi31	币：人民币
斃	pɐi31	毙：枪毙
例	lɐi31	例：例子
厲	lɐi31	厉：厉害
勵	lɐi31	励：鼓励
祭	tʃɐi33	祭：祭祀
際	tʃɐi33	际：国际
滯	tʃɐi31	滯：停滞
制	tʃɐi33	制：制度
製	tʃɐi33	制：制造
世	ʃɐi33	世：世界
肆	ɬei33	肆：放肆
致	tʃi33	致：导致
遲	tʃʰi13	迟：迟到
稚	tʃi31	稚：幼稚
師	ʃi453	师：老师(多）
獅	ʃi453	狮：狮子(多）
脂	tʃi453	脂：脂肪
旨	tʃi35	旨：奉旨
指	tʃi35	指：手指
至	tʃi33	至：至少
示	ʃi31	示：启示
尸	ʃi453	尸：死尸
矢	tʃʰi35	矢：有的放矢
屎	ʃi35	屎：狗屎
視	ʃi31	视：近视
嗜	ʃi31	嗜：嗜好
二	ȵi31	二：第二
貳	ȵi31	二：二心
飢	kei453	饥：饥饿
肌	kei453	肌：肌肉
几	kei453	几：茶几
冀	kʰei33	冀：河北简称；希冀
器	hei33	器：武器
棄	hei33	弃：放弃
祁	kʰei31	祁：祁连山
伊	i453	伊：伊犁
夷	i13	夷：化险为夷
姨	i453	姨：阿姨
肄	i31	肄：肄业
你	nei35	你：你们
厘	lei13	厘：厘米
狸	lei13	狸：狐狸
李	lei13	李：姓
里	lei13	里：公里
裏	lʊi35	里：里面
理	lei13	理：道理
鯉	lei13	鲤：鲤鱼
吏	lei31	吏：官吏
兹	tʃi453	兹：公文用语
滋	tʃi453	滋：滋润
子	tʃi35	子：孔子；子孙
梓	tʃi35	梓：桑梓
慈	tʃʰi31	慈：慈悲
磁	tʃʰi31	磁：磁铁
字	tʃi31	字：文字
司	ʃi453	司：公司
絲	ʃi453	丝：丝绸
累	lʊi13	累：累积
累	lʊi13	累：连累
嘴	tʃʊi35	嘴：嘴巴
髓	ɬu̯ɔi35	髓：骨髓
隨	tʃʰʊi31	隨：随便
吹	tʃʰʊi453	吹：吹牛
炊	tʃʰʊi453	炊：炊烟
垂	ʃʊi31	垂：下垂
睡	ʃʊi31	睡：午睡
瑞	ɬʊi31	瑞：瑞雪
蕊	ȵiʊi35	蕊：花蕊
規	kwʰɐi453	规：规矩
詭	kwei35	诡：诡计
虧	kwʰɐi453	亏：吃亏
窺	kwʰɐi453	窥：偷窥
跪	kwɐi31	跪：下跪
危	ŋɐi13	危：危险
僞	ŋɐi13	伪：虚伪
毀	wɐi35	毁：毁灭
萎	wɐi35	萎：枯萎
委	wɐi35	委：委托
爲	wɐi31	为：为什么
爲	wɐi13	为：行为
壘	lʊi35	垒：堡垒
類	lʊi13	类：分类
淚	lʊi31	泪：眼泪
醉	tʃʊi33	醉：喝醉
翠	tʃʰʊi33	翠：翡翠
雖	ɬʊi453	虽：虽然
粹	ɬʊi33	粹：纯粹
遂	ɬʊi31	遂：未遂
隧	ɬʊi31	隧：隧道
穗	iʊi31	穗：谷穗
追	tʃʊi453	追：追赶
槌	tʃʰʊi13	槌：棒槌
錘	tʃʰʊi13	锤：铁锤
墜	tʃʊi31	坠：下坠
衰	ʃʊi453	衰：衰老
摔	ɬat055	摔：摔跤
帥	ʃʊi33	帅：元帅
錐	ȵiʊi453	锥：圆锥
水	ʃʊi35	水：水果
誰	ʃʊi13	谁：谁人
龜	kwɐi453	龟：乌龟
軌	kwei35	轨：铁轨
癸	kwɐi33	癸：天干第十
愧	kwʰɐi33	愧：惭愧
季	kwɐi33	季：四季
逵	kwʰɐi13	逵：李逵
葵	kwʰɐi13	葵：向日葵
櫃	kwɐi31	柜：柜台
位	wɐi31	位：地位
維	wɐi13	维：维持
惟	wɐi13	惟：惟一
遺	wɐi31	遗：遗失
唯	wɐi13	唯：唯有
非	fei453	非：非常
飛	fei453	飞：飞机
匪	fei35	匪：土匪
痱	fei35	痱：痱子，热痱
沸	fat022	沸：沸腾
妃	fei453	妃：贵妃
費	fei33	费：浪费
肥	fei35	肥：肥料
翡	fei35	翡：翡翠
微	mei13	微：细微
尾	mei13	尾：尾巴
未	mei31	未：未来
味	mei31	味：味道
歸	kwɐi453	归：回归
鬼	kwei35	鬼：鬼神
貴	kwɐi33	贵：贵客
魏	ŋɐi31	魏：魏国；姓
揮	fɐi453	挥：指挥
輝	fɐi453	辉：光辉
徽	fɐi453	徽：国徽
諱	fɐi33	讳：忌讳
威	wɐi453	威：威风
畏	wɐi33	畏：畏罪
慰	wɐi13	慰：安慰
違	wɐi31	违：违背
圍	wɐi13	围：包围
偉	wɐi13	伟：伟大
葦	wɐi13	苇：芦苇
緯	wɐi13	纬：经纬
胃	wɐi31	胃：肠胃
謂	wɐi13	谓：所谓
蝟	wɐi31	猬：刺猬
匯	wʊi31	汇：汇报
褒	pou453	褒：褒奖
保	pou35	保：保护
堡	pou35	堡：碉堡
寶	pou35	宝：宝贝
報	pou33	报：报告；日报
袍	pʰou13	袍：长袍
抱	pʰou13	抱：拥抱
暴	pou31	暴：暴露
菢	pou31	菢：菢小鸡
毛	mou31	毛：毛笔
冒	mou31	冒：冒充
帽	mou31	帽：草帽
刀	tou453	刀：菜刀
叨	tʰou453	叨：唠叨
禱	tʰou31	祷：祈祷
島	tou35	岛：海岛
搗	tou35	捣：捣乱
倒	tou35	倒：打倒
到	tou33	到：来到
倒	tou35	倒：倒水
滔	tʰou453	滔：滔滔不绝
討	tʰou35	讨：讨好
套	tʰou33	套：配套
桃	tʰou13	桃：桃花
逃	tʰou13	逃：逃难
淘	tʰou13	淘：淘米
陶	tʰou13	陶：陶瓷
萄	tʰou13	萄：葡萄
濤	tʰou13	涛：波涛
道	tou31	道：道理
稻	tou31	稻：水稻
盜	tou31	盗：强盗
導	tou31	导：领导
腦	nou13	脑：大脑
惱	nou13	恼：恼火
勞	lou13	劳：劳动
撈	lau453	捞：打捞
撈	lou453	捞：捞钱，捞面(文）
牢	lou13	牢：坐牢
嘮	lou453	唠：唠叨
老	lou13	老：老实
澇	lou31	涝：洪涝
遭	tʃou453	遭：遭殃
糟	tʃou453	糟：糟糕
早	tʃou35	早：早上
棗	tʃou35	枣：红枣
蚤	tʃou35	蚤：跳蚤
澡	tʃʰou33	澡：洗澡
躁	tʃʰou33	躁：暴躁
竈	tʃou33	灶：灶神
操	tʃʰou453	操：操作
草	tʃʰou35	草：青草
糙	tʃʰou33	糙：粗糙，糙米
曹	tʃʰou31	曹：阴曹
槽	tʃʰou13	槽：猪槽
皂	tʃou31	皂：肥皂；皂角
造	tʃou31	造：制造
騷	ɬou453	骚：风骚
臊	ɬou453	臊：羊臊气
掃	ɬou33	扫：扫把（名）
嫂	ɬou35	嫂：大嫂
掃	ɬou33	扫：扫地（动）
髙	kou453	高：跳高
膏	kou453	膏：牙膏；膏药
篙	kou453	篙：竹篙
羔	kou453	羔：羊羔
糕	kou453	糕：蛋糕
稿	kou35	稿：草稿
吿	kou33	告：报告
考	hau35	考：考试
烤	hau453	烤：烧烤
靠	kʰau33	靠：可靠
犒	kou35	犒：犒劳
銬	hau33	铐：手铐
熬	ŋou31	熬：难熬
傲	ŋou31	傲：骄傲
薅	hou453	薅：薅田（除田草）
好	hou33	好：爱好
好	hou35	好：好坏
耗	hou33	耗：消耗
毫	hou31	毫：毫厘
壕	hou13	壕：战壕
豪	hou31	豪：豪华
號	hou31	号：号叫，呼号（动）
浩	hou31	浩：浩荡
號	hou31	号：号码（名）
襖	ʔou33	襖：棉襖
懊	ʔou33	懊：懊恼
奧	ʔou33	奥：奥妙
懊	ʔou33	懊：懊悔
澳	ʔou33	澳：澳门
包	pau453	包：钱包
胞	pau453	胞：同胞
飽	pau35	饱：吃饱
豹	pau33	豹：一种动物
爆	pau33	爆：爆炸
泡	pʰau33	泡：泡茶
拋	pʰau453	抛：抛弃
炮	pʰau33	炮：枪炮
