#漢字	音標	解釋
多	to55	多 多少
雅	ŋa13	雅 典雅，文雅
蝦	ha55	虾 虾蟆（蛤蟆）
?	ha55	虾 虾腰
嚇	haʔ033	吓 恐吓
霞	ha21	霞 朝霞
蝦	ha55	虾 鱼虾
下	ha21	下 下降
夏	ha21	夏 春夏
廈	ha21	厦 高楼大厦，商厦
下	ha21	下 下面
夏	ha21	夏 姓夏
鴉	a55	鸦 乌鸦
丫	a55	丫 丫头
椏	a55	桠 桠杈
啞	a35	哑 哑巴
亞	a33	亚 亚洲
姐	tʃei35	姐 姐姐
借	tʃe33	借 借钱
且	tʃʰe35	且 而且
藉	tʃek033	藉 藉故，藉口
些	ɬe55	些 一些
寫	ɬe35	写 写字
瀉	ɬe33	泻 腹泻
卸	ɬe33	卸 卸货
邪	tʃʰe21	邪 邪气
斜	tʃʰe21	斜 斜线
謝	tʃe21	谢 谢谢；姓
爹	te55	爹 爹娘
遮	tʃe55	遮 遮挡
者	tʃe35	者 记者
蔗	tʃe33	蔗 甘蔗
車	tʃʰe55	车 火车
扯	tʃʰe35	扯 拉扯
蛇	ʃe21	蛇 毒蛇
射	ʃe21	射 发射
麝	ʃe21	麝 麝香
奢	tʃʰe55	奢 奢侈
賒	ʃe55	赊 赊帐
捨	ʃe35	舍 舍得，舍弃
赦	ʃe33	赦 赦免
舍	ʃe33	舍 宿舍
社	ʃe13	社 公社
惹	ie13	惹 招惹
耶	ie21	耶 耶酥
爺	ie21	爷 爷爷
椰	ie21	椰 椰子
也	ia13	也 也是
野	ie13	野 野兔
夜	ie21	夜 夜晚
傻	ʃo21	傻 傻瓜
耍	ʃa35	耍 玩耍
瓜	kwa55	瓜 西瓜
蝸	ʋo55	蜗 蜗牛
寡	kwa35	寡 寡妇
剮	kwa35	剐 千刀万剐
誇	kwʰa55	夸 夸奖；夸张
垮	kwʰa55	垮 垮台
跨	kwʰa55	跨 跨度
瓦	ŋa13	瓦 瓦片
花	fa55	花 开花
化	fa33	化 变化
華	ʋa21	华 华山
劃	ʋa55	划 划船
華	ʋa21	华 中华
樺	ʋa21	桦 桦树
蛙	ʋa55	蛙 青蛙
窪	ʋa55	洼 低洼
補	pu35	补 补衣服
譜	pʰu35	谱 族谱
布	pu33	布 布匹，一块布
佈	pu33	布 布置；公布
鋪	pʰu33	铺 铺设，铺床
普	pʰu35	普 普通
浦	pʰu35	浦 浦江
鋪	pʰu33	铺 店铺
怖	pu33	怖 恐怖
蒲	pʰu55	蒲 蒲团，蒲草
菩	pʰo21	菩 菩萨
脯	pʰu35	脯 胸脯
葡	pʰu21	葡 葡萄
部	pu21	部 部队
簿	pu21	簿 帐簿
步	pu21	步 跑步
捕	pʰu35	捕 捕捉；捕快
模	mu55	模 模范
模	mu55	模 模型
摹	mu55	摹 摹仿
墓	mu21	墓 坟墓
暮	mu21	暮 日暮
慕	mu21	慕 羡慕
募	mu21	募 募捐
都	tu55	都 都是
都	tu55	都 首都
堵	tu35	堵 堵车
賭	tu35	赌 赌博
肚	tʰu13	肚 猪肚（胃），鱼肚
妒	tu21	妒 妒忌
土	tʰu35	土 土地
吐	tʰu33	吐 呕吐
吐	tʰu33	吐 吐痰
兔	tʰu33	兔 兔子
徒	tʰu21	徒 徒弟
屠	tʰu21	屠 屠杀
途	tʰu21	途 前途
塗	tʰu21	涂 泥涂，涂改
圖	tʰu21	图 地图
杜	tu21	杜 杜仲；姓
肚	tu13	肚 肚子，肚脐
度	tɔʔ022	度 忖度，度长
渡	tu21	渡 偷渡
鍍	tu21	镀 电镀
奴	nou21	奴 奴隶
努	lou13	努 努力
怒	nou13	怒 发怒
盧	lu21	卢 姓卢
爐	lu21	炉 炉子
蘆	lu21	芦 芦苇
魯	lu21	鲁 鲁迅
櫓	lu21	橹 摇船的工具
虜	lu13	虏 俘虏
滷	lu13	卤 卤水
路	lu21	路 马路
賂	loʔ022	赂 贿赂
露	lu21	露 露水
鷺	lu21	鹭 白鹭
租	tʃu55	租 房租
祖	tʃu35	祖 祖国
組	tʃu35	组 组长
做	tʃu33	做 做饭
粗	tʃʰu55	粗 粗心
醋	tʃʰu33	醋 吃醋
措	tʃʰo33	措 措施
錯	tʃʰo33	错 错误
蘇	ɬu55	苏 苏州
酥	ɬu55	酥 酥油，酥饼
素	ɬu33	素 吃素；朴素
訴	ɬu33	诉 告诉
塑	ʃoʔ033	塑 塑像
姑	ku55	姑 姑娘
孤	ku55	孤 孤独
箍	kʰu55	箍 紧箍咒
辜	ku55	辜 无辜，辜负
古	ku35	古 古代
估	ku35	估 估计
牯	ku35	牯 牛牯
股	ku35	股 股票
鼓	ku35	鼓 鼓励
蠱	ku35	蛊 蛊惑；整蛊
故	ku33	故 故事
固	ku33	固 固定
雇	ku33	雇 雇主
顧	ku33	顾 照顾
枯	kʰu55	枯 枯萎
苦	fu35	苦 吃苦
庫	fu33	库 水库
褲	fu33	裤 裤子
吳	ŋŋ̍21	吴 姓
蜈	ŋŋ̍21	蜈 蜈蚣
吾	ŋŋ̍21	吾 我
梧	ŋŋ̍21	梧 梧桐
五	ŋŋ̍13	五 第五
伍	ŋŋ̍13	伍 队伍
午	ŋŋ̍13	午 中午
誤	ŋŋ̍21	误 错误
悟	ŋŋ̍21	悟 孙悟空
呼	fu55	呼 呼吸
虎	fu35	虎 老虎
滸	fu35	滸 水浒传
戽	fu33	戽 戽水
胡	fu21	胡 二胡；姓
湖	fu21	湖 太湖
狐	fu21	狐 狐狸
壺	fu21	壶 水壶
乎	fu21	乎 在乎
鬍	fu21	胡 胡须
葫	fu21	葫 葫芦
糊	fu21	糊 糊涂
蝴	fu21	蝴 蝴蝶
戶	fu33	户 户口
互	fu21	互 互相
護	fu21	护 保护
烏	u55	乌 乌鸦
污	u55	污 污染
惡	u33	恶 可恶
女	nui13	女 女儿
廬	lu21	庐 庐山
驢	lu21	驴 毛驴
呂	lui13	吕 姓
旅	lei13	旅 旅游
慮	lei21	虑 考虑
濾	lei21	滤 过滤
絮	ɬui33	絮 棉絮
徐	tʃʰi21	徐 姓
序	tʃei21	序 秩序
叙	tʃei21	叙 叙述
緖	ɬui13	绪 情绪；光绪
豬	tʃi55	猪 猪肉
著	tʃi33	著 著名
褚	tʃi33	褚 姓
除	tʃʰi21	除 除法
儲	tʃʰi35	储 储蓄
苧	tʃʰi35	苎 苎麻
箸	tʃʰi35	箸 筷子；箸笼
阻	tʃo35	阻 阻力
初	tʃʰo55	初 初中
楚	tʃʰo35	楚 清楚
礎	tʃʰo35	础 基础
鋤	tʃʰo21	锄 锄头
助	tʃo21	助 帮助
梳	ʃo55	梳 梳头
疏	ʃo55	疏 疏远
蔬	ʃo55	蔬 蔬菜
所	ʃo35	所 所以
疏	ʃo55	疏 注疏
諸	tʃi55	诸 诸葛亮
煮	tʃi35	煮 煮饭
處	tʃʰi35	处 处理
處	tʃʰi33	处 处所
書	ʃi55	书 书本
舒	ʃi55	舒 舒服
暑	ʃi35	暑 暑假
鼠	ʃi35	鼠 老鼠
庶	ʃi21	庶 庶民
墅	ɬui13	墅 别墅
署	ʃi35	署 署名；专署
薯	ʃi21	薯 番薯
如	i21	如 如果
居	kei55	居 居民
車	kei55	车 车马炮
舉	kei35	举 举报
據	kei21	据 收据
鋸	kei33	锯 电锯
墟	hui55	墟 废墟
去	hui33	去 来去
渠	kei21	渠 水渠
佢	kʰei35	佢 他；她；它
巨	kei21	巨 巨大
拒	kʰei13	拒 拒绝
距	kʰei13	距 距离
魚	ȵi21	鱼 金鱼
漁	ȵi21	渔 渔业；渔场
語	ȵi13	语 语文
禦	i21	御 驾御，防御
虛	hei55	虚 虚心
噓	hei55	嘘 吹嘘
許	hei35	许 许多
於	i55	于 在于
淤	i35	淤 淤泥
余	i21	余 姓
餘	i21	余 多余
與	i13	与 给与；参与
譽	i21	誉 荣誉
預	i21	预 预备
豫	ȵi21	豫 犹豫
夫	fu55	夫 夫妻
膚	fu55	肤 皮肤
府	fu35	府 广府
腑	fu35	腑 五脏六腑
俯	fu35	俯 俯视
甫	pʰu35	甫 杜甫
脯	pʰu35	脯 杏脯
斧	fu35	斧 斧头
付	fu21	付 应付
賦	fu21	赋 天赋
傅	fu21	傅 姓
咐	fu33	咐 吩咐
敷	fu55	敷 敷药
俘	fu55	俘 俘虏
孵	fu55	孵 孵小鸡
麩	fu55	麸 麦麸
撫	mu35	抚 抚养
赴	pʰu13	赴 奔赴；赴汤蹈火
訃	fu35	讣 讣告
符	fu21	符 符合
扶	fu21	扶 扶手
芙	fu21	芙 芙蓉
父	fu21	父 父亲
腐	fu21	腐 豆腐
輔	fu21	辅 辅助
附	fu21	附 附近
無	mu21	无 没有；无中生有
巫	mu55	巫 巫婆
誣	mu55	诬 诬告
武	mu13	武 武力
舞	mu35	舞 跳舞
侮	mu35	侮 侮辱
鵡	mu35	鹉 鹦鹉
務	mu21	务 任务
霧	mu21	雾 大雾
屢	lui13	屡 屡教不改
趨	tʃʰei55	趋 趋势
取	tʃʰei35	取 取得
娶	tʃʰei35	娶 嫁娶
趣	tʃʰei33	趣 兴趣
聚	tʃei21	聚 聚会
須	ɬui55	须 必须
鬚	ɬu55	须 胡须
需	ɬui55	需 需要
續	tʃoʔ022	续 继续
誅	tʃi55	诛 天诛地灭
蛛	tʃi55	蛛 蜘蛛
株	tʃi55	株 守株待兔
駐	tʃi21	驻 驻扎
註	tʃi21	注 注释
廚	tʃʰi21	厨 厨房
柱	tʃʰi35	柱 柱子
住	tʃi21	住 住宿
雛	tʃʰi55	雏 雏形
數	ʃu33	数 数星星
數	ʃu33	数 数学
朱	tʃi55	朱 姓
硃	tʃi55	朱 朱砂
珠	tʃi55	珠 珍珠
主	tʃi35	主 主人
注	tʃi33	注 注意
蛀	tʃʰi35	蛀 虫蛀
鑄	tʃi33	铸 铸铁
樞	ʃi55	枢 枢纽
輸	ʃi55	输 输赢
戍	ʃi21	戍 戍边
輸	ʃi55	输 运输
殊	ʃi21	殊 特殊
豎	ʃi21	竖 横竖
樹	ʃi21	树 树木
儒	i21	儒 儒家
乳	iui13	乳 乳房
拘	kʰei55	拘 拘留
駒	kʰei55	驹 小马
倶	kei21	俱 俱乐部
矩	kei35	矩 规矩
句	kei33	句 句子
區	kʰei55	区 地区
驅	kʰei55	驱 驱动；先驱
瞿	kei21	瞿 姓
具	kei21	具 具体；家具
懼	kei21	惧 恐惧
愚	i21	愚 愚蠢
虞	i21	虞 上虞；姓
娛	ŋŋ̍21	娱 娱乐
遇	i21	遇 遇见
寓	i21	寓 寓言
吁	i21	吁 长吁短叹
迂	i21	迂 迂回
于	i55	于 姓
雨	i21	雨 下雨
宇	i13	宇 宇宙
禹	i21	禹 大禹
羽	i13	羽 羽毛
芋	u21	芋 芋头
楡	i21	榆 榆树
逾	i21	逾 逾期
愉	i21	愉 愉快
愈	i21	愈 愈加；病愈
喩	i21	喻 比喻
裕	i21	裕 富裕
獃	ŋɔi55	呆 发呆
戴	tai33	戴 戴帽
胎	tʰɔi55	胎 双胞胎
態	tʰai33	态 态度
貸	tʰai33	贷 贷款
臺	tʰɔi21	台 台湾
苔	tʰɔi21	苔 青苔
抬	tʰɔi21	抬 担抬，两个人抬
待	tɔi21	待 等待
怠	tɔi21	怠 怠慢
代	tɔi21	代 代表
袋	tɔi21	袋 口袋
乃	nai13	乃 人名用字
耐	nɔi21	耐 耐心
來	lɔi21	来 过来
災	tʃɔi55	灾 水灾
栽	tʃɔi55	栽 栽种
宰	tʃɔi35	宰 宰相
載	tʃɔi33	载 满载
再	tʃɔi33	再 再来
載	tʃɔi33	载 年载
猜	tʃʰai55	猜 猜谜
踩	tʃʰai35	踩 踩死
彩	tʃʰɔi35	彩 彩色
採	tʃʰɔi35	采 采摘；采集
睬	tʃʰɔi35	睬 理睬
菜	tʃʰɔi33	菜 青菜
才	tʃʰɔi21	才 天才；才气
材	tʃʰɔi21	材 材料
財	tʃʰɔi21	财 发财
裁	tʃʰɔi21	裁 裁缝
纔	tʃʰɔi21	才 刚才
在	tʃɔi21	在 现在
載	tʃɔi33	载 载重
腮	ɬɔi55	腮 腮红
鰓	ɬɔi55	鳃 鱼鳃
賽	ɬɔi33	赛 比赛
該	kɔi55	该 应该
改	kɔi35	改 修改
概	kʰɔi33	概 大概
溉	kʰɔi33	溉 灌溉
開	hɔi55	开 开门
凱	hɔi35	凯 凯旋
慨	kʰɔi33	慨 感慨
咳	kʰɐʔ055	咳 咳嗽
獃	ŋɔi55	呆 书呆子
礙	ŋɔi21	碍 妨碍
海	hɔi35	海 大海
孩	hai21	孩 孩子
亥	hɔi21	亥 辛亥革命
哀	ɔi55	哀 悲哀
埃	ai55	埃 尘埃
愛	ɔi33	爱 喜爱
貝	pui33	贝 宝贝
沛	pʰui35	沛 充沛
帶	tai33	带 鞋带
太	tʰai33	太 太阳
泰	tʰai33	泰 泰山
大	tai21	大 大小
奈	nɔi21	奈 无奈
賴	lai21	赖 无赖
蔡	tʃʰɔi33	蔡 姓
蓋	kɔi33	盖 盖子
丐	kʰɔi33	丐 乞丐
艾	ŋai21	艾 艾草
害	hɔi21	害 害人
藹	ɔi35	蔼 和蔼
拜	pai33	拜 礼拜；拜佛
排	pʰai21	排 排队
埋	mai21	埋 埋葬
齋	tʃai55	斋 吃斋
豺	tʃʰɔi21	豺 豺狼
皆	kai55	皆 皆大欢喜
階	kai55	阶 台阶
介	kai33	介 介绍
界	kai33	界 世界
芥	kai33	芥 芥菜
尬	kai33	尬 尴尬
疥	kai33	疥 疥疮
屆	kai33	届 应届
戒	kai33	戒 戒指
揩	kai55	揩 揩油
楷	kai55	楷 楷书
諧	hai21	谐 和谐
駭	haʔ022	骇 惊骇
械	hai21	械 机械
挨	ai55	挨 挨近
擺	pai35	摆 摇摆
派	pʰai33	派 派出所
牌	pʰai21	牌 牌坊
箄	pʰai21	排 竹排
罷	pa21	罢 罢工
稗	pʰai21	稗 稗子
買	mai13	买 买进
賣	mai21	卖 卖掉
奶	nai13	奶 奶奶
債	tʃai33	债 还债
差	tʃʰai55	差 出差
柴	tʃʰai21	柴 火柴
篩	ʃɐi55	筛 米筛
灑	ʃa35	洒 洒水
曬	ʃai33	晒 晒谷
佳	kai55	佳 佳节
街	kai55	街 大街
解	kai35	解 讲解
懈	hai21	懈 松懈
涯	ŋan21	涯 天涯
崖	ŋan33	崖 悬崖
捱	ŋai21	捱 捱苦，捱打
鞋	hai21	鞋 布鞋
解	kai35	解 理解（知道，懂了）
蟹	hai13	蟹 螃蟹
矮	ai35	矮 高矮
隘	ai33	隘 狭隘
敗	pai33	败 失败
邁	man33	迈 迈步
寨	tʃai21	寨 山寨
蔽	pɐi33	蔽 隐蔽
弊	pɐi21	弊 作弊
幣	pɐi21	币 人民币
斃	pɐi21	毙 枪毙
例	lɐi21	例 例子
厲	lɐi21	厉 厉害
勵	lɐi21	励 鼓励
祭	tʃɐi33	祭 祭祀
際	tʃɐi33	际 国际
滯	nɐi21	滯 停滞
制	tʃɐi33	制 制度
製	tʃɐi33	制 制造
世	ʃɐi33	世 世界
勢	ʃɐi33	势 势力
誓	ʃɐi21	誓 发誓
逝	ʃɐi21	逝 逝去，逝世
藝	ŋɐi21	艺 艺术
蓖	pei55	蓖 蓖麻
閉	pɐi33	闭 关闭
批	pʰɐi55	批 批评
陛	pei33	陛 陛下
迷	mɐi21	迷 迷路
米	mɐi13	米 大米
謎	mɐi21	谜 谜语
低	tɐi55	低 高低
堤	tʰɐi21	堤 河堤
底	tɐi35	底 水底
抵	tɐi35	抵 抵押
帝	tɐi33	帝 皇帝
蒂	tɐi33	蒂 瓜蒂，并蒂莲
梯	tʰɐi55	梯 楼梯
體	tʰɐi35	体 身体
替	tʰɐi33	替 代替
涕	tʰɐi33	涕 鼻涕
剃	tʰɐi33	剃 剃头
題	tʰɐi21	題 题目
提	tʰɐi21	提 提问
蹄	tʰɐi21	蹄 猪蹄
啼	tʰɐi21	啼 鸡啼
弟	tɐi21	弟 弟弟
第	tɐi21	第 第一
遞	tɐi21	递 传递
泥	nɐi21	泥 水泥
犁	lɐi21	犁 犁地
黎	lɐi21	黎 黎明；姓
禮	lɐi13	礼 礼貌
麗	lɐi21	丽 美丽
隸	tɐi21	隶 奴隶；隶属
莉	lei21	莉 茉莉
擠	tʃɐi55	挤 拥挤
濟	tʃɐi33	济 经济
妻	tʃʰɐi55	妻 妻子
砌	tʃʰɐi33	砌 砌墙
齊	tʃʰɐi21	齐 整齐
臍	tʃʰei21	脐 肚脐
劑	tʃɐi55	剂 药剂
西	ɬɐi55	西 东西南北
棲	tʃʰɐi55	栖 栖息，两栖
犀	ɬɐi55	犀 犀牛
洗	ɬɐi35	洗 洗衣服
細	ɬɐi33	细 粗细；大细
婿	ɬɐi33	婿 女婿
雞	kɐi55	鸡 公鸡
稽	kʰɐi55	稽 稽查
計	kɐi33	计 会计
繼	kɐi33	继 继续
繫	hɐi21	系 联系
髻	kɐi33	髻 发髻
溪	kʰɐi55	溪 小溪
啓	kʰɐi35	启 启发
契	kʰɐi33	契 地契
倪	ŋɐi21	倪 姓
系	hɐi21	系 系统；中文系
繫	hɐi21	系 系鞋带
係	hɐi21	系 是
杯	pui55	杯 茶杯
輩	pui33	辈 长辈
背	pui33	背 背书
胚	pʰui55	胚 胚胎
坯	pʰui55	坯 毛坯
配	pʰui35	配 分配
培	pʰui35	培 培训
陪	pʰui35	陪 陪伴
賠	pʰui21	赔 赔钱
裴	pʰui21	裴 姓
倍	pʰui13	倍 倍数
佩	pui33	佩 佩服
背	pui33	背 后背
焙	pui21	焙 焙干
梅	mui21	梅 梅花
枚	mui55	枚 一枚
媒	mui21	媒 媒人
煤	mui21	煤 煤矿
玫	mui21	玫 玫瑰
莓	mui21	莓 草莓
每	mui13	每 每天
妹	mui21	妹 妹妹
昧	mei21	昧 拾金不昧
堆	tui55	堆 堆放
對	tui33	对 对错
推	tʰui55	推 推动
腿	tʰui35	腿 腿部
退	tʰui33	退 退后
隊	tui21	队 队伍
內	nui21	内 内外
雷	lui21	雷 雷公；姓
儡	lui13	儡 傀儡
累	lui13	累 极困；劳累
催	tʃʰui55	催 催眠
崔	tʃʰui55	崔 姓
罪	tʃui21	罪 犯罪
碎	ɬui33	碎 破碎
盔	kwʰɐi55	盔 头盔
魁	kwʰɐi21	魁 魁悟
恢	fui55	恢 恢复
傀	kwɐi35	傀 傀儡
塊	fai33	块 块状
灰	fui55	灰 灰色
賄	fui35	贿 贿赂
悔	fui35	悔 后悔
晦	fui35	晦 晦气
回	ui21	回 回去
茴	ui21	茴 茴香
匯	ui21	汇 汇报
潰	kʰui33	溃 溃疡
煨	ui55	煨 煨番薯
蛻	tʰui33	蜕 蜕变；蝉蜕
兌	tui33	兑 兑换
最	tʃui33	最 最好
會	ui21	会 会不会
劊	kʰui33	刽 刽子手
檜	kʰui33	桧 秦桧
外	ŋɔi21	外 外面
會	ui21	会 会计
會	ui21	会 开会
繪	kʰui33	绘 绘画
乖	kwai55	乖 小孩听话
怪	kwai33	怪 奇怪
懷	ʋai21	怀 胸怀
槐	kwʰɐi21	槐 槐树
淮	ʋei21	淮 淮河
壞	ʋai21	坏 好坏
拐	kwai35	拐 拐卖
掛	kwʰa33	挂 挂钩
卦	kwai33	卦 卜卦；八卦
歪	ʋai55	歪 歪斜
畫	ʋaʔ022	画 油画
蛙	ʋa55	蛙 青蛙
快	fai33	快 快点；快车
筷	fai33	筷 筷子
話	ʋa21	话 说话
脆	tʃʰui33	脆 干脆
歲	ɬui33	岁 万岁
贅	tʃui21	赘 入赘；累赘
稅	ʃui33	税 税收
鱖	kwɐi33	鳜 鳜鱼
衛	ʋɐi21	卫 卫生
銳	iui21	锐 尖锐
廢	fei33	废 废品
肺	fei33	肺 猪肺
吠	fei21	吠 狗叫、狗吠
穢	ʋɐi33	秽 污秽
圭	kwɐi55	圭 人名用字
閨	kɐi55	闺 闺房
桂	kwɐi33	桂 桂花
奎	kwʰɐi21	奎 人名用字
攜	kwʰɐi21	携 携带
惠	ʋɐi21	惠 优惠
慧	ʋɐi33	慧 智慧
碑	pei55	碑 石碑
卑	pei55	卑 卑鄙
彼	pʰei35	彼 彼此
俾	pʰei35	俾 俾使
臂	pei33	臂 手臂
披	pʰei55	披 披上
譬	pʰei33	譬 譬如；譬喻
皮	pʰei21	皮 果皮
疲	pʰei21	疲 疲劳
脾	pʰei21	脾 脾气
被	pei21	被 被动
婢	pʰei35	婢 婢女
被	pʰei35	被 棉被
避	pei21	避 避开
糜	mei21	糜 糜烂
彌	nei21	弥 弥补
靡	mei21	靡 风靡
離	lei21	离 离别
籬	lei21	篱 篱笆
璃	lei55	璃 玻璃
荔	lɐi21	荔 荔枝
離	lei21	离 离开
紫	tʃi35	紫 紫色
雌	tʃʰi55	雌 雌雄
此	tʃʰi35	此 此地
刺	tʃʰi33	刺 鱼刺
疵	tʃʰi33	疵 瑕疵
斯	ʃi55	斯 斯大林
廝	ʃi55	厮 厮打
撕	ʃi55	撕 撕破
璽	ɬɐi35	玺 玉玺
賜	tʃʰi33	赐 赏赐
知	tʃi55	知 知道
蜘	tʃi55	蜘 蜘蛛
智	tʃi33	智 智慧
池	tʃʰi21	池 池塘
馳	tʃʰi21	驰 奔驰
篩	ʃɐi55	筛 筛子
支	tʃi55	支 支持
枝	tʃi55	枝 荔枝
肢	tʃi55	肢 四肢
紙	tʃi35	纸 白纸
只	tʃi35	只 只有
侈	tʃʰi35	侈 奢侈
舐	ʃai13	舐 舔
施	ʃi55	施 施肥
翅	tʃʰi33	翅 鱼翅
匙	ʃi21	匙 钥匙；匙羹
是	ʃi21	是 是不是
氏	ʃi21	氏 姓氏
豉	ʃi21	豉 豆豉
兒	ȵi21	儿 儿童
爾	i21	尔 尔虞我诈
寄	kei33	寄 寄信
企	kʰei13	企 企业
奇	kʰei21	奇 奇怪
騎	kʰei21	骑 骑马
岐	kʰei21	岐 岐山
徛	kʰei35	徛 站立
技	kei21	技 技术
妓	kei21	妓 妓女
宜	ȵi21	宜 便宜
儀	ȵi21	仪 礼仪
蟻	ŋɐi13	蚁 蚂蚁
誼	ȵi21	谊 友谊
義	ȵi21	义 情义
議	ȵi13	议 会议
犧	hei55	牺 牺牲
戲	hei33	戏 大戏
倚	i35	倚 倚靠
椅	i35	椅 椅子
移	i21	移 移动
易	i21	易 容易
悲	pei55	悲 悲伤
鄙	pʰei35	鄙 卑鄙
比	pei35	比 对比
秕	pʰei55	秕 秕谷（不饱满的稻谷）
秘	pei33	秘 秘密
泌	pei33	泌 分泌
庇	pʰei33	庇 包庇
痹	pei33	痹 麻痹
丕	pʰui55	丕 曹丕
屁	pʰei33	屁 放屁
琵	pʰi21	琵 琵琶
枇	pʰi21	枇 枇杷
備	pei21	备 准备
鼻	pei21	鼻 鼻涕
篦	pei55	篦 篦子（可抓虱子的很密的梳子）
眉	mei21	眉 眉毛
楣	mei21	楣 门楣
黴	mui21	霉 发霉
美	mei13	美 美化
媚	mei21	媚 妩媚
寐	mei21	寐 梦寐以求
地	tei21	地 土地
尼	nɐi21	尼 尼姑
膩	nɐi21	腻 油腻
梨	lei21	梨 雪梨
履	lei13	履 履行
