#漢字	音標	解釋
多	ɗo55	多 多少
下	ha23	下 下面
夏	ha31	夏 姓夏
鴉	a55	鸦 乌鸦
丫	a55	丫 丫头
椏	a55	桠 桠杈
啞	a35	哑 哑巴
亞	a33	亚 亚洲
姐	tʃɛ35	姐 姐姐
借	tʃɛ33	借 借钱
且	tʃʰɛ35	且 而且
藉	tʃek031	藉 藉故，藉口
些	ɬɛ55	些 一些
寫	ɬɛ35	写 写字
瀉	ɬɛ33	泻 腹泻
卸	ɬɛ33	卸 卸货
邪	tʃʰɛ31	邪 邪气
斜	tʃʰɛ31	斜 斜线
謝	tʃɛ31	谢 谢谢；姓
爹	ɗi̯ɛ55	爹 爹娘
遮	tʃɛ55	遮 遮挡
者	tʃɛ35	者 记者
蔗	tʃɛ33	蔗 甘蔗
車	tʃʰɛ55	车 火车
扯	tʃʰɛ35	扯 拉扯
蛇	ʃɛ31	蛇 毒蛇
射	ʃɛ31	射 发射
麝	ʃɛ31	麝 麝香
賒	ʃɛ55	赊 赊帐
捨	ʃɛ35	舍 舍得，舍弃
赦	ʃɛ31	赦 赦免
舍	ʃɛ31	舍 宿舍
社	ʃɛ35	社 公社
惹	jɛ23	惹 招惹
耶	jɛ31	耶 耶酥
爺	jɛ31	爷 爷爷
椰	jɛ31	椰 椰子
也	jɛ23	也 也是
野	jɛ23	野 野兔
夜	jɛ31	夜 夜晚
傻	ʃo31	傻 傻瓜
耍	ʃa35	耍 玩耍
瓜	kwa55	瓜 西瓜
蝸	vo55	蜗 蜗牛
寡	kwa35	寡 寡妇
剮	kwa35	剐 千刀万剐
誇	kwʰa55	夸 夸奖；夸张
垮	kwʰa55	垮 垮台
跨	kwʰa55	跨 跨度
瓦	ŋa35	瓦 瓦片
花	fa55	花 开花
化	fa33	化 变化
華	va31	华 华山
劃	vaʔ031	划 划船
華	va31	华 中华
蛙	va55	蛙 青蛙
窪	va55	洼 低洼
補	ɓou35	补 补衣服
譜	pʰou35	谱 族谱
布	ɓou33	布 布匹，一块布
佈	ɓou33	布 布置；公布
鋪	pʰou55	铺 铺床
普	pʰou35	普 普通
浦	pʰou35	浦 浦江
鋪	pʰou33	铺 店铺
怖	ɓou33	怖 恐怖
蒲	pʰou35	蒲 蒲团
菩	pʰo31	菩 菩萨
脯	ɓou31	脯 胸脯
葡	pʰou31	葡 葡萄
部	ɓou31	部 部队
簿	ɓou31	簿 帐簿
步	ɓou31	步 跑步
捕	ɓou31	捕 捕捉；捕快
埠	ɓou31	埠 埠头
模	mou55	模 模范
模	mou55	模 模型
摹	mou55	摹 摹仿
墓	mou31	墓 坟墓
慕	mou31	慕 羡慕
募	mou31	募 募捐
都	ɗou55	都 都是
都	ɗou55	都 首都
堵	ɗou23	堵 堵车
賭	ɗou35	赌 赌博
肚	tʰou23	肚 猪肚（胃），鱼肚
妒	ɗou33	妒 妒忌
土	tʰou35	土 土地
吐	tʰou33	吐 呕吐
吐	tʰou33	吐 吐痰
兔	tʰou33	兔 兔子
徒	tʰou31	徒 徒弟
屠	tʰou31	屠 屠杀
途	tʰou31	途 前途
塗	tʰou31	涂 泥涂，涂改
圖	tʰou31	图 地图
杜	ɗou31	杜 杜仲；姓
肚	tʰou23	肚 肚子，肚脐
度	ɗɔʔ031	度 忖度，度长
渡	ɗou31	渡 偷渡
鍍	ɗou31	镀 电镀
奴	nou31	奴 奴隶
努	nou23	努 努力
怒	nou31	怒 发怒
盧	lou31	卢 姓卢
爐	lou31	炉 炉子
蘆	lou31	芦 芦苇
魯	lou23	鲁 鲁迅
虜	lou23	虏 俘虏
滷	lou23	卤 卤水
路	lou31	路 马路
賂	lou31	赂 贿赂
露	lou31	露 露水
鷺	lou31	鹭 白鹭
租	tʃou55	租 房租
祖	tʃou23	祖 祖国
組	tʃou23	组 组长
做	tʃou33	做 做饭
粗	tʃʰou55	粗 粗心
醋	tʃʰou33	醋 吃醋
措	tʃʰou23	措 措施
錯	tʃʰo33	错 错误
蘇	ɬou55	苏 苏州
酥	ɬou55	酥 酥油，酥饼
素	ɬou33	素 吃素；朴素
訴	ɬou33	诉 告诉
塑	ɬɔʔ033	塑 塑像
姑	ku55	姑 姑娘
孤	ku55	孤 孤独
箍	kʰu55	箍 紧箍咒
辜	ku55	辜 无辜，辜负
古	ku35	古 古代
估	ku55	估 估计
牯	ku35	牯 牛牯
股	ku35	股 股票
鼓	ku35	鼓 鼓励
蠱	ku35	蛊 蛊惑；整蛊
故	ku33	故 故事
固	ku35	固 固定
雇	ku33	雇 雇主
顧	ku33	顾 照顾
枯	ku55	枯 枯萎
苦	fu35	苦 吃苦
庫	fu33	库 水库
褲	fu33	裤 裤子
吳	ŋŋ̍31	吴 姓
蜈	ŋŋ̍31	蜈 蜈蚣
梧	ŋŋ̍31	梧 梧桐
五	ŋŋ̍23	五 第五
伍	ŋŋ̍23	伍 队伍
午	ŋŋ̍23	午 中午
誤	ŋŋ̍31	误 错误
悟	ŋŋ̍31	悟 孙悟空
呼	fu55	呼 呼吸
虎	fu35	虎 老虎
滸	fu35	滸 水浒传
戽	fu33	戽 戽水
胡	fu31	胡 二胡；姓
湖	fu31	湖 太湖
狐	fu31	狐 狐狸
壺	fu31	壶 水壶
乎	fu31	乎 在乎
鬍	fu31	胡 胡须
葫	fu31	葫 葫芦
糊	fu31	糊 糊涂
蝴	fu31	蝴 蝴蝶
戶	fu35	户 户口
互	fu31	互 互相
護	fu31	护 保护
烏	vu55	乌 乌鸦
污	vu55	污 污染
惡	vu33	恶 可恶
女	nei23	女 女儿
廬	lou31	庐 庐山
驢	lou31	驴 毛驴
呂	lei23	吕 姓
旅	lei23	旅 旅游
慮	lei31	虑 考虑
濾	lei31	滤 过滤
蛆	tʃʰei55	蛆 蛆虫
絮	ʃi55	絮 棉絮
徐	tʃʰi31	徐 姓
序	tʃei31	序 秩序
叙	tʃei31	叙 叙述
緖	ʃu33	绪 情绪；光绪
豬	tʃi55	猪 猪肉
著	tʃi33	著 著名
除	tʃʰi31	除 除法
儲	tʃʰi33	储 储蓄
箸	tʃi31	箸 筷子；箸笼
阻	tʃo35	阻 阻力
初	tʃʰo55	初 初中
楚	tʃʰo35	楚 清楚
礎	tʃʰo35	础 基础
鋤	tʃʰo31	锄 锄头
助	tʃo31	助 帮助
梳	ʃo55	梳 梳头
疏	ʃo55	疏 疏远
蔬	ʃo55	蔬 蔬菜
所	ʃo35	所 所以
諸	tʃi55	诸 诸葛亮
煮	tʃi23	煮 煮饭
處	tʃʰi35	处 处理
處	tʃʰi33	处 处所
書	ʃi55	书 书本
舒	ʃi55	舒 舒服
暑	ʃi35	暑 暑假
鼠	ʃi35	鼠 老鼠
恕	ʃi33	恕 饶恕
墅	ʃu31	墅 别墅
署	tʃʰi33	署 专署
薯	ʃi31	薯 番薯
如	ji31	如 如果
居	kei55	居 居民
車	kei55	车 车马炮
舉	kei35	举 举报
據	kei33	据 收据
鋸	kei33	锯 电锯
墟	hei55	墟 废墟
去	hei33	去 来去
渠	kʰei31	渠 水渠
佢	kʰei31	佢 他；她；它
巨	kei31	巨 巨大
拒	kʰei23	拒 拒绝
距	kʰei23	距 距离
魚	ȵi35	鱼 金鱼
漁	ȵi31	渔 渔业；渔场
語	ȵi23	语 语文
御	ji31	御 御用
禦	ji31	御 驾御，防御
虛	hei55	虚 虚心
噓	hei55	嘘 吹嘘
許	hei23	许 许多
於	ji55	于 在于
淤	hei35	淤 淤泥，淤血
余	ji31	余 姓
餘	ji31	余 多余
與	ji23	与 给与；参与
譽	ji31	誉 荣誉
預	ji31	预 预备
豫	ji31	豫 犹豫
夫	fu55	夫 夫妻
膚	fu55	肤 皮肤
府	fu23	府 广府
腑	fu23	腑 五脏六腑
俯	fu23	俯 俯视
甫	pʰou35	甫 杜甫
脯	pʰou35	脯 杏脯
斧	fu35	斧 斧头
付	fu31	付 应付
賦	fu33	赋 天赋
傅	fu31	傅 姓
咐	fu31	咐 吩咐
敷	fu55	敷 敷药
俘	fu55	俘 俘虏
孵	fu55	孵 孵小鸡
麩	kʰu55	麸 麦麸，豆麸（花生麸）
撫	fu35	抚 抚养
赴	fu31	赴 奔赴；赴汤蹈火
符	fu31	符 符合
扶	fu31	扶 扶手
芙	fu31	芙 芙蓉
父	fu31	父 父亲
腐	fu31	腐 豆腐
輔	fu31	辅 辅助
附	fu31	附 附近
無	mou23	无 没有；无中生有
巫	mou55	巫 巫婆
誣	mou31	诬 诬告
武	mou23	武 武力
舞	mou23	舞 跳舞
侮	fu23	侮 侮辱
鵡	mou23	鹉 鹦鹉
務	mou31	务 任务
霧	mou31	雾 大雾
屢	lu23	屡 屡教不改
趨	tʃʰu55	趋 趋势
取	tʃʰei35	取 取得
娶	tʃʰei35	娶 嫁娶
聚	tʃei31	聚 聚会
須	ɬei55	须 必须
鬚	ɬou55	须 胡须
需	ɬei55	需 需要
續	tʃok031	续 继续
誅	tʃi55	诛 天诛地灭
蛛	tʃi55	蛛 蜘蛛
株	tʃi55	株 守株待兔
駐	tʃi31	驻 驻扎
註	tʃi33	注 注释
廚	tʃʰi31	厨 厨房
柱	tʃʰi23	柱 柱子
住	tʃi31	住 住宿
雛	tʃʰo55	雏 雏形
數	ʃou35	数 数星星
數	ʃou33	数 数学
朱	tʃi55	朱 姓
硃	tʃi55	朱 朱砂
珠	tʃi55	珠 珍珠
主	tʃi35	主 主人
注	tʃi33	注 注意
蛀	tʃi33	蛀 虫蛀
鑄	tʃi33	铸 铸铁
樞	kʰei55	枢 枢纽
輸	ʃi55	输 输赢
輸	ʃi55	输 运输
殊	ʃi31	殊 特殊
豎	ʃi31	竖 横竖
樹	ʃi31	树 树木
儒	ji31	儒 儒家
乳	ȵu23	乳 乳房
拘	kʰei55	拘 拘留
倶	kei55	俱 俱乐部
矩	kei23	矩 规矩
句	kei33	句 句子
區	kʰei55	区 地区
驅	kʰei55	驱 驱动；先驱
具	kei31	具 具体；家具
懼	kei31	惧 恐惧
愚	ji31	愚 愚蠢
娛	ŋŋ̍31	娱 娱乐
遇	ji31	遇 遇见
寓	ȵi35	寓 寓言
于	ji55	于 姓
雨	ji23	雨 下雨
宇	ji23	宇 宇宙
禹	ji23	禹 大禹
羽	ji23	羽 羽毛
芋	fu31	芋 芋头
愉	ji31	愉 愉快
愈	ji31	愈 愈加；病愈
喩	ji31	喻 比喻
裕	ji31	裕 富裕
獃	ŋo31	呆 发呆
戴	ɗa33	戴 戴帽
胎	tʰo55	胎 双胞胎
態	tʰa33	态 态度
貸	tʰa33	贷 贷款
臺	tʰo31	台 台湾
苔	tʰo31	苔 青苔
抬	tʰo31	抬 担抬，两个人抬
待	ɗo31	待 等待
怠	tʰo23	怠 怠慢
代	ɗo31	代 代表
袋	ɗo31	袋 口袋
乃	na23	乃 人名用字
耐	no31	耐 耐心
來	lo31	来 过来
災	tʃo55	灾 水灾
栽	tʃo55	栽 栽种
宰	tʃo35	宰 宰相
載	tʃo33	载 满载
再	tʃo33	再 再来
載	tʃo33	载 年载
猜	tʃʰa55	猜 猜谜
踩	tʃʰo35	踩 踩死
彩	tʃʰo35	彩 彩色
採	tʃʰo35	采 采摘；采集
睬	tʃʰo35	睬 理睬
菜	tʃʰo33	菜 青菜
才	tʃʰo31	才 天才；才气
材	tʃʰo31	材 材料
財	tʃʰo31	财 发财
裁	tʃʰo31	裁 裁缝
纔	tʃʰo31	才 刚才
在	tʃo31	在 现在
載	tʃo33	载 载重
腮	ɬo55	腮 腮红
鰓	ɬo55	鳃 鱼鳃
賽	ɬo31	赛 比赛
該	ko55	该 应该
改	ko35	改 修改
概	kʰo33	概 大概
溉	kʰo33	溉 灌溉
開	ho55	开 开门
凱	o35	凯 凯旋
慨	kʰo33	慨 感慨
咳	kʰɐʔ055	咳 咳嗽
礙	ŋo31	碍 妨碍
海	ho35	海 大海
孩	ho31	孩 孩子
亥	ho31	亥 辛亥革命
哀	o55	哀 悲哀
愛	o33	爱 喜爱
貝	ɓu33	贝 宝贝
沛	pʰu33	沛 充沛
帶	ɗa33	带 鞋带
太	tʰa33	太 太阳
泰	tʰa33	泰 泰山
大	ɗa31	大 大小
奈	no31	奈 无奈
賴	la31	赖 无赖
蔡	tʃʰo33	蔡 姓
蓋	kʰo33	盖 盖子
丐	kʰo33	丐 乞丐
艾	ŋo31	艾 艾草
害	ho31	害 害人
藹	o35	蔼 和蔼
拜	ɓa33	拜 礼拜；拜佛
排	pʰa31	排 排队
埋	ma31	埋 埋葬
齋	tʃa55	斋 吃斋
豺	tʃʰo31	豺 豺狼
皆	ka55	皆 皆大欢喜
階	ka55	阶 台阶
介	ka33	介 介绍
界	ka33	界 世界
芥	ka33	芥 芥菜
尬	ka33	尬 尴尬
疥	ka33	疥 疥疮
屆	ka33	届 应届
戒	ka33	戒 戒指
揩	ka55	揩 揩油
諧	ha31	谐 和谐
械	ha31	械 机械
挨	a55	挨 挨近
擺	pa35	摆 摇摆
派	pʰa35	派 派出所
牌	pʰa31	牌 牌坊
箄	pʰa31	排 竹排
罷	pa31	罢 罢工
買	ma23	买 买进
賣	ma31	卖 卖掉
奶	na23	奶 奶奶
債	tʃa33	债 还债
釵	tʃʰa55	钗 宝钗；钗子
差	tʃʰa55	差 出差
柴	tʃʰa31	柴 火柴
篩	ʃɐi55	筛 米筛
灑	ʃa35	洒 洒水
曬	ʃa33	晒 晒谷
佳	ka55	佳 佳节
街	ka55	街 大街
解	ka35	解 讲解
懈	ha33	懈 松懈
涯	ŋa31	涯 天涯
崖	ŋa31	崖 悬崖
捱	ŋa31	捱 捱苦，捱打
鞋	ha31	鞋 布鞋
解	ka35	解 理解（知道，懂了）
蟹	ha23	蟹 螃蟹
矮	ʔai23	矮 高矮
敗	pa31	败 失败
邁	ma31	迈 迈步
寨	tʃa31	寨 山寨
蔽	ɓɐi33	蔽 隐蔽
弊	ɓɐi31	弊 作弊
幣	ɓɐi31	币 人民币
斃	ɓɐi31	毙 枪毙
例	lɐi31	例 例子
厲	lɐi31	厉 厉害
勵	lɐi31	励 鼓励
祭	tʃɐi33	祭 祭祀
際	tʃɐi33	际 国际
滯	tʃɐi31	滯 停滞
制	tʃɐi33	制 制度
製	tʃɐi33	制 制造
世	ʃɐi33	世 世界
勢	ʃɐi33	势 势力
誓	ʃɐi31	誓 发誓
逝	ʃɐi31	逝 逝去，逝世
藝	ŋɐi31	艺 艺术
蓖	ɓei55	蓖 蓖麻
閉	ɓɐi33	闭 关闭
批	pʰɐi55	批 批评
迷	mɐi31	迷 迷路
米	mɐi23	米 大米
謎	mɐi31	谜 谜语
低	ɗɐi55	低 高低
堤	tʰɐi31	堤 河堤
底	ɗɐi35	底 水底
抵	ɗɐi35	抵 抵押
帝	ɗɐi33	帝 皇帝
蒂	tʰɐi31	蒂 瓜蒂，并蒂莲
梯	tʰɐi55	梯 楼梯
體	tʰɐi23	体 身体
替	tʰɐi33	替 代替
涕	tʰɐi33	涕 鼻涕
剃	tʰɐi33	剃 剃头
題	tʰai31	題 题目
提	tʰai31	提 提问
蹄	tʰai31	蹄 猪蹄
啼	tʰai31	啼 鸡啼
弟	tɐi31	弟 弟弟
第	ɗɐi31	第 第一
遞	ɗɐi31	递 传递
泥	nɐi31	泥 水泥
犁	lɐi31	犁 犁地
黎	lɐi31	黎 黎明；姓
禮	lɐi23	礼 礼貌
麗	lɐi31	丽 美丽
隸	ɗɐi31	隶 奴隶；隶属
莉	lei31	莉 茉莉
擠	tʃɐi55	挤 拥挤
濟	tʃɐi23	济 经济
妻	tʃʰɐi55	妻 妻子
砌	tʃʰɐi33	砌 砌墙
齊	tʃʰɐi31	齐 整齐
臍	ʃi31	脐 肚脐
劑	tʃɐi55	剂 药剂
西	ɬɐi55	西 东西南北
犀	ɬɐi55	犀 犀牛
洗	ɬɐi23	洗 洗衣服
細	ɬɐi33	细 粗细；大细
婿	ɬɐi33	婿 女婿
雞	kɐi55	鸡 公鸡
稽	kʰɐi55	稽 稽查
計	kɐi33	计 会计
繼	kɐi33	继 继续
繫	hɐi31	系 联系
髻	kɐi33	髻 发髻
溪	kʰɐi55	溪 小溪
啓	kʰɐi23	启 启发
契	kʰɐi33	契 地契
倪	ji31	倪 姓
系	hɐi31	系 系统；中文系
係	hɐi31	系 是
杯	ɓu55	杯 茶杯
輩	ɓu33	辈 长辈
背	ɓu33	背 背书
胚	pʰu33	胚 胚胎
坯	pʰu55	坯 毛坯，砖坯
配	pʰu33	配 分配
培	pʰu31	培 培训
陪	pʰu31	陪 陪伴
賠	pʰu31	赔 赔钱
倍	pʰu23	倍 倍数
佩	pʰu33	佩 佩服
背	ɓu33	背 后背
焙	ɓu31	焙 焙干
梅	mu31	梅 梅花
枚	mu31	枚 一枚
媒	mu31	媒 媒人
煤	mu31	煤 煤矿
玫	mu31	玫 玫瑰
莓	mu31	莓 草莓
每	mu23	每 每天
妹	mu31	妹 妹妹
昧	muʔ031	昧 拾金不昧
堆	ɗu55	堆 堆放
對	ɗu33	对 对错
推	tʰu55	推 推动
腿	tʰu23	腿 腿部
退	tʰu33	退 退后
隊	ɗu31	队 队伍
內	no31	内 内外
雷	lu31	雷 雷公；姓
累	lu23	累 极困；劳累
催	tʃʰu55	催 催眠
崔	tʃʰu55	崔 姓
罪	tʃu31	罪 犯罪
碎	ɬu33	碎 破碎
盔	kwʰɐi55	盔 头盔
恢	fu55	恢 恢复
塊	va33	块 块状
灰	fu55	灰 灰色
賄	kʰu35	贿 贿赂
悔	vu35	悔 后悔
回	vu31	回 回去
茴	vu31	茴 茴香
匯	vu31	汇 汇报
潰	kʰu35	溃 溃疡
煨	vu55	煨 煨番薯
蛻	tʰu33	蜕 蜕变
兌	ɗu31	兑 兑换
最	tʃu33	最 最好
會	vu31	会 会不会
劊	fu33	刽 刽子手
檜	kʰu35	桧 秦桧
外	ŋo31	外 外面
會	vu31	会 会计
會	vu31	会 开会
繪	kʰu35	绘 绘画
乖	kwa55	乖 小孩听话
怪	kwa33	怪 奇怪
懷	va31	怀 胸怀
淮	vɐi31	淮 淮河
壞	va31	坏 好坏
拐	kwʰa23	拐 拐卖
掛	kwa33	挂 挂钩
卦	kwa33	卦 卜卦；八卦
畫	vaʔ031	画 油画
蛙	va55	蛙 青蛙
快	fa33	快 快点；快车
筷	fa33	筷 筷子
話	va31	话 说话
脆	tʃʰu33	脆 干脆
歲	ɬu33	岁 万岁
贅	tʃei31	赘 入赘
稅	ʃu33	税 税收
鱖	kwɐi33	鳜 鳜鱼
衛	vɐi31	卫 卫生
銳	ju31	锐 尖锐
廢	fɐi33	废 废品
肺	fɐi33	肺 猪肺
吠	fei31	吠 狗叫、狗吠
穢	vɐi33	秽 污秽
閨	kwɐi55	闺 闺房
桂	kwɐi33	桂 桂花
奎	kwʰɐi31	奎 人名用字
攜	kwʰɐi31	携 携带
惠	vɐi31	惠 优惠；惠阳
慧	vɐi33	慧 智慧
碑	ɓei55	碑 石碑
卑	ɓei55	卑 卑鄙
彼	pʰei35	彼 彼此
臂	ɓei33	臂 手臂
披	pʰei55	披 披上
皮	pʰei31	皮 果皮
疲	pʰei31	疲 疲劳
脾	pʰei31	脾 脾气
被	ɓei31	被 被动
婢	pʰei23	婢 婢女
被	pʰei35	被 棉被
避	ɓei31	避 避开
彌	nei31	弥 弥补
離	lei31	离 离别
籬	lei31	篱 篱笆
璃	lei31	璃 玻璃
荔	lɐi31	荔 荔枝
離	lei31	离 离开
紫	tʃi23	紫 紫色
此	tʃʰi35	此 此地
刺	tʃʰi33	刺 鱼刺
斯	ʃi55	斯 斯大林
撕	ʃi55	撕 撕破
璽	ɬa23	玺 玉玺
賜	tʃʰi33	赐 赏赐
知	tʃi55	知 知道
蜘	tʃi55	蜘 蜘蛛
智	tʃi33	智 智慧
池	tʃʰi31	池 池塘
馳	tʃʰi31	驰 奔驰
篩	ʃɐi55	筛 筛子
支	tʃi55	支 支持
枝	tʃi55	枝 荔枝
肢	tʃi55	肢 四肢
紙	tʃi23	纸 白纸
只	tʃek055	只 只有
施	ʃi55	施 施肥
翅	tʃʰi33	翅 鱼翅
匙	ʃi31	匙 钥匙；匙羹
是	ʃi23	是 是不是
氏	ʃi31	氏 姓氏
豉	ʃi31	豉 豆豉
兒	ȵi31	儿 儿童
爾	ȵi23	尔 尔虞我诈
寄	kei33	寄 寄信
企	kʰei23	企 企业
奇	kʰei31	奇 奇怪
騎	kʰei31	骑 骑马
岐	kʰei31	岐 岐山
徛	kʰei23	徛 站立
技	kei31	技 技术
妓	kei31	妓 妓女
宜	ji31	宜 便宜
儀	ȵi31	仪 礼仪
蟻	ŋɐi23	蚁 蚂蚁
誼	ȵi31	谊 友谊
義	ȵi31	义 情义
議	ȵi23	议 会议
犧	hei55	牺 牺牲
戲	hei33	戏 大戏
倚	ji35	倚 倚靠
椅	ji35	椅 椅子
移	ji31	移 移动
易	ji31	易 容易
悲	ɓei55	悲 悲伤
鄙	ɓei33	鄙 卑鄙
比	ɓei35	比 对比
秘	ɓei33	秘 秘密
泌	ɓei33	泌 分泌
庇	ɓei33	庇 包庇
痹	ɓei33	痹 麻痹
丕	pʰei35	丕 曹丕
屁	pʰei33	屁 放屁
琵	pʰei31	琵 琵琶
枇	pʰei31	枇 枇杷
備	ɓei31	备 准备
鼻	ɓei31	鼻 鼻涕
篦	ɓei55	篦 篦子（可抓虱子的很密的梳子）
眉	mei31	眉 眉毛
楣	mei31	楣 门楣
黴	mu31	霉 发霉
美	mei23	美 美化
媚	mei31	媚 妩媚
地	ɗei31	地 土地
尼	nei31	尼 尼姑
膩	nei31	腻 油腻
梨	lei31	梨 雪梨
履	lei35	履 履行
利	lei31	利 有利
痢	lei31	痢 痢疾
資	tʃi55	资 资本
姿	tʃi55	姿 姿势
咨	tʃʰi33	咨 咨询
姊	tʃi23	姊 姊妹
次	tʃʰi33	次 名次
瓷	tʃʰi31	瓷 陶瓷
糍	tʃʰi31	糍 糍粑；糯米糍
自	tʃi31	自 自己
私	ʃi55	私 自私
死	ɬei23	死 死亡
四	ɬei33	四 四个
肆	ʃi33	肆 放肆
致	tʃi33	致 导致
遲	tʃʰi31	迟 迟到
稚	tʃʰi31	稚 幼稚
師	ʃi55	师 老师
獅	ʃi55	狮 狮子
脂	tʃi55	脂 脂肪
旨	tʃi23	旨 奉旨
指	tʃi23	指 手指
至	tʃi33	至 至少
示	ʃi31	示 启示
尸	ʃi55	尸 死尸
矢	tʃʰi35	矢 有的放矢
屎	ʃi35	屎 狗屎
視	ʃi31	视 近视
二	ȵi31	二 第二
貳	ȵi31	二 二心
飢	kei55	饥 饥饿
肌	kei55	肌 肌肉
几	kei55	几 茶几
器	hei33	器 武器
棄	hei33	弃 放弃
伊	ji55	伊 伊犁
姨	ji55	姨 阿姨
姨	ji31	姨 姨丈
你	nei23	你 你们
厘	lei31	厘 厘米
狸	lei31	狸 狐狸
李	lei23	李 姓
里	lei23	里 公里
裏	lei23	里 里面
理	lei23	理 道理
鯉	lei23	鲤 鲤鱼
吏	lei31	吏 官吏
滋	tʃi55	滋 滋润
子	tʃi23	子 孔子；子孙
梓	tʃi23	梓 桑梓
慈	tʃʰi31	慈 慈悲
